"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_reg","Projection_reg_split","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","RankTargets","RollingTargetPctg"
"RB","Le'Veon Bell (8080050)","Le'Veon Bell",8080050,10500,"Pit@KC 01:05PM ET","Pit","Le'Veon","Bell","KC",24.06,25.6,23.7941204128028,24.3308606019904,76,97,2,2,5,2,0.159016393442623
"WR","Antonio Brown (8080089)","Antonio Brown",8080089,9600,"Pit@KC 01:05PM ET","Pit","Antonio","Brown","KC",20.11,20.7,19.4911422791739,19.9205500024998,110,164,13,1,1,1,0.268852459016393
"RB","Ezekiel Elliott (8080063)","Ezekiel Elliott",8080063,8500,"GB@Dal 04:40PM ET","Dal","Ezekiel","Elliott","GB",19.68,19,18.3590377445067,18.7446098923769,32,40,1,5,6,5,0.0806451612903226
"WR","Julio Jones (8080078)","Julio Jones",8080078,8400,"Sea@Atl 04:35PM ET","Atl","Julio","Jones","Sea",19.09,18.4,17.7913527950727,18.1645281651098,85,133,6,1,1,1,0.242258652094718
"QB","Aaron Rodgers (8080017)","Aaron Rodgers",8080017,8200,"GB@Dal 04:40PM ET","GB","Aaron","Rodgers","Dal",23.43,22.7,21.9025998844659,22.3638353901853,NA,NA,NA,NA,NA,NA,NA
"WR","Doug Baldwin (8080076)","Doug Baldwin",8080076,8100,"Sea@Atl 04:35PM ET","Sea","Doug","Baldwin","Atl",17.64,18.9,17.5195489271587,17.9166774258045,96,133,7,1,1,1,0.24953095684803
"QB","Tom Brady (8080001)","Tom Brady",8080001,7600,"Hou@NE 08:15PM ET","NE","Tom","Brady","Hou",21.07,18.3,18.4940422419057,18.8505701663583,NA,NA,NA,NA,NA,NA,NA
"WR","Jordy Nelson (8080099)","Jordy Nelson",8080099,7400,"GB@Dal 04:40PM ET","GB","Jordy","Nelson","Dal",0,0,0,0,100,160,14,1,1,1,0.252365930599369
"QB","Matt Ryan (8080007)","Matt Ryan",8080007,7000,"Sea@Atl 04:35PM ET","Atl","Matt","Ryan","Sea",19.37,18.2,17.7849864120755,18.1506852915916,NA,NA,NA,NA,NA,NA,NA
"WR","Davante Adams (8080105)","Davante Adams",8080105,7000,"GB@Dal 04:40PM ET","GB","Davante","Adams","Dal",17.02,18.3,16.9403551847085,17.3252973816134,77,127,12,2,2,2,0.200315457413249
"QB","Russell Wilson (8080009)","Russell Wilson",8080009,6900,"Sea@Atl 04:35PM ET","Sea","Russell","Wilson","Atl",19.49,20.9,19.3670756746533,19.8063452842123,2,2,1,13,6,15,0.00375234521575985
"RB","Thomas Rawls (8080040)","Thomas Rawls",8080040,6900,"Sea@Atl 04:35PM ET","Sea","Thomas","Rawls","Atl",11.39,10.1,10.1154851982082,10.3139328150246,13,17,0,8,9,8,0.0318949343339587
"WR","Julian Edelman (8080066)","Julian Edelman",8080066,6800,"Hou@NE 08:15PM ET","NE","Julian","Edelman","Hou",15.28,16.6,15.3057000216639,15.6559974324743,102,165,3,1,6,1,0.283505154639175
