"Wil Myers_SD","Lorenzo Cain_KC","Eric Hosmer_KC","Yoenis Cespedes_NYM","Alex Gordon_KC","Brandon Moss_KC","Jorge Soler_KC","Whit Merrifield_KC","Peter O'Brien_KC","Jose Reyes_NYM","Salvador Perez_KC","Curtis Granderson_NYM","Cheslor Cuthbert_KC","Alcides Escobar_KC","Ryan Schimpf_SD","Mike Moustakas_KC","Paulo Orlando_KC","Billy Burns_KC","Yangervis Solarte_SD","David Wright_NYM","Asdrubal Cabrera_NYM","Manuel Margot_SD","Lucas Duda_NYM","Neil Walker_NYM","Jay Bruce_NYM","Michael Conforto_NYM","Alex Dickerson_SD","Hunter Renfroe_SD","Cory Spangenberg_SD","Ryan O'Hearn_KC","Wilmer Flores_NYM","Terrance Gore_KC","Travis Jankowski_SD","Christian Colon_KC","Travis d'Arnaud_NYM","Brandon Nimmo_NYM","Raul Mondesi_KC","Christian Bethancourt_SD","Austin Hedges_SD","Erick Aybar_SD","Juan Lagares_NYM","Luis Sardinas_SD","Allen Cordoba_SD","Jabari Blash_SD","Drew Butera_KC","Hector Sanchez_SD","Rene Rivera_NYM","Luis Torrens_SD"
83.6923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38461538461538,0,0,0,22.0769230769231,0,0,9.92307692307692,0,0,0,0,0,23.7692307692308,0,0,0,0,-6.30769230769231,0,0,0,0,-4.96923076923077,-11.3846153846154,-7.44230769230769,0,-2.84615384615385,-7.99358974358974,1.64444444444444,0,0,0,2.18589743589744
0,22.5151515151515,-0.666666666666667,0,-0.5,-13.3333333333333,0,-5.40909090909091,0,0,-1.33333333333333,0,0.257575757575758,-1.42424242424242,0,-3.81818181818182,-0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.24242424242424,0,0,10.6818181818182,0,0,0,0,0,0,0,0,0,0,0
0,0,16.6969696969697,0,7.40909090909091,-1.6969696969697,0,0.318181818181818,0,0,6.66666666666667,0,17.2575757575758,-0.424242424242424,0,-4.45454545454545,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333333333333333,0,0,-2.22727272727273,0,0,0,0,0,0,0,0,0,0,0
0,0,0,190.495238095238,0,0,0,0,0,14.0809523809524,0,31.9142857142857,0,0,0,0,0,0,0,0,61.5714285714286,0,68.3809523809524,23.7714285714286,-16.0666666666667,-0.328571428571429,0,0,0,0,22.9190476190476,0,0,0,137.871428571429,0,0,0,0,0,-2.16666666666667,0,0,0,0,0,-3.88095238095238,0
0,0,0,0,17.4772727272727,0,0,3.34090909090909,0,0,14.9545454545455,0,8.88636363636364,2.90909090909091,0,2.86363636363636,-0.772727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.954545454545455,0,0,4.97727272727273,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10.1818181818182,31.6969696969697,0,12.0909090909091,0,0,1.78787878787879,0,-7.21212121212121,-5.57575757575758,0,14.6363636363636,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.848484848484849,0,0,-3.63636363636364,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,36.75,0,0,-9.86363636363636,0,-2.70454545454545,-7,0,-10.5,-4.77272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.318181818181818,0,0,-3.34090909090909,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6.6952380952381,0,3.74285714285714,0,0,0,0,0,0,0,0,6.92857142857143,0,16.0238095238095,2.52857142857143,-8.36666666666667,-4.48571428571429,0,0,0,0,3.3047619047619,0,0,0,10.6857142857143,0,0,0,0,0,0.476190476190476,0,0,0,0,0,0.761904761904762,0
0,0,0,0,0,0,0,0,0,0,38.3333333333333,0,9.01515151515152,11.0606060606061,0,10.2727272727273,10.5454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.393939393939394,0,0,5.95454545454545,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20.3142857142857,0,0,0,0,0,0,0,0,25,0,17.7857142857143,10.9571428571429,-18.2714285714286,-5.98571428571429,0,0,0,0,4.47142857142857,0,0,0,18.2571428571429,0,0,0,0,0,0.357142857142857,0,0,0,0,0,3.07142857142857,0
