"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"1B","Anthony Rizzo",5600,"CHC@COL 08:40PM ET",8.903,"CHC","COL",11.19,13.1,11.02,NA,"3","3",NA
"3B","Kris Bryant",5500,"CHC@COL 08:40PM ET",10.419,"CHC","COL",10.28,12.4,11.11,NA,"2","2",NA
"OF","Bryce Harper",5400,"WAS@BAL 07:05PM ET",13.179,"WAS","BAL",10.36,10,10.29,NA,"3","3",21
"OF","Mike Trout",5300,"LAA@OAK 10:05PM ET",11,"LAA","OAK",NA,NA,NA,NA,"3","x",NA
"3B","Nolan Arenado",5300,"CHC@COL 08:40PM ET",9.452,"COL","CHC",9.65,8.7,9.71,NA,"3","3",NA
"SS","Trea Turner",5200,"WAS@BAL 07:05PM ET",9.952,"WAS","BAL",NA,NA,NA,NA,"1","x",NA
"OF","Charlie Blackmon",5200,"CHC@COL 08:40PM ET",10.531,"COL","CHC",10.14,8.9,9.72,NA,"1","1",NA
"3B","Manny Machado",5100,"WAS@BAL 07:05PM ET",8.967,"BAL","WAS",9.39,8.4,8.93,NA,"3","3",0
"OF","Ian Desmond",5000,"CHC@COL 08:40PM ET",8.714,"COL","CHC",NA,NA,NA,NA,"5","x",NA
"2B","Daniel Murphy",4900,"WAS@BAL 07:05PM ET",9.839,"WAS","BAL",9.52,7.9,8.2,NA,"4","5",4
"OF","Kyle Schwarber",4900,"CHC@COL 08:40PM ET",7.133,"CHC","COL",9.9,12.1,10.23,NA,"1","1",NA
"C","Gary Sanchez",4800,"NYY@CIN 07:10PM ET",5.875,"NYY","CIN",7.69,8.5,9.65,NA,"3","5",17
"2B/OF","Ben Zobrist",4800,"CHC@COL 08:40PM ET",6.679,"CHC","COL",9.13,10,9.14,NA,"4","4",NA
"OF","Adam Eaton",4700,"WAS@BAL 07:05PM ET",10.13,"WAS","BAL",NA,0,NA,NA,"x","x",NA
"1B","Ryan Zimmerman",4700,"WAS@BAL 07:05PM ET",13.433,"WAS","BAL",8.73,7.3,8.03,NA,"5","4",0
"2B","Javier Baez",4700,"CHC@COL 08:40PM ET",6.963,"CHC","COL",7.11,9.7,7.18,NA,"x","7",NA
"SS","Francisco Lindor",4600,"CLE@TOR 07:07PM ET",9.7,"CLE","TOR",8.25,7.7,8.73,NA,"2","2",8
"1B","Joey Votto",4600,"NYY@CIN 07:10PM ET",10.452,"CIN","NYY",8.85,7.4,8.62,NA,"3","3",21
"OF","Aaron Judge",4600,"NYY@CIN 07:10PM ET",12.571,"NYY","CIN",NA,NA,NA,NA,"4","x",NA
"C","Willson Contreras",4600,"CHC@COL 08:40PM ET",5.222,"CHC","COL",NA,NA,NA,NA,"7","x",NA
"SS","Trevor Story",4600,"CHC@COL 08:40PM ET",6.677,"COL","CHC",7.37,7,7.73,NA,"7","7",NA
"OF","Jason Heyward",4500,"CHC@COL 08:40PM ET",6.643,"CHC","COL",NA,NA,NA,NA,"6","x",NA
"SS","Addison Russell",4500,"CHC@COL 08:40PM ET",7.333,"CHC","COL",NA,NA,NA,NA,"5","x",NA
"OF","Carlos Gonzalez",4500,"CHC@COL 08:40PM ET",4.929,"COL","CHC",9.05,8.2,8.59,NA,"4","4",NA
"OF","David Dahl",4500,"CHC@COL 08:40PM ET",0,"COL","CHC",NA,0,NA,NA,"x","x",NA
"3B","Anthony Rendon",4400,"WAS@BAL 07:05PM ET",8.31,"WAS","BAL",7.15,7.3,6.99,NA,"6","6",7
"OF","Mark Trumbo",4400,"WAS@BAL 07:05PM ET",6.167,"BAL","WAS",7.99,7.5,8.29,NA,"4","4",16
"1B","Chris Davis",4400,"WAS@BAL 07:05PM ET",6.3,"BAL","WAS",5.78,6.8,8.02,NA,"5","5",4
