"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Max Scherzer","P","WSH","vs ATL",2.94,"Dickey, R 4.25","R",1.94,0,0,7.1,12.2,0.77,NA,13200,54.6,31,34.74,34.74,"%",68,2.6,25.05,1.9
"Jacob deGrom","P","NYM","@ STL",4.15,"Martinez, R 3.15","R",3.55,0,0,6.1,10.9,1.18,NA,11800,48.2,21.3,19.16,19.16,"%",32,1.6,16.95,1.4
"Zack Greinke","P","ARI","vs CIN",3.63,"Adleman, R 4.67","R",3.05,0,0,6.1,10.2,1.02,NA,11200,44.4,21.9,21.71,21.71,"%",48,1.9,30.75,2.7
"Carlos Carrasco","P","CLE","vs DET",3.59,"Zimmermann, R 5.58","R",3.5,0,0,6.1,9.4,1.05,NA,11000,40.9,20,19.53,19.53,"%",47,1.8,31.75,2.9
"Carlos Martinez","P","STL","vs NYM",3.85,"deGrom, R 3.55","R",3.15,0,0,6.5,10.1,1.11,NA,10700,44.7,22.3,21.79,21.79,"%",49,2,2.65,0.2
"Drew Pomeranz","P","BOS","@ TB",3.99,"Odorizzi, R 4.08","L",3.64,0,0,5.3,9.8,1.32,NA,8700,34.9,16.9,14.59,14.59,"%",40,1.7,18.9,2.2
"James Paxton","P","SEA","vs OAK",3.49,"Manaea, L 3.75","L",3.27,0,0,5.7,9.9,1.21,NA,8500,40.5,19,16.44,16.44,"%",37,1.9,30.15,3.5
"Nick Pivetta","P","PHI","vs SD",4.33,"Richard, L 4.85","R",4.85,0,0,5.2,9.2,1.54,NA,8400,33.4,12.6,12.45,12.45,"%",17,1.5,24.15,2.9
"Trevor Williams","P","PIT","@ CHC",5.06,"Butler, R 4.18","R",4.67,0,0,4.2,6.4,1.21,NA,8100,25.1,8.6,9.34,9.34,"%",8,1.2,3.45,0.4
"Dan Straily","P","MIA","@ SF",4.31,"Moore, L 5.78","R",3.51,0,0,5.6,8.8,1.08,NA,8000,34.9,16.9,13.36,13.36,"%",36,1.7,24.35,3
"Clayton Richard","P","SD","@ PHI",4.67,"Pivetta, R 4.85","L",4.85,0,0,6.1,6.3,1.51,NA,7900,32.9,11.4,10.26,10.26,"%",1,1.3,11.9,1.5
"Cole Hamels","P","TEX","vs LAA",4.54,"Nolasco, R 4.06","L",4.12,0,0,6.2,4.5,1.17,NA,7800,34.9,11.5,12.73,12.73,"%",4,1.6,30.85,4
"Eddie Butler","P","CHC","vs PIT",3.94,"Williams, R 4.67","R",4.18,0,0,4.7,5.4,1.37,NA,7500,27.3,9.5,11.24,11.24,"%",15,1.5,6.2,0.8
"Kenta Maeda","P","LAD","vs KC",3.45,"Hammel, R 5.08","R",4.56,0,0,4.9,8.8,1.18,NA,7400,34.7,13.6,14.81,14.81,"%",27,2,19.65,2.7
"Kevin Gausman","P","BAL","@ MIN",4.87,"Jorge, R 5.40","R",5.61,0,0,5.2,7.3,1.74,NA,7300,34.7,9.3,9.72,9.72,"%",0,1.3,7,1
"Charlie Morton","P","HOU","@ TOR",4.88,"Sanchez, R 3.33","R",4.06,0,0,5.8,10.1,1.35,NA,7100,26.5,17.7,11.09,11.09,"%",56,1.6,17.9,2.5
"Ricky Nolasco","P","LAA","@ TEX",5.46,"Hamels, L 4.12","R",4.06,0,0,5.9,7.5,1.3,NA,6700,27.7,14.2,8.74,8.74,"%",33,1.3,-13.65,NA
"Jordan Montgomery","P","NYY","vs MIL",4.17,"Guerra, R 4.93","L",3.62,0,0,5.8,8.5,1.21,NA,6500,27.3,16.8,13.81,13.81,"%",60,2.1,9.55,1.5
"Sean Manaea","P","OAK","@ SEA",4.51,"Paxton, L 3.27","L",3.75,0,0,5.8,9.3,1.2,NA,6400,29.2,17.6,12.11,12.11,"%",52,1.9,10.35,1.6
"Jake Odorizzi","P","TB","vs BOS",4.51,"Pomeranz, L 3.64","R",4.08,0,0,5.3,7.6,1.24,NA,6200,26.5,13.4,11.05,11.05,"%",42,1.8,-0.85,NA
"Aaron Sanchez","P","TOR","vs HOU",4.63,"Morton, R 4.06","R",3.33,0,0,4.9,6.6,1.27,NA,6100,25,10.7,11.04,11.04,"%",35,1.8,-12.85,NA
"R.A. Dickey","P","ATL","@ WSH",5.06,"Scherzer, R 1.94","R",4.25,0,0,6.1,5.8,1.38,NA,5800,28.7,11.9,8.92,8.92,"%",17,1.5,24.75,4.3
"German Marquez","P","COL","vs CWS",4.67,"Holland, L 4.93","R",4.41,0,0,5.3,8.2,1.38,NA,5700,32.6,13.2,10.13,10.13,"%",15,1.8,18.35,3.2
"Aaron Judge","OF","NYY","vs MIL",6.33,"Guerra, R 4.93","R",0.331,0.477,0.369,0,0,0,3,5600,38.8,11.9,18.82,18.82,"%",58,3.4,16,2.9
"Timothy Adleman","P","CIN","@ ARI",5.37,"Greinke, R 3.05","R",4.67,0,0,5.3,8.3,1.32,NA,5600,26.2,13.1,8.13,8.13,"%",31,1.5,8.45,1.5
"Charlie Blackmon","OF","COL","vs CWS",6.33,"Holland, L 4.93","L",0.312,0.391,0.257,0,0,0,1,5600,35.6,10.3,18.73,18.73,"%",59,3.3,26,4.6
"Anthony Rizzo","1B","CHC","vs PIT",5.06,"Williams, R 4.67","L",0.264,0.394,0.251,0,0,0,3,5500,29.6,9.4,14.03,14.03,"%",59,2.6,16,2.9
"Matt Moore","P","SF","vs MIA",4.19,"Straily, R 3.51","L",5.78,0,0,5.6,7.7,1.59,NA,5500,33.1,10.2,11.2,11.2,"%",0,2,-7.7,NA
"Jordan Zimmermann","P","DET","@ CLE",5.91,"Carrasco, R 3.50","R",5.58,0,0,5.8,6.4,1.47,NA,5400,21.9,10,7.12,7.12,"%",26,1.3,-4.65,NA
"Kris Bryant","3B","CHC","vs PIT",5.06,"Williams, R 4.67","R",0.264,0.392,0.243,0,0,0,2,5400,29.6,9.1,13.31,13.31,"%",55,2.5,45,8.3
"Andrew McCutchen","OF","PIT","@ CHC",3.94,"Butler, R 4.18","R",0.289,0.385,0.23,0,0,0,3,5400,27,8.9,11.09,11.09,"%",55,2.1,15,2.8
"Mookie Betts","OF","BOS","@ TB",4.51,"Odorizzi, R 4.08","R",0.271,0.361,0.215,0,0,0,1,5300,33.8,9.8,13.26,13.26,"%",48,2.5,9,1.7
"Jason Hammel","P","KC","@ LAD",5.05,"Maeda, R 4.56","R",5.08,0,0,5.5,7.2,1.47,NA,5300,25.2,10.9,8.19,8.19,"%",22,1.5,14.9,2.8
"Bryce Harper","OF","WSH","vs ATL",5.06,"Dickey, R 4.25","L",0.317,0.431,0.266,0,0,0,3,5300,33.9,10.7,14.54,14.54,"%",55,2.7,5,0.9
"Junior Guerra","P","MIL","@ NYY",6.33,"Montgomery, L 3.62","R",4.93,0,0,5.1,7.1,1.6,NA,5200,22.8,9.2,6.4,6.4,"%",11,1.2,8.5,1.6
"Nolan Arenado","3B","COL","vs CWS",6.33,"Holland, L 4.93","R",0.295,0.372,0.235,0,0,0,3,5200,34.6,9,18.54,18.54,"%",55,3.6,32,6.2
"George Springer","OF","HOU","@ TOR",4.63,"Sanchez, R 3.33","R",0.296,0.397,0.274,0,0,0,1,5100,32,10.2,13.71,13.71,"%",55,2.7,46,9
"Carlos Correa","SS","HOU","@ TOR",4.63,"Sanchez, R 3.33","R",0.319,0.407,0.233,0,0,0,4,5100,28.6,9.8,13.43,13.43,"%",61,2.6,23,4.5
"Jose Altuve","2B","HOU","@ TOR",4.63,"Sanchez, R 3.33","R",0.341,0.411,0.203,0,0,0,2,5100,29.7,10.2,13.15,13.15,"%",59,2.6,11,2.2
"Ian Happ","2B/OF","CHC","vs PIT",5.06,"Williams, R 4.67","B",0.263,0.369,0.292,0,0,0,4,5000,30.3,8.4,12.45,12.45,"%",47,2.5,10,2
"Daniel Murphy","2B","WSH","vs ATL",5.06,"Dickey, R 4.25","L",0.343,0.415,0.236,0,0,0,5,5000,28.1,9.9,11.53,11.53,"%",58,2.3,12,2.4
"Jose Ramirez","2B/3B","CLE","vs DET",5.91,"Zimmermann, R 5.58","B",0.33,0.413,0.262,0,0,0,5,4900,32.3,9.8,13.7,13.7,"%",53,2.8,12,2.4
"Paul Goldschmidt","1B","ARI","vs CIN",5.37,"Adleman, R 4.67","R",0.314,0.434,0.265,0,0,0,3,4900,30.2,11,13.76,13.76,"%",63,2.8,14,2.9
"Derek Holland","P","CWS","@ COL",6.33,"Marquez, R 4.41","L",4.93,0,0,5.5,7.9,1.49,NA,4900,30.4,12,5.6,5.6,"%",0,1.1,-7,NA
"Felix Jorge","P","MIN","vs BAL",5.13,"Gausman, R 5.61","R",5.4,0,0,5,3.6,1.6,NA,4700,7.5,8.5,7.47,7.47,"%",0,1.6,-6.8,NA
"Gary Sanchez","C","NYY","vs MIL",6.33,"Guerra, R 4.93","R",0.289,0.387,0.229,0,0,0,4,4700,33.2,9.3,14.7,14.7,"%",50,3.1,0,NA
"Corey Seager","SS","LAD","vs KC",5.05,"Hammel, R 5.08","L",0.299,0.394,0.21,0,0,0,2,4700,30.2,9,12.98,12.98,"%",52,2.8,5,1.1
"Jose Abreu","1B","CWS","@ COL",4.67,"Marquez, R 4.41","R",0.293,0.367,0.224,0,0,0,3,4700,29.1,8.9,13.72,13.72,"%",57,2.9,11,2.3
"Max Kepler","OF","MIN","vs BAL",4.87,"Gausman, R 5.61","L",0.259,0.334,0.172,0,0,0,4,4600,24.8,6.9,9.8,9.8,"%",46,2.1,12,2.6
"Jonathan Schoop","2B","BAL","@ MIN",5.13,"Jorge, R 5.40","R",0.301,0.38,0.242,0,0,0,3,4600,27.6,8.4,12.85,12.85,"%",56,2.8,0,NA
"Miguel Sano","3B","MIN","vs BAL",4.87,"Gausman, R 5.61","R",0.279,0.395,0.268,0,0,0,3,4600,28,9.3,11.02,11.02,"%",54,2.4,7,1.5
"Ryan Braun","OF","MIL","@ NYY",4.17,"Montgomery, L 3.62","R",0.267,0.385,0.296,0,0,0,3,4600,26.5,9.3,11.08,11.08,"%",58,2.4,11,2.4
