"Corey Seager_LAD","Paul Goldschmidt_ARI","Justin Turner_LAD","Yasiel Puig_LAD","Nolan Arenado_COL","DJ LeMahieu_COL","Joc Pederson_LAD","Cody Bellinger_LAD","Logan Forsythe_LAD","Charlie Blackmon_COL","Jake Lamb_ARI","AJ Pollock_ARI","Chase Utley_LAD","Carlos Gonzalez_COL","Mark Reynolds_COL","Yasmani Grandal_LAD","Adrian Gonzalez_LAD","Ian Desmond_COL","Chris Taylor_LAD","Trevor Story_COL","Gregory Polanco_PIT","Franklin Gutierrez_LAD","David Dahl_COL","Yasmany Tomas_ARI","Trayce Thompson_LAD","Chris Owings_ARI","Starling Marte_PIT","Andrew Toles_LAD","Austin Barnes_LAD","Andrew McCutchen_PIT","Josh Harrison_PIT","Kike Hernandez_LAD","Rob Segedin_LAD","David Peralta_ARI","Brandon Drury_ARI","Andre Ethier_LAD","Gerardo Parra_COL","Francisco Cervelli_PIT","Scott Van Slyke_LAD","Josh Bell_PIT","Stephen Cardullo_COL","Raimel Tapia_COL","Chris Iannetta_ARI","David Freese_PIT","Dustin Garneau_COL","Alen Hanson_PIT","Tom Murphy_COL","John Jaso_PIT","Jordy Mercer_PIT","Danny Ortiz_PIT","Socrates Brito_ARI","Kevin Newman_PIT","Gregor Blanco_ARI","Chris Herrmann_ARI","Jeremy Hazelbaker_ARI","Jose Osuna_PIT","Adam Frazier_PIT","Ryan Hanigan_COL","Pat Valaika_COL","Nick Ahmed_ARI","Tony Wolters_COL","Elias Diaz_PIT","Phil Gosselin_PIT","Brett Eibner_LAD","Cristhian Adames_COL","Daniel Descalso_ARI","Gift Ngoepe_PIT","Alexi Amarista_COL","Max Moroff_PIT","Chris Stewart_PIT","Chris Bostick_PIT","John Bormann_PIT","Jeff Mathis_ARI"
30,0,27,29,0,0,15,13,11,0,0,0,14,0,0,24,21,0,9,0,0,4,0,0,2,0,0,17,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,0,0,0,0,0,0,0,0,31,29,0,0,0,0,0,0,0,0,0,0,0,25,0,29,0,0,0,0,0,0,0,25,28,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,16,0,0,0,0,0,13,0,0,0,0,0,0,16
27,0,29,28,0,0,15,13,10,0,0,0,12,0,0,22,19,0,9,0,0,4,0,0,2,0,0,16,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,28,31,0,0,16,13,11,0,0,0,13,0,0,24,21,0,11,0,0,4,0,0,2,0,0,17,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,31,29,0,0,0,30,0,0,0,27,28,0,0,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,15,0,0,0,0,0,0,5,0,0,0,0,0
0,0,0,0,29,30,0,0,0,29,0,0,0,26,27,0,0,9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,14,0,0,0,0,0,0,4,0,0,0,0,0
15,0,15,16,0,0,16,5,6,0,0,0,8,0,0,13,10,0,5,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,13,13,0,0,5,14,0,0,0,0,8,0,0,11,7,0,9,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,10,11,0,0,6,0,11,0,0,0,0,0,0,8,9,0,0,0,0,3,0,0,2,0,0,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,30,29,0,0,0,31,0,0,0,28,28,0,0,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,15,0,0,0,0,0,0,4,0,0,0,0,0
0,31,0,0,0,0,0,0,0,0,32,27,0,0,0,0,0,0,0,0,0,0,0,23,0,27,0,0,0,0,0,0,0,25,26,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,14,0,0,0,0,0,10,0,0,0,0,0,0,16
0,29,0,0,0,0,0,0,0,0,27,30,0,0,0,0,0,0,0,0,0,0,0,25,0,28,0,0,0,0,0,0,0,21,25,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,9,0,0,0,0,0,0,16
