P,P,C,1B,2B,3B,SS,OF,OF,OF
Corey Kluber,Amir Garrett,James McCann,Miguel Cabrera,Ian Kinsler,Nicholas Castellanos,Xander Bogaerts,JD Martinez,David Peralta,Denard Span
Corey Kluber,Matt Moore,Jonathan Lucroy,Edwin Encarnacion,Jose Ramirez,Nicholas Castellanos,Francisco Lindor,Michael Brantley,Lonnie Chisenhall,Mallex Smith
Michael Wacha,Matt Moore,James McCann,Miguel Cabrera,Ian Kinsler,Nicholas Castellanos,Carlos Correa,Aaron Judge,Justin Upton,David Peralta
Corey Kluber,Matt Moore,James McCann,Victor Martinez,Kolten Wong,Nicholas Castellanos,Jose Iglesias,Justin Upton,Michael Brantley,Gregor Blanco
Corey Kluber,Matt Moore,James McCann,Paul Goldschmidt,Daniel Descalso,Derek Dietrich,Chris Owings,David Peralta,Christian Yelich,Gregor Blanco
Corey Kluber,Amir Garrett,Sandy Leon,Mitch Moreland,Dustin Pedroia,Jake Lamb,Xander Bogaerts,Michael Brantley,Mookie Betts,Christian Yelich
Tanner Roark,Matt Moore,Gary Sanchez,Mitch Moreland,Dustin Pedroia,Nicholas Castellanos,Trea Turner,Andrew Benintendi,Mookie Betts,Jackie Bradley
Corey Kluber,Amir Garrett,Sandy Leon,Miguel Cabrera,Ian Kinsler,Pablo Sandoval,Trea Turner,Andrew Benintendi,Mookie Betts,Jackie Bradley
Tanner Roark,Matt Moore,Gary Sanchez,Miguel Cabrera,Jason Kipnis,Nicholas Castellanos,Jose Iglesias,JD Martinez,Bryce Harper,Mikie Mahtook
Rich Hill,Matt Moore,Brian McCann,Victor Martinez,Ian Kinsler,Nicholas Castellanos,Jose Iglesias,JD Martinez,Mookie Betts,David Peralta
Matt Moore,Tyler Glasnow,Gary Sanchez,Paul Goldschmidt,Daniel Descalso,Jake Lamb,Chris Owings,Bryce Harper,Mookie Betts,David Peralta
Corey Kluber,Amir Garrett,Sandy Leon,Hanley Ramirez,Jason Kipnis,Nicholas Castellanos,Xander Bogaerts,Andrew Benintendi,Mookie Betts,David Peralta
Corey Kluber,Matt Moore,Austin Romine,Victor Martinez,Ian Kinsler,Chase Headley,Didi Gregorius,Brett Gardner,Aaron Hicks,Mookie Betts
