"Place_lo","Place_hi","Payout"
"1","1","15000"
"2","2","8000"
"3","3","5000"
"4","4","3000"
"5","5","2000"
"6","6","1500"
"7","8","1000"
"9","10","700"
"11","15","500"
"16","20","350"
"21","30","250"
"31","45","200"
"46","70","150"
"71","120","100"
"121","170","70"
"171","270","50"
"271","420","40"
"421","670","35"
"671","1070","30"
"1071","1780","25"
"1781","2985","20"
"2986","5085","15"
