"Bryce Harper_WAS","Cody Bellinger_LAD","Corey Seager_LAD","Ryan Zimmerman_WAS","Daniel Murphy_WAS","Anthony Rendon_WAS","Justin Turner_LAD","Wil Myers_SD","Jedd Gyorko_STL","Trea Turner_WAS","Joc Pederson_LAD","Chris Taylor_LAD","Tommy Pham_STL","Michael Taylor_WAS","Dexter Fowler_STL","Randal Grichuk_STL","Stephen Piscotty_STL","Adam Eaton_WAS","Yadier Molina_STL","Aledmys Diaz_STL","Paul DeJong_STL","Adrian Gonzalez_LAD","Yasiel Puig_LAD","Adam Lind_WAS","Matt Carpenter_STL","Kike Hernandez_LAD","Hunter Renfroe_SD","Jayson Werth_WAS","Chase Utley_LAD","Manuel Margot_SD","Brian Goodwin_WAS","Matt Wieters_WAS","Franklin Gutierrez_LAD","Yasmani Grandal_LAD","Logan Forsythe_LAD","Ryan Schimpf_SD","Peter O'Brien_LAD","Austin Barnes_LAD","Yangervis Solarte_SD","Ryan Raburn_WAS","Chad Huffman_STL","Jose Pirela_SD","Erick Aybar_SD","Trayce Thompson_LAD","Alex Dickerson_SD","Jose Martinez_STL","Andrew Toles_LAD","Willie Calhoun_LAD","Kolten Wong_STL","Rob Segedin_LAD","Franchy Cordero_SD","Alex Verdugo_LAD","Stephen Drew_WAS","Harrison Bader_STL","Andre Ethier_LAD","Travis Jankowski_SD","Cory Spangenberg_SD","Scott Van Slyke_LAD","Matt Szczur_SD","Chase d'Arnaud_SD","Allen Cordoba_SD","Chris Heisey_WAS","Wilmer Difo_WAS","Magneuris Sierra_STL","Christian Bethancourt_SD","Luis Urias_SD","Greg Garcia_STL","Pedro Severino_WAS","Carson Kelly_STL","Jose Rondon_SD","Austin Hedges_SD","Eric Fryer_STL","Rafael Bautista_WAS","Jabari Blash_SD","Jose Lobaton_WAS","Luke Voit_STL","Hector Sanchez_SD","Mike Freeman_LAD","Carlos Asuaje_SD","Alex Mejia_STL","Brett Eibner_LAD","Adrian Sanchez_WAS","Luis Torrens_SD"
66,0,0,55,60,60,0,0,0,52,0,0,0,47,0,0,0,18,0,0,0,0,0,14,0,0,0,36,0,0,18,49,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
0,57,49,0,0,0,34,0,0,0,25,46,0,0,0,0,0,0,0,0,0,25,45,0,0,0,0,0,39,0,0,0,7,43,27,0,0,16,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,49,67,0,0,0,43,0,0,0,31,41,0,0,0,0,0,0,0,0,0,38,57,0,0,0,0,0,41,0,0,0,10,52,33,0,0,16,0,0,0,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
55,0,0,61,57,56,0,0,0,51,0,0,0,47,0,0,0,15,0,0,0,0,0,6,0,0,0,37,0,0,17,46,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
60,0,0,57,66,60,0,0,0,53,0,0,0,48,0,0,0,18,0,0,0,0,0,14,0,0,0,39,0,0,19,47,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
60,0,0,56,60,66,0,0,0,53,0,0,0,50,0,0,0,16,0,0,0,0,0,15,0,0,0,37,0,0,19,47,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
0,34,43,0,0,0,51,0,0,0,30,27,0,0,0,0,0,0,0,0,0,21,44,0,0,0,0,0,24,0,0,0,9,36,22,0,0,16,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,45,0,0,0,0,0,42,0,0,63,0,0,17,52,0,0,0,0,0,0,0,18,0,0,0,0,13,39,0,15,10,30,0,0,0,0,0,0,0,0,0,57,0,0,7,0,0,2,0,7,0,0,0,14
0,0,0,0,0,0,0,0,61,0,0,0,37,0,46,35,40,0,52,50,22,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
52,0,0,51,53,53,0,0,0,59,0,0,0,48,0,0,0,10,0,0,0,0,0,13,0,0,0,34,0,0,19,42,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
0,25,31,0,0,0,30,0,0,0,37,21,0,0,0,0,0,0,0,0,0,13,33,0,0,0,0,0,25,0,0,0,2,31,17,0,0,7,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46,41,0,0,0,27,0,0,0,21,50,0,0,0,0,0,0,0,0,0,19,39,0,0,0,0,0,29,0,0,0,9,34,23,0,0,18,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,37,0,0,0,42,0,28,17,23,0,33,35,23,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
47,0,0,47,48,50,0,0,0,48,0,0,0,54,0,0,0,3,0,0,0,0,0,13,0,0,0,26,0,0,19,38,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,46,0,0,0,28,0,58,32,42,0,49,51,17,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,35,0,0,0,17,0,32,45,28,0,39,38,6,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,40,0,0,0,23,0,42,28,52,0,40,43,21,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
18,0,0,15,18,16,0,0,0,10,0,0,0,3,0,0,0,19,0,0,0,0,0,4,0,0,0,16,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
