Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Le'Veon Bell,RB,PIT,vs MIA,19th,10300,14.6,45.8,20,25.01,25.01,100,63,2.4,34.4,3.3
Antonio Brown,WR,PIT,vs MIA,28th,9400,12.4,40,26.1,21.64,21.64,100,57,2.3,32.4,3.4
Odell Beckham Jr.,WR,NYG,@ GB,31st,9100,10.6,38.8,22.9,20.05,20.05,100,52,2.2,6.8,0.7
Jordy Nelson,WR,GB,vs NYG,9th,8000,8.7,36.6,,18.04,18.04,100,54,2.3,2.3,0.3
Aaron Rodgers,QB,GB,vs NYG,9th,7900,12.7,36.7,20.1,20.72,20.72,100,69,2.6,33.48,4.2
Ben Roethlisberger,QB,PIT,vs MIA,32nd,7600,10.1,37.7,22.3,19.32,19.32,100,54,2.5,14.88,2
Russell Wilson,QB,SEA,vs DET,18th,7000,11.7,36.3,21.9,19.89,19.89,100,55,2.8,16.66,2.4
Doug Baldwin,WR,SEA,vs DET,10th,7000,7.3,37.3,17.4,17.33,17.33,100,39,2.5,31,4.4
Jay Ajayi,RB,MIA,@ PIT,12th,6800,3,33.3,4.7,13.11,13.11,100,34,1.9,7.5,1.1
DeAndre Hopkins,WR,HOU,vs OAK,20th,6700,7.3,26.2,21.8,13.63,13.63,100,50,2,17.7,2.6
Golden Tate,WR,DET,@ SEA,8th,6300,5,33.8,13.2,14.56,14.56,100,35,2.3,5.5,0.9
Eli Manning,QB,NYG,@ GB,31st,6100,9.6,27.3,20.2,15.54,15.54,100,63,2.5,15.06,2.5
Lamar Miller,RB,HOU,vs OAK,23rd,6100,4.3,28.9,15.1,12.51,12.51,100,44,2.1,13.3,2.2
Matthew Stafford,QB,DET,@ SEA,6th,5700,9.3,29.1,19.7,15.91,15.91,100,66,2.8,9.7,1.7
Thomas Rawls,RB,SEA,vs DET,5th,5700,5.2,27.4,11.7,12.62,12.62,100,15,2.2,26.2,4.6
Davante Adams,WR,GB,vs NYG,9th,5600,1.8,33,8.2,12.16,12.16,100,36,2.2,29.5,5.3
DeAngelo Williams,RB,PIT,vs MIA,19th,5600,0,30.2,15.4,3.85,3.85,100,0,0.7,0.2,0
Ty Montgomery,RB,GB,vs NYG,3rd,5500,0,25.1,7,6.07,6.07,100,1,1.1,9.8,1.8
Jimmy Graham,TE,SEA,vs DET,31st,5300,4,28,11.2,12.03,12.03,100,36,2.3,6.7,1.3
Michael Crabtree,WR,OAK,@ HOU,14th,5300,3.4,28.3,15,11.72,11.72,100,46,2.2,5.3,1
Amari Cooper,WR,OAK,@ HOU,14th,5200,2.5,30.7,14.3,11.89,11.89,100,38,2.3,3,0.6
Brock Osweiler,QB,HOU,vs OAK,12th,5100,7.8,24.6,15.8,13.45,13.45,100,55,2.6,18.22,3.6
Jarvis Landry,WR,MIA,@ PIT,22nd,5100,6.9,27.6,17.8,13.82,13.82,100,55,2.7,24.2,4.7
Matt Moore,QB,MIA,@ PIT,23rd,5100,3.4,27.7,0.4,11.52,11.52,100,44,2.3,12.76,2.5
Latavius Murray,RB,OAK,@ HOU,4th,5000,3.1,28,13.2,11.45,11.45,100,46,2.3,12.1,2.4
Connor Cook,QB,OAK,@ HOU,7th,5000,3.2,19.4,,12.92,12.92,100,0,2.6,7.44,1.5
Sterling Shepard,WR,NYG,@ GB,31st,4800,4.6,22,,10.44,10.44,100,50,2.2,10.3,2.1
Zach Zenner,RB,DET,@ SEA,7th,4500,4.2,21,2.3,9.76,9.76,100,21,2.2,14.8,3.3
Alex Collins,RB,SEA,vs DET,5th,4500,3.4,14.5,,7.11,7.11,100,10,1.6,3.4,0.8
Will Fuller,WR,HOU,vs OAK,20th,4400,0.1,23.2,,7.84,7.84,100,20,1.8,7.7,1.8
Alfred Blue,RB,HOU,vs OAK,23rd,4300,0,13.5,8.7,4.5,4.5,100,0,1,0.4,0.1
DeVante Parker,WR,MIA,@ PIT,22nd,4200,2.3,22.1,12.1,8.93,8.93,100,38,2.1,9.5,2.3
Rashad Jennings,RB,NYG,@ GB,20th,4200,4.2,19.8,10.8,9.44,9.44,100,51,2.2,4.3,1
C.J. Fiedorowicz,TE,HOU,vs OAK,12th,4200,4.3,20.8,3,9.83,9.83,100,38,2.3,5.5,1.3
Aaron Ripkowski,RB,GB,vs NYG,3rd,4100,1.3,7.7,,5.15,5.15,100,0,1.3,,
Paul Perkins,RB,NYG,@ GB,20th,4100,7.4,16.1,,10.29,10.29,100,52,2.5,8.7,2.1
Marvin Jones,WR,DET,@ SEA,8th,4100,0.7,29.2,10.9,10.15,10.15,100,25,2.5,12.1,3
Randall Cobb,WR,GB,vs NYG,9th,4000,2.2,24.4,12.9,9.6,9.6,100,36,2.4,37.6,9.4
Anquan Boldin,WR,DET,@ SEA,8th,4000,4.6,19.9,12.6,9.69,9.69,100,54,2.4,4.4,1.1
Jermaine Kearse,WR,SEA,vs DET,10th,4000,3.1,14.2,9.4,6.82,6.82,100,39,1.7,3.4,0.9
Eli Rogers,WR,PIT,vs MIA,28th,4000,2.6,20.3,,8.47,8.47,100,40,2.1,2.9,0.7
Eric Ebron,TE,DET,@ SEA,2nd,3900,5.7,19.5,9.3,10.28,10.28,100,57,2.6,4.3,1.1
Texans,DST,HOU,vs OAK,15th,3800,4,15.7,9.4,7.9,7.9,100,35,2.1,10,2.6
Victor Cruz,WR,NYG,@ GB,31st,3800,1.9,15.7,,6.47,6.47,100,37,1.7,6,1.6
Kenny Stills,WR,MIA,@ PIT,22nd,3800,1.7,22.1,5.9,8.54,8.54,100,36,2.2,13.2,3.5
Seahawks,DST,SEA,vs DET,23rd,3700,2.8,15.7,9.9,7.08,7.08,100,43,1.9,10,2.7
Jared Cook,TE,GB,vs NYG,30th,3600,0.5,21,5.5,7.35,7.35,100,11,2,9.8,2.7
Damien Williams,RB,MIA,@ PIT,12th,3600,0,11.8,3.3,3.65,3.65,100,35,1,8.8,2.4
Steelers,DST,PIT,vs MIA,14th,3500,1.9,17.8,9.3,7.15,7.15,100,20,2,15,4.3
Jalen Richard,RB,OAK,@ HOU,4th,3400,0.3,17.1,,5.9,5.9,100,22,1.7,3.1,0.9
Paul Richardson,WR,SEA,vs DET,10th,3400,1.5,12.9,5,5.34,5.34,100,19,1.6,13.8,4.1
Christine Michael,RB,GB,vs NYG,3rd,3400,0,22,4,5.81,5.81,100,14,1.7,4.7,1.4
Dwayne Washington,RB,DET,@ SEA,7th,3400,1.4,7.4,,3.44,3.44,100,56,1,,
DeAndre Washington,RB,OAK,@ HOU,4th,3300,0,14.8,,3.22,3.22,100,12,1,1.6,0.5
Geronimo Allison,WR,GB,vs NYG,9th,3300,0,19.4,,5.99,5.99,100,0,1.8,1.8,0.5
Packers,DST,GB,vs NYG,26th,3200,2.4,16.2,7.3,7,7,100,35,2.2,10,3.1
Giants,DST,NYG,@ GB,2nd,3100,0,20.2,7.1,5.95,5.95,100,17,1.9,1,0.3
Tanner McEvoy,WR,SEA,vs DET,10th,3000,0,13.1,,4.09,4.09,100,2,1.4,0,
Raiders,DST,OAK,@ HOU,21st,3000,3.4,15.1,6.7,7.27,7.27,100,36,2.4,0,
Seth Roberts,WR,OAK,@ HOU,14th,3000,0.6,13.2,7.2,4.85,4.85,100,40,1.6,1.1,0.4
Andre Holmes,WR,OAK,@ HOU,14th,3000,0,7.6,4.5,0,0,100,0,0,15,5
Tavarres King,WR,NYG,@ GB,31st,3000,0,4.6,,0,0,100,0,0,16.3,5.4
Jesse James,TE,PIT,vs MIA,26th,3000,0,13.3,4.3,4.32,4.32,100,21,1.4,1.6,0.5
Sammie Coates,WR,PIT,vs MIA,28th,3000,0,24.6,2.1,5,5,100,0,1.7,0,
Demarcus Ayers,WR,PIT,vs MIA,28th,3000,0,0,,0,0,100,0,0,4.1,1.4
Lions,DST,DET,@ SEA,28th,2900,1.2,15.3,5.9,5.89,5.89,100,20,2,3,1
Ryan Griffin,TE,HOU,vs OAK,12th,2900,0.4,13.6,6.3,4.84,4.84,100,33,1.7,5.9,2
Will Tye,TE,NYG,@ GB,15th,2800,4,11,8.1,6.35,6.35,100,60,2.3,10.6,3.8
Dolphins,DST,MIA,@ PIT,3rd,2700,0,17.4,5.8,5.56,5.56,100,14,2.1,4,1.5
Dion Sims,TE,MIA,@ PIT,21st,2500,0,16.7,3,5.53,5.53,100,3,2.2,8.4,3.4
Dominique Jones,TE,MIA,@ PIT,21st,2500,0.3,14.7,,5.13,5.13,100,0,2.1,,
Richard Rodgers,TE,GB,vs NYG,30th,2500,0,10.4,10.2,3.44,3.44,100,24,1.4,,
MarQueis Gray,TE,MIA,@ PIT,21st,2500,0,9.2,1.2,3.01,3.01,100,21,1.2,,
Luke Willson,TE,SEA,vs DET,31st,2500,0.4,11.8,3.4,4.18,4.18,100,5,1.7,1.4,0.6
Clive Walford,TE,OAK,@ HOU,1st,2500,1.3,13.9,5.3,5.47,5.47,100,28,2.2,3.6,1.4
Mychal Rivera,TE,OAK,@ HOU,1st,2500,0.1,10.6,4.7,3.6,3.6,100,19,1.4,7.1,2.8
Jerell Adams,TE,NYG,@ GB,15th,2500,0,9,,3,3,100,21,1.2,,
