"Player","Pos","Team","Opp","Def.v.Pos","Salary","Floor","Ceiling","X2015.Avg","FC.Proj","My.Proj","Exposure","Consistency","Value","Actual.Score","Actual.Val"
"Antonio Brown","WR","PIT","@ CLE","29th",9500,10.3,45.1,26.1,21.92,21.92,100,50,2.3,15.6,1.6
"Le'Veon Bell","RB","PIT","@ CLE","29th",8800,15.9,47.1,20,26.27,26.27,100,56,3,37.1,4.2
"Odell Beckham","WR","NYG","vs CHI","16th",8500,8.3,42.5,22.9,19.66,19.66,100,40,2.3,9.6,1.1
"A.J. Green","WR","CIN","vs BUF","32nd",8300,8.8,40.9,17.9,19.48,19.48,100,51,2.3,0,NA
"DeMarco Murray","RB","TEN","@ IND","13th",8200,10.2,38.1,12.6,19.5,19.5,100,60,2.4,16.9,2.1
"Mike Evans","WR","TB","@ KC","15th",8100,10.2,39.3,15.1,19.9,19.9,100,56,2.5,19.5,2.4
"Ezekiel Elliott","RB","DAL","vs BAL","5th",8000,4.6,27.3,NA,18.21,18.21,100,0,2.3,16.7,2.1
"David Johnson","RB","ARI","@ MIN","14th",7900,9.6,41.1,13.7,20.09,20.09,100,59,2.5,38,4.8
"Cam Newton","QB","CAR","vs NO","32nd",7900,13.5,42.9,25.9,23.28,23.28,100,54,2.9,12.38,1.6
"Tom Brady","QB","NE","@ SF","20th",7800,17.5,44.5,23.4,26.49,26.49,100,65,3.4,28.4,3.6
"Jordy Nelson","WR","GB","@ WAS","11th",7800,5.8,39.1,NA,16.87,16.87,100,40,2.2,NA,NA
"T.Y. Hilton","WR","IND","vs TEN","30th",7700,8.5,38.2,13.6,18.36,18.36,100,46,2.4,20.7,2.7
"Drew Brees","QB","NO","@ CAR","26th",7600,11.9,36.5,23.1,20.07,20.07,100,68,2.6,17.4,2.3
"Aaron Rodgers","QB","GB","@ WAS","13th",7600,13.2,39,20.1,21.83,21.83,100,65,2.9,NA,NA
"Ben Roethlisberger","QB","PIT","@ CLE","27th",7500,9.7,40.3,22.3,19.86,19.86,100,57,2.6,8.68,1.2
"Amari Cooper","WR","OAK","vs HOU","4th",7500,5.9,35.6,14.3,15.79,15.79,100,48,2.1,NA,NA
"Allen Robinson","WR","JAC","@ DET","21st",7400,7.1,35.9,20.1,16.67,16.67,100,37,2.3,10.8,1.5
"Kelvin Benjamin","WR","CAR","vs NO","31st",7300,7.2,32.1,NA,15.48,15.48,100,43,2.1,8.6,1.2
"Andrew Luck","QB","IND","vs TEN","28th",7200,11.2,37.6,21.4,20.01,20.01,100,61,2.8,19.68,2.7
"Dez Bryant","WR","DAL","vs BAL","13th",7200,3.6,32.7,10.2,13.3,13.3,100,34,1.8,26,3.6
"Larry Fitzgerald","WR","ARI","@ MIN","10th",7100,5.5,34.9,18.2,15.26,15.26,100,48,2.1,12.3,1.7
"Brandin Cooks","WR","NO","@ CAR","17th",7000,7.3,32.5,16.6,15.74,15.74,100,52,2.2,11.9,1.7
"Stefon Diggs","WR","MIN","vs ARI","24th",7000,5.9,29.6,11.9,13.81,13.81,100,59,2,9.7,1.4
"LeSean McCoy","RB","BUF","@ CIN","31st",6900,11.4,31.2,15.8,18.03,18.03,100,66,2.6,12.5,1.8
"Jay Ajayi","RB","MIA","@ LA","8th",6800,11.3,21.8,4.7,14.79,14.79,100,79,2.2,11.4,1.7
"Marcus Mariota","QB","TEN","@ IND","30th",6700,8.6,41.9,19.7,19.72,19.72,100,47,2.9,22.5,3.4
"Davante Adams","WR","GB","@ WAS","11th",6700,4.8,24.6,8.2,11.4,11.4,100,61,1.7,NA,NA
"Matthew Stafford","QB","DET","vs JAC","10th",6600,10.8,35.1,19.7,18.91,18.91,100,60,2.9,11.12,1.7
"Jarvis Landry","WR","MIA","@ LA","9th",6600,7,29.5,17.8,14.52,14.52,100,50,2.2,13.8,2.1
"Michael Thomas","WR","NO","@ CAR","17th",6600,3.5,21.3,NA,14.19,14.19,100,0,2.2,11.8,1.8
"DeAndre Hopkins","WR","HOU","@ OAK","1st",6500,6,37.2,21.8,16.43,16.43,100,18,2.5,NA,NA
"Michael Crabtree","WR","OAK","vs HOU","4th",6500,6.2,28.7,15,13.66,13.66,100,56,2.1,NA,NA
"Greg Olsen","TE","CAR","vs NO","27th",6500,7.7,32.6,14.8,16.02,16.02,100,49,2.5,7.3,1.1
"Derek Carr","QB","OAK","vs HOU","7th",6400,8.7,32.4,19.1,16.57,16.57,100,61,2.6,NA,NA
"LeGarrette Blount","RB","NE","@ SF","32nd",6400,5.1,32.7,10.5,14.29,14.29,100,47,2.2,15.4,2.4
"Eli Manning","QB","NYG","vs CHI","11th",6300,7.6,33.7,20.2,16.32,16.32,100,50,2.6,17.18,2.7
"Julian Edelman","WR","NE","@ SF","18th",6300,8.2,31.3,19.6,15.92,15.92,100,32,2.5,22.9,3.6
"Donte Moncrief","WR","IND","vs TEN","30th",6100,4.9,31,11.2,13.64,13.64,100,29,2.2,13.7,2.2
"Russell Wilson","QB","SEA","vs PHI","12th",6100,9.2,35.3,21.9,17.91,17.91,100,49,2.9,25.28,4.1
"Spencer Ware","RB","KC","vs TB","26th",6000,10,31,10.9,17.04,17.04,100,57,2.8,10.5,1.8
"Dak Prescott","QB","DAL","vs BAL","19th",6000,4.3,25.8,NA,17.21,17.21,100,0,2.9,28.64,4.8
"Steve Smith","WR","BAL","@ DAL","26th",6000,2.1,34.5,20,12.9,12.9,100,20,2.2,23.9,4
"Randall Cobb","WR","GB","@ WAS","11th",5900,5.8,30.7,12.9,14.08,14.08,100,41,2.4,NA,NA
"Jordan Reed","TE","WAS","vs GB","15th",5900,5.3,34.7,18,15.07,15.07,100,36,2.6,NA,NA
"Jonathan Stewart","RB","CAR","vs NO","17th",5900,7.5,26.7,13.1,13.93,13.93,100,38,2.4,10.9,1.8
"Jameis Winston","QB","TB","@ KC","14th",5900,10.9,23.2,18.6,15.04,15.04,100,80,2.5,21.44,3.6
"Lamar Miller","RB","HOU","@ OAK","20th",5800,6.5,32.6,15.1,15.18,15.18,100,40,2.6,NA,NA
"Kirk Cousins","QB","WAS","vs GB","15th",5800,8.3,36.8,20.5,17.81,17.81,100,52,3.1,NA,NA
"Jordan Howard","RB","CHI","@ NYG","23rd",5800,3.3,20,NA,13.35,13.35,100,0,2.3,10.9,1.9
"Delanie Walker","TE","TEN","@ IND","31st",5700,5.9,27.8,16.5,13.23,13.23,100,50,2.3,7.6,1.3
"Andy Dalton","QB","CIN","vs BUF","29th",5700,9,34,20.4,17.35,17.35,100,56,3,17.28,3
"Doug Baldwin","WR","SEA","vs PHI","19th",5700,4.4,32.3,17.4,13.67,13.67,100,43,2.4,22,3.9
"Carson Palmer","QB","ARI","@ MIN","18th",5600,7.1,26.6,21.8,13.56,13.56,100,64,2.4,15.02,2.7
"Jimmy Graham","TE","SEA","vs PHI","5th",5600,3.1,29.5,11.2,11.89,11.89,100,38,2.1,13.6,2.4
"Tyrod Taylor","QB","BUF","@ CIN","22nd",5600,9.5,33.8,19.9,17.57,17.57,100,57,3.1,9.54,1.7
"Terrelle Pryor","WR","CLE","vs PIT","8th",5600,3.3,19.7,2.6,13.11,13.11,100,0,2.3,14.7,2.6
"Latavius Murray","RB","OAK","vs HOU","28th",5500,5.4,27,13.2,12.65,12.65,100,57,2.3,NA,NA
"Mike Wallace","WR","BAL","@ DAL","26th",5500,4,24.7,6.6,10.94,10.94,100,57,2,12.5,2.3
"Joe Flacco","QB","BAL","@ DAL","21st",5500,6.4,29,19.1,13.95,13.95,100,54,2.5,15.36,2.8
"Blake Bortles","QB","JAC","@ DET","23rd",5400,8.6,33.2,22.3,16.75,16.75,100,61,3.1,14.38,2.7
"Tyler Eifert","TE","CIN","vs BUF","20th",5400,3.4,31.2,15,12.65,12.65,100,35,2.3,6.7,1.2
"Doug Martin","RB","TB","@ KC","12th",5400,4,30.1,15.6,12.71,12.71,100,8,2.4,13.5,2.5
"Jordan Matthews","WR","PHI","@ SEA","5th",5400,3.4,32.5,15.2,13.08,13.08,100,31,2.4,10.9,2
"Jamison Crowder","WR","WAS","vs GB","23rd",5400,5,24.5,8.6,11.49,11.49,100,58,2.1,NA,NA
"Derrick Henry","RB","TEN","@ IND","13th",5300,1.6,9.8,NA,6.55,6.55,100,0,1.2,NA,NA
"Golden Tate","WR","DET","vs JAC","14th",5300,7.2,30.3,13.2,14.89,14.89,100,41,2.8,4.1,0.8
"Cole Beasley","WR","DAL","vs BAL","13th",5300,2.9,24.8,8.5,10.2,10.2,100,48,1.9,16.9,3.2
"Alex Smith","QB","KC","vs TB","31st",5300,0,9.6,17.6,0,0,100,67,0,20.44,3.9
"Will Fuller","WR","HOU","@ OAK","1st",5300,3.5,21.3,NA,14.18,14.18,100,0,2.7,NA,NA
"Mark Ingram","RB","NO","@ CAR","1st",5300,4.9,22.6,17.3,10.85,10.85,100,60,2,10.5,2
"Jay Cutler","QB","CHI","@ NYG","16th",5200,7.5,25.8,16.8,13.61,13.61,100,40,2.6,13.38,2.6
"Colin Kaepernick","QB","SF","vs NE","3rd",5200,6.7,31,13.6,14.79,14.79,100,62,2.8,19.44,3.7
"Kenny Britt","WR","LA","vs MIA","20th",5200,5.4,24.9,7.8,11.9,11.9,100,57,2.3,9.3,1.8
"Jacquizz Rodgers","RB","TB","@ KC","12th",5200,1.6,11.2,1.2,4.76,4.76,100,71,0.9,NA,NA
"Theo Riddick","RB","DET","vs JAC","27th",5100,10.1,28.1,11.3,16.12,16.12,100,66,3.2,16.3,3.2
"Brock Osweiler","QB","HOU","@ OAK","1st",5100,5.7,31.5,15.8,14.27,14.27,100,32,2.8,NA,NA
"Ty Montgomery","WR","GB","@ WAS","11th",5100,4.2,19.2,7,9.25,9.25,100,32,1.8,NA,NA
"Rishard Matthews","WR","TEN","@ IND","28th",5100,3.1,27.1,12.7,11.12,11.12,100,33,2.2,24.2,4.7
"Sam Bradford","QB","MIN","vs ARI","4th",5100,5.8,22.3,16.2,11.34,11.34,100,65,2.2,9.66,1.9
"Ryan Tannehill","QB","MIA","@ LA","9th",5100,7.2,25.8,18.2,13.39,13.39,100,60,2.6,15.78,3.1
"Charcandrick West","RB","KC","vs TB","26th",5000,0,26,10.5,8,8,100,0,1.6,7.2,1.4
"Jared Goff","QB","LA","vs MIA","17th",5000,3.4,20.4,NA,13.62,13.62,100,0,2.7,6.46,1.3
"Todd Gurley","RB","LA","vs MIA","10th",5000,7.3,36.4,17.3,17,17,100,24,3.4,13.6,2.7
"Carson Wentz","QB","PHI","@ SEA","5th",5000,3.3,19.5,NA,13.02,13.02,100,0,2.6,16.92,3.4
"Willie Snead","WR","NO","@ CAR","17th",5000,6.4,27.1,12.7,13.31,13.31,100,55,2.7,7.3,1.5
"Cody Kessler","QB","CLE","vs PIT","8th",5000,3.5,20.9,NA,13.9,13.9,100,0,2.8,4.32,0.9
"Josh McCown","QB","CLE","vs PIT","8th",5000,0,17.6,18.9,0,0,100,36,0,8.82,1.8
