"Player","Pos","Team","Opp","Def.v.Pos","Salary","Floor","Ceiling","X2015.Avg","FC.Proj","My.Proj","Exposure","Consistency","Value","Actual.Score","Actual.Val"
"Antonio Brown","WR","PIT","@ IND","15th",9200,11.4,46.2,26.1,22.99,22.99,100,48,2.5,32.1,3.5
"Le'Veon Bell","RB","PIT","@ IND","14th",9000,14,45.2,20,24.43,24.43,100,59,2.7,27.2,3
"David Johnson","RB","ARI","@ ATL","20th",8900,13,44.4,13.7,23.45,23.45,100,61,2.6,33.1,3.7
"Odell Beckham","WR","NYG","@ CLE","28th",8800,8.6,42.8,22.9,19.99,19.99,100,37,2.3,27.6,3.1
"Ezekiel Elliott","RB","DAL","vs WAS","27th",8500,5.7,34.3,NA,22.86,22.86,100,0,2.7,26,3.1
"Julio Jones","WR","ATL","vs ARI","29th",8500,7.4,40.1,24.8,18.31,18.31,100,50,2.2,7.5,0.9
"T.Y. Hilton","WR","IND","vs PIT","9th",7900,4,33.7,13.6,13.87,13.87,100,46,1.8,8.4,1.1
"Tom Brady","QB","NE","@ NYJ","8th",7800,9.6,36.6,23.4,18.59,18.59,100,66,2.4,19.04,2.4
"Amari Cooper","WR","OAK","vs CAR","13th",7700,7.7,37.4,14.3,17.56,17.56,100,47,2.3,6.2,0.8
"DeMarco Murray","RB","TEN","@ CHI","10th",7700,8.8,36.7,12.6,18.08,18.08,100,59,2.3,13.4,1.7
"Dez Bryant","WR","DAL","vs WAS","24th",7700,6.2,35.3,10.2,15.88,15.88,100,41,2.1,12.2,1.6
"Jay Ajayi","RB","MIA","vs SF","32nd",7600,18.7,29.2,4.7,22.16,22.16,100,79,2.9,12.6,1.7
"Mike Evans","WR","TB","vs SEA","4th",7500,8.9,38,15.1,18.61,18.61,100,55,2.5,33.4,4.5
"Jordy Nelson","WR","GB","@ PHI","26th",7400,5.5,38.8,NA,16.61,16.61,100,38,2.2,17.1,2.3
"LeSean McCoy","RB","BUF","vs JAC","28th",7300,12,31.8,15.8,18.55,18.55,100,65,2.5,32.4,4.4
"Ben Roethlisberger","QB","PIT","@ IND","26th",7300,10,40.6,22.3,20.16,20.16,100,54,2.8,20.84,2.9
"Marcus Mariota","QB","TEN","@ CHI","10th",7200,6.3,39.6,19.7,17.35,17.35,100,48,2.4,21.64,3
"Allen Robinson","WR","JAC","@ BUF","32nd",7200,5.2,34,20.1,14.83,14.83,100,36,2.1,4.4,0.6
"Drew Brees","QB","NO","vs LA","5th",7100,9.6,34.2,23.1,17.75,17.75,100,67,2.5,36.5,5.1
"Melvin Gordon","RB","SD","@ HOU","23rd",7000,15.8,26.9,8,19.5,19.5,100,83,2.8,12.9,1.8
