Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,14967,Le'Veon Bell,RB,12,PIT,IND,29,23,9000,26.5
2,11056,Antonio Brown,WR,12,PIT,IND,29,19,9200,25.5
3,16847,David Johnson,RB,12,ARI,ATL,30,29,8900,24.3
4,17923,Ezekiel Elliott,RB,12,DAL,WAS,19,20,8500,23.8
5,7242,Drew Brees,QB,12,NO,LA,4,7,7100,23
6,16909,Jay Ajayi,RB,12,MIA,SF,32,32,7600,22.3
7,16389,Odell Beckham Jr,WR,12,NYG,CLE,31,26,8800,21
8,4314,Tom Brady,QB,12,NE,NYJ,18,14,7800,20
9,16776,Melvin Gordon,RB,12,SD,HOU,8,26,7000,19.8
10,3807,Ben Roethlisberger,QB,12,PIT,IND,29,31,7300,19.5
11,2593,Aaron Rodgers,QB,12,GB,PHI,6,7,7000,19.4
12,18055,Dak Prescott,QB,12,DAL,WAS,19,16,6300,19.3
13,14536,Russell Wilson,QB,12,SEA,TB,27,27,6700,19
14,13124,DeMarco Murray,RB,12,TEN,CHI,17,5,7700,18.7
15,16311,Derek Carr,QB,12,OAK,CAR,23,24,6100,18.6
16,11932,LeSean McCoy,RB,12,BUF,JAX,15,13,7300,18.4
17,16765,Amari Cooper,WR,12,OAK,CAR,23,24,7700,18.4
18,16763,Marcus Mariota,QB,12,TEN,CHI,17,15,7200,18.3
19,13291,Julio Jones,WR,12,ATL,ARI,1,5,8500,18.2
20,13320,Cam Newton,QB,12,CAR,OAK,25,20,6800,18.2
21,14252,Kirk Cousins,QB,12,WAS,DAL,11,17,5900,17.8
22,5571,Larry Fitzgerald,WR,12,ARI,ATL,30,28,7000,17.8
23,4932,Eli Manning,QB,12,NYG,CLE,31,30,6500,17.8
24,16597,Mike Evans,WR,12,TB,SEA,6,8,7500,17.2
25,732,Matt Ryan,QB,12,ATL,ARI,1,3,6900,17.2
26,9038,Matthew Stafford,QB,12,DET,MIN,3,4,5700,16.8
27,2428,Carson Palmer,QB,12,ARI,ATL,30,32,5300,16.6
28,16263,Allen Robinson,WR,12,JAX,BUF,13,12,7200,16.6
29,13443,Colin Kaepernick,QB,12,SF,MIA,12,13,5700,16.5
30,4556,Jordy Nelson,WR,12,GB,PHI,6,19,7400,16.5
31,12831,Tyrod Taylor,QB,12,BUF,JAX,15,12,5900,16.3
32,11270,Dez Bryant,WR,12,DAL,WAS,19,14,7700,16.2
33,15100,Jordan Reed,TE,12,WAS,DAL,11,21,6200,16.1
34,17920,Carson Wentz,QB,12,PHI,GB,29,24,5400,16.1
35,13799,Ryan Tannehill,QB,12,MIA,SF,32,28,5500,16
36,15261,Spencer Ware,RB,12,KC,DEN,2,26,6100,16
37,16568,Brandin Cooks,WR,12,NO,LA,4,13,6800,16
38,11527,Sam Bradford,QB,12,MIN,DET,23,30,5100,15.7
39,17050,Thomas Rawls,RB,12,SEA,TB,27,22,5700,15.7
40,13460,Doug Baldwin,WR,12,SEA,TB,27,27,6400,15.7
41,8244,Philip Rivers,QB,12,SD,HOU,8,5,6300,15.7
42,8649,Rashad Jennings,RB,12,NYG,CLE,31,31,5600,15.6
43,1658,Greg Olsen,TE,12,CAR,OAK,25,25,5800,15.5
44,13103,Scott Tolzien,QB,12,IND,PIT,15,9,5000,15.4
45,14986,DeAndre Hopkins,WR,12,HOU,SD,24,17,6300,15.3
46,16762,Jameis Winston,QB,12,TB,SEA,6,6,5400,15.2
47,15126,Theo Riddick,RB,12,DET,MIN,3,12,5400,15.2
48,16245,Blake Bortles,QB,12,JAX,BUF,13,11,5600,15.2
49,14005,TY Hilton,WR,12,IND,PIT,15,4,7900,15.1
50,16550,Kelvin Benjamin,WR,12,CAR,OAK,25,22,6700,15.1
51,15974,Jordan Matthews,WR,12,PHI,GB,29,32,5000,15
52,611,Joe Flacco,QB,12,BAL,CIN,22,26,5300,14.8
53,8355,Julian Edelman,WR,12,NE,NYJ,18,19,6800,14.8
54,11667,Brandon Marshall,WR,12,NYJ,NE,10,7,6100,14.8
55,16020,Jarvis Landry,WR,12,MIA,SF,32,30,5900,14.7
56,13693,Terrelle Pryor,WR,12,CLE,NYG,9,11,5600,14.7
57,16524,Devonta Freeman,RB,12,ATL,ARI,1,1,6400,14.6
58,5820,Frank Gore,RB,12,IND,PIT,15,30,5200,14.6
59,9331,Michael Crabtree,WR,12,OAK,CAR,23,24,6500,14.6
60,13791,Lamar Miller,RB,12,HOU,SD,24,28,5800,14.6
61,5282,Josh McCown,QB,12,CLE,NYG,9,2,5000,14.4
