"Place_lo","Place_hi","Payout"
"1","1","1e+06"
"2","2","150000"
"3","3","1e+05"
"4","4","50000"
"5","5","30000"
"6","6","20000"
"7","8","15000"
"9","10","10000"
"11","15","7000"
"16","20","5000"
"21","25","3500"
"26","35","2500"
"36","50","1500"
"51","75","1000"
"76","100","750"
"101","150","600"
"151","200","500"
"201","300","400"
"301","400","300"
"401","650","250"
"651","900","200"
"901","1300","150"
"1301","2000","125"
"2001","3250","100"
"3251","6250","80"
"6251","12750","60"
"12751","28500","40"
"28501","58875","30"
