"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","Projection_dfn_floor","Projection_dfn_ceiling","Actual","Week14","FreqInd"
"RB","David Johnson (7941961)","David Johnson",7941961,10100,"NO@Ari 04:05PM ET","Ari","David","Johnson","NO",25.68,22.6,2,0.194192377495463,73,107,4,2,2,18.8,36.1,26.8,18.1,1
"RB","Le'Veon Bell (7941994)","Le'Veon Bell",7941994,9800,"Pit@Cin 01:00PM ET","Pit","Le'Veon","Bell","Cin",26.44,29.4,NA,NA,NA,NA,NA,NA,NA,17.2,40.1,18.1,54.8,1
"RB","LeSean McCoy (7941911)","LeSean McCoy",7941911,8900,"Cle@Buf 01:00PM ET","Buf","LeSean","McCoy","Cle",20.4,22.1,4,0.130208333333333,43,50,1,2,3,11.1,31.2,34.9,22.8,1
"WR","Antonio Brown (7942140)","Antonio Brown",7942140,8400,"Pit@Cin 01:00PM ET","Pit","Antonio","Brown","Cin",20.66,21.3,1,0.288577154308617,95,144,11,1,1,12.3,31.5,8.8,12.8,1
"WR","Mike Evans (7942019)","Mike Evans",7942019,8300,"TB@Dal 08:30PM ET","TB","Mike","Evans","Dal",20.21,20.4,1,0.314465408805031,84,150,10,1,1,9.7,31.2,9.9,8.2,1
"RB","Ezekiel Elliott (7941896)","Ezekiel Elliott",7941896,8200,"TB@Dal 08:30PM ET","Dal","Ezekiel","Elliott","TB",19.68,20.2,5,0.0888888888888889,28,36,1,5,6,13.9,31.4,30.8,13.7,1
"WR","Julio Jones (7942105)","Julio Jones",7942105,8100,"SF@Atl 04:05PM ET","Atl","Julio","Jones","SF",19.75,20.5,1,0.253863134657837,74,115,5,1,1,6.6,34.7,0,NA,1
"WR","Odell Beckham Jr. (7942076)","Odell Beckham Jr.",7942076,8000,"Det@NYG 01:00PM ET","NYG","Odell","Beckham","Det",20.98,19,1,0.292338709677419,82,145,9,1,1,9.3,29.4,19.3,NA,NA
"WR","A.J. Green (7942141)","A.J. Green",7942141,7400,"Pit@Cin 01:00PM ET","Cin","A.J.","Green","Pit",18.05,20.3,1,0.227368421052632,68,108,4,1,3,6.5,33.2,0,NA,1
"WR","Jordy Nelson (7941998)","Jordy Nelson",7941998,7300,"GB@Chi 01:00PM ET","GB","Jordy","Nelson","Chi",18.74,17.1,1,0.252390057361377,78,132,12,1,1,10.1,27.8,22.4,22.1,1
"QB","Matt Ryan (7941859)","Matt Ryan",7941859,7300,"SF@Atl 04:05PM ET","Atl","Matt","Ryan","SF",21.64,21.7,NA,NA,NA,NA,NA,NA,NA,15.4,31.1,19.3,21.5,1
"WR","T.Y. Hilton (7942081)","T.Y. Hilton",7942081,7200,"Ind@Min 01:00PM ET","Ind","T.Y.","Hilton","Min",16.87,19,1,0.277327935222672,82,137,7,1,1,8.1,30.2,7.5,29.5,1
"QB","Aaron Rodgers (7941812)","Aaron Rodgers",7941812,7100,"GB@Chi 01:00PM ET","GB","Aaron","Rodgers","Chi",21.75,19.6,NA,NA,NA,NA,NA,NA,NA,18.3,30.9,12,21.2,1
