"Matt Kemp_ATL","Eric Thames_MIL","Travis Shaw_MIL","Ryan Braun_MIL","Eduardo Nunez_SF","Domingo Santana_MIL","Freddie Freeman_ATL","Hunter Pence_SF","Adonis Garcia_ATL","Brandon Belt_SF","Buster Posey_SF","Ender Inciarte_ATL","Denard Span_SF","Hernan Perez_MIL","Keon Broxton_MIL","Joe Panik_SF","Tyler Flowers_ATL","Aaron Altherr_PHI","Matt Adams_ATL","Brandon Crawford_SF","Howie Kendrick_PHI","Jonathan Villar_MIL","Cesar Hernandez_PHI","Andrew Knapp_PHI","Nick Hundley_SF","Jesus Aguilar_MIL","Jarrett Parker_SF","Brandon Phillips_ATL","Daniel Nava_PHI","Tommy Joseph_PHI","Rhys Hoskins_PHI","Jace Peterson_ATL","Nick Franklin_MIL","Mac Williamson_SF","Maikel Franco_PHI","Eric Sogard_MIL","Kelby Tomlinson_SF","Nick Markakis_ATL","Kurt Suzuki_ATL","Danny Santana_ATL","Jett Bandy_MIL","Micah Johnson_ATL","Dansby Swanson_ATL","Aaron Hill_SF","Manny Pina_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Orlando Arcia_MIL","Michael Saunders_PHI","Odubel Herrera_PHI","Brock Stassi_PHI","Gorkys Hernandez_SF","Conor Gillaspie_SF","Christian Arroyo_SF","Andres Blanco_PHI","Rio Ruiz_ATL","Justin Ruggiano_SF","Freddy Galvis_PHI","Cameron Rupp_PHI","Michael Morse_SF","Austin Slater_SF","Orlando Calixte_SF","Tim Federowicz_SF","Ty Kelly_PHI","Chris Marrero_SF","Anthony Recker_ATL","Emilio Bonifacio_ATL","Lane Adams_ATL","Johan Camargo_ATL"
42,0,0,0,0,0,25,0,24,0,0,42,0,0,0,0,26,0,12,0,0,0,0,0,0,0,0,31,0,0,0,20,0,0,0,0,0,41,17,7,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2
0,44,39,25,0,33,0,0,0,0,0,0,0,28,35,0,0,0,0,0,0,39,0,0,0,8,0,0,0,0,0,0,7,0,0,5,0,0,0,0,24,0,0,0,20,5,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39,46,24,0,35,0,0,0,0,0,0,0,29,36,0,0,0,0,0,0,40,0,0,0,14,0,0,0,0,0,0,7,0,0,6,0,0,0,0,25,0,0,0,21,5,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,24,28,0,22,0,0,0,0,0,0,0,17,21,0,0,0,0,0,0,26,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,15,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51,0,0,30,0,46,43,0,27,0,0,45,0,0,0,35,0,0,0,0,16,0,6,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,24,6,26,0,0,10,0,0,5,0,3,0,0,9,0,0,0,0
0,33,35,22,0,42,0,0,0,0,0,0,0,27,36,0,0,0,0,0,0,38,0,0,0,14,0,0,0,0,0,0,3,0,0,7,0,0,0,0,23,0,0,0,19,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,35,0,31,0,0,35,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,29,0,0,0,19,0,0,0,0,0,35,14,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,30,0,0,32,0,28,24,0,12,0,0,29,0,0,0,18,0,0,0,0,14,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,17,7,13,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0
24,0,0,0,0,0,31,0,34,0,0,34,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,27,0,0,0,15,0,0,0,0,0,33,13,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,46,0,0,28,0,51,41,0,30,0,0,45,0,0,0,37,0,0,0,0,16,0,6,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,21,7,26,0,0,11,0,0,5,0,3,0,0,9,0,0,0,0
0,0,0,0,43,0,0,24,0,41,45,0,22,0,0,39,0,0,0,31,0,0,0,0,9,0,4,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,23,4,26,0,0,12,0,0,5,0,3,0,0,6,0,0,0,0
42,0,0,0,0,0,35,0,34,0,0,52,0,0,0,0,31,0,12,0,0,0,0,0,0,0,0,41,0,0,0,28,0,0,0,0,0,51,21,7,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,2
0,0,0,0,27,0,0,12,0,30,22,0,31,0,0,28,0,0,0,30,0,0,0,0,11,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,12,0,0,8,0,0,0,0,3,0,0,6,0,0,0,0
0,28,29,17,0,27,0,0,0,0,0,0,0,36,27,0,0,0,0,0,0,32,0,0,0,10,0,0,0,0,0,0,8,0,0,5,0,0,0,0,20,0,0,0,16,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35,36,21,0,36,0,0,0,0,0,0,0,27,43,0,0,0,0,0,0,38,0,0,0,15,0,0,0,0,0,0,4,0,0,7,0,0,0,0,23,0,0,0,20,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,45,0,0,29,0,45,39,0,28,0,0,50,0,0,0,35,0,0,0,0,17,0,7,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,21,8,25,0,0,10,0,0,7,0,3,0,0,7,0,0,0,0
26,0,0,0,0,0,20,0,20,0,0,31,0,0,0,0,31,0,8,0,0,0,0,0,0,0,0,26,0,0,0,15,0,0,0,0,0,30,0,6,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,6,0,36,11,0,0,0,0,7,33,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,6,0,0,0,6,0,0,37,26,0,0,0,0,2,0,0,0,0,0
