"Place_lo","Place_hi","Payout"
"1","1","75"
"2","2","50"
"3","3","35"
"4","4","25"
"5","5","15"
"6","6","12"
"7","8","10"
"9","10","9"
"11","15","8"
"16","20","7"
"21","25","6"
"26","30","5"
"31","40","4.5"
"41","50","4"
"51","60","3.5"
"61","80","3"
"81","105","2.5"
"106","130","2"
"131","155","1.5"
"156","205","1.25"
"206","305","1"
"306","605","0.75"
"606","1410","0.5"
