Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,616411918,losmafiosos (1/3),0,247.58,QB Aaron Rodgers RB Mark Ingram RB Isaiah Crowell WR Jordy Nelson WR Doug Baldwin WR Allen Robinson TE Greg Olsen FLEX David Johnson DST 49ers ,,Jordan Howard,45.41%,16.8
2,619367644,rreader (1/3),0,242.88,QB Sam Bradford RB LeSean McCoy RB David Johnson WR Ted Ginn Jr. WR Doug Baldwin WR Adam Thielen TE Kyle Rudolph FLEX Charles Clay DST Patriots ,,T.Y. Hilton,32.28%,19.5
3,619834408,PETERFT73 (2/3),0,237.5,QB Russell Wilson RB LeSean McCoy RB David Johnson WR Doug Baldwin WR Tavon Austin WR Cameron Meredith TE Coby Fleener FLEX Adam Thielen DST Bills ,,Cameron Brate,30.32%,8.2
4,620400212,tangababy (2/3),0,234.78,QB Aaron Rodgers RB LeSean McCoy RB Jay Ajayi WR Jordy Nelson WR Rishard Matthews WR Cameron Meredith TE Martellus Bennett FLEX Mark Ingram DST Patriots ,,Michael Thomas,28.55%,15.8
5,621077544,thesailer (1/3),0,234.58,QB Aaron Rodgers RB David Johnson RB Jay Ajayi WR Cameron Meredith WR Allen Robinson WR Michael Thomas TE Charles Clay FLEX Bilal Powell DST Patriots ,,DeAndre Hopkins,27.85%,7.3
6,621122816,centaur83 (3/3),0,228.3,QB Russell Wilson RB David Johnson RB Jerick McKinnon WR Doug Baldwin WR Cameron Meredith WR Allen Robinson TE Greg Olsen FLEX Michael Thomas DST Patriots ,,Patriots ,26.77%,17
7,620957269,kavalier9778 (1/3),0,227.8,QB Russell Wilson RB Mark Ingram RB David Johnson WR Jordy Nelson WR Kenny Britt WR Allen Robinson TE Coby Fleener FLEX Doug Baldwin DST Patriots ,,Todd Gurley,21.94%,17.7
8,621138633,docdazoo (2/2),0,224.7,QB Blake Bortles RB David Johnson RB Jordan Howard WR Jordy Nelson WR Marqise Lee WR Allen Robinson TE Delanie Walker FLEX Doug Baldwin DST Texans ,,DeMarco Murray,19.75%,8
9,621009255,IllinSquad,0,224.68,QB Aaron Rodgers RB Mark Ingram RB Dion Lewis WR Doug Baldwin WR Alshon Jeffery WR Mike Evans TE Charles Clay FLEX Jordy Nelson DST Rams ,,Julio Jones,19.28%,10
10,620199624,lendaddy,0,223.48,QB Philip Rivers RB Jay Ajayi RB Todd Gurley WR Allen Robinson WR Tyrell Williams WR Adam Thielen TE Greg Olsen FLEX Jordy Nelson DST Chargers ,,Drew Brees,17.97%,16.06
11,617342751,rneuffer,0,223.38,QB Jameis Winston RB LeGarrette Blount RB David Johnson WR Jordy Nelson WR Doug Baldwin WR Cameron Meredith TE Antonio Gates FLEX Vernon Davis DST Patriots ,,LeSean McCoy,17.33%,28.5
12,615469768,bobbyc102944 (1/3),0,223.08,QB Aaron Rodgers RB DeMarco Murray RB Jordan Howard WR Jordy Nelson WR Brandon LaFell WR Cameron Meredith TE Delanie Walker FLEX Jay Ajayi DST Patriots ,,Allen Robinson,17.08%,26.7
13,617119596,BlindBetJack (3/3),0,220.1,QB Russell Wilson RB Mark Ingram RB David Johnson WR Julio Jones WR J.J. Nelson WR Cameron Meredith TE Cameron Brate FLEX Doug Baldwin DST 49ers ,,Greg Olsen,16.69%,11.9
14,619471630,rayofhope (3/3),0,219.8,QB Blake Bortles RB Mark Ingram RB David Johnson WR Jordy Nelson WR Marqise Lee WR Allen Robinson TE Greg Olsen FLEX Todd Gurley DST Patriots ,,Julian Edelman,16.19%,13.9
15,620200503,Motts81 (2/3),0,218.5,QB Russell Wilson RB LeSean McCoy RB Charles Sims WR Doug Baldwin WR T.Y. Hilton WR Cameron Meredith TE Delanie Walker FLEX J.J. Nelson DST Patriots ,,Ty Montgomery,15.43%,8
16,616629193,Jerryfish11 (3/3),0,218.18,QB Sam Bradford RB LeSean McCoy RB David Johnson WR Pierre Garcon WR Cameron Meredith WR Adam Thielen TE Kyle Rudolph FLEX Jerick McKinnon DST Rams ,,Mike Evans,15.08%,22.7
17,617735090,rastabar,0,217.48,QB Aaron Rodgers RB Alfred Blue RB Jordan Howard WR Jordy Nelson WR Cameron Meredith WR Mike Evans TE Ryan Griffin FLEX Jay Ajayi DST Patriots ,,Bilal Powell,14.77%,9.4
18,621192456,Stacydallas (2/2),0,217.2,QB Russell Wilson RB Jay Ajayi RB Thomas Rawls WR Jordy Nelson WR Doug Baldwin WR Cameron Meredith TE Jimmy Graham FLEX DeMarco Murray DST Patriots ,,Cameron Meredith,14.06%,31.5
19,621011170,JAZ5985,0,217,QB Russell Wilson RB Carlos Hyde RB Jay Ajayi WR Doug Baldwin WR T.Y. Hilton WR Marqise Lee TE C.J. Fiedorowicz FLEX Jordy Nelson DST Chargers ,,Mark Ingram,13.59%,25.3
20,621088991,thesailer (3/3),0,216.68,QB Aaron Rodgers RB David Johnson RB Jay Ajayi WR Brandon LaFell WR Cameron Meredith WR Marqise Lee TE Vernon Davis FLEX Mike Evans DST Texans ,,Latavius Murray,13.39%,7.1
21,621165829,maniacmike66,0,216.48,QB Aaron Rodgers RB LeSean McCoy RB Mark Ingram WR Jordy Nelson WR Michael Crabtree WR Cameron Meredith TE Charles Clay FLEX Willie Snead DST Titans ,,Brandin Cooks,12.25%,14.8
22,620827469,dukedog71 (1/3),0,216.46,QB Tyrod Taylor RB LeSean McCoy RB Rex Burkhead WR Julian Edelman WR T.Y. Hilton WR Cameron Meredith TE Charles Clay FLEX Doug Baldwin DST Chargers ,,Chargers ,12.16%,10
