"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Eduardo Rodriguez","Alex Meyer","Gary Sanchez","Hanley Ramirez","Josh Rutledge","Josh Donaldson","Xander Bogaerts","Mookie Betts","Chris Young","Kevin Pillar"
"2","Zack Greinke","Alex Meyer","Martin Maldonado","Hanley Ramirez","Brandon Drury","Manny Machado","Xander Bogaerts","Mookie Betts","Chris Young","Kole Calhoun"
"3","Zack Greinke","Alex Meyer","Luke Maile","Sam Travis","Josh Rutledge","Josh Donaldson","Troy Tulowitzki","Mookie Betts","Jose Bautista","Kevin Pillar"
"4","Zack Greinke","Alex Meyer","Gary Sanchez","Hanley Ramirez","Josh Rutledge","Manny Machado","Troy Tulowitzki","Adam Jones","Mark Trumbo","Joey Rickard"
"5","Zack Greinke","Alex Meyer","Christian Vazquez","Chris Davis","Starlin Castro","Manny Machado","Xander Bogaerts","Adam Jones","Mark Trumbo","Kevin Pillar"
"6","Eduardo Rodriguez","Alex Meyer","Gary Sanchez","Kendrys Morales","Dee Gordon","Josh Donaldson","Troy Tulowitzki","Jose Bautista","Christian Yelich","Kevin Pillar"
"7","Zack Greinke","Alex Meyer","Gary Sanchez","Sam Travis","Danny Espinosa","Deven Marrero","Xander Bogaerts","Mookie Betts","Mark Trumbo","Chris Young"
"8","Zack Greinke","Alex Meyer","Gary Sanchez","Albert Pujols","Josh Rutledge","Yunel Escobar","Andrelton Simmons","Mookie Betts","Kevin Pillar","Kole Calhoun"
"9","Zack Greinke","Alex Meyer","Martin Maldonado","Jefry Marte","Danny Espinosa","Josh Donaldson","Xander Bogaerts","Mookie Betts","Kevin Pillar","Eric Young"
"10","Zack Greinke","Alex Meyer","Jeff Mathis","Kendrys Morales","Darwin Barney","Josh Donaldson","Xander Bogaerts","Jose Bautista","Chris Young","Kevin Pillar"
"11","Eduardo Rodriguez","Alex Meyer","Gary Sanchez","Paul Goldschmidt","Brandon Drury","Josh Donaldson","Chris Owings","Mookie Betts","Yasmany Tomas","Kole Calhoun"
"12","Zack Greinke","Alex Meyer","Caleb Joseph","Paul Goldschmidt","Danny Espinosa","Manny Machado","Nick Ahmed","Mookie Betts","Adam Jones","Joey Rickard"
"13","Zack Greinke","Alex Meyer","Caleb Joseph","Paul Goldschmidt","Brandon Drury","Manny Machado","Chris Owings","Yasmany Tomas","Chris Young","Kevin Pillar"
"14","Zack Greinke","Alex Meyer","Luke Maile","Paul Goldschmidt","Darwin Barney","Manny Machado","Xander Bogaerts","Mookie Betts","Kevin Pillar","Ezequiel Carrera"
"15","Zack Greinke","Alex Meyer","Christian Vazquez","Sam Travis","Josh Rutledge","Manny Machado","Nick Ahmed","Mookie Betts","Jackie Bradley","Mark Trumbo"
"16","Zack Greinke","Eduardo Rodriguez","Luke Maile","Hanley Ramirez","Danny Espinosa","Josh Donaldson","Nick Ahmed","Jose Bautista","Kevin Pillar","Kole Calhoun"
"17","Zack Greinke","Jeff Locke","Christian Vazquez","Hanley Ramirez","Danny Espinosa","Josh Donaldson","Xander Bogaerts","Mookie Betts","Adam Jones","Chris Young"
"18","Zack Greinke","Eduardo Rodriguez","Christian Vazquez","Sam Travis","Josh Rutledge","Josh Donaldson","Troy Tulowitzki","Jackie Bradley","Chris Young","Kole Calhoun"
"19","Zack Greinke","Alex Meyer","Gary Sanchez","Chris Carter","Josh Rutledge","Chase Headley","Troy Tulowitzki","Mookie Betts","Brett Gardner","Chris Young"
"20","Eduardo Rodriguez","Alex Meyer","Luke Maile","Paul Goldschmidt","Starlin Castro","Josh Donaldson","Xander Bogaerts","Jose Bautista","Brett Gardner","Kevin Pillar"
