"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
23,745717402,"Ninerman",0,159.6,"2B Robinson Canó OF Nelson Cruz C Brian McCann 3B Justin Turner 1B Wil Myers P Dallas Keuchel OF George Springer P Michael Fulmer SS Corey Seager OF Cody Bellinger",NA,"Marwin González","16.12%",5
23,745763510,"davis4200 (2/2)",0,159.6,"1B Albert Pujols 2B Robinson Canó OF Nelson Cruz 3B Justin Turner C Yasmani Grandal SS Jean Segura P Dallas Keuchel OF Andrew Toles P Michael Fulmer OF Cody Bellinger",NA,"Josh Reddick","14.88%",19
26,745748674,"onetime16 (2/5)",0,159.4,"C Brian McCann 3B Justin Turner P Kenta Maeda P Yu Darvish 1B Yonder Alonso 2B Rougned Odor SS Corey Seager OF Nomar Mazara OF Yasiel Puig OF Cody Bellinger",NA,"Yuli Gurriel","14.67%",3
27,745743330,"jeffews",0,159.35,"C Brian McCann 3B Yunel Escobar OF Josh Reddick P Yu Darvish 1B Yonder Alonso P Dallas Keuchel OF Andrew Toles 2B Rougned Odor SS Corey Seager OF Cody Bellinger",NA,"Jean Segura","12.92%",11
28,745746589,"DRYBOX",0,159.25,"C Brian McCann 3B Justin Turner OF Josh Reddick P Kenta Maeda 1B Yonder Alonso 2B José Altuve P Dallas Keuchel OF Andrew Toles SS Corey Seager OF Cody Bellinger",NA,"Robinson Canó","12.68%",23
29,745620861,"ham9711 (1/2)",0,158.75,"1B Albert Pujols C Brian McCann 3B Marwin González P Yu Darvish OF Mike Trout P Michael Fulmer 2B Rougned Odor OF Manuel Margot SS Corey Seager OF Cody Bellinger",NA,"Joc Pederson","12.10%",4
30,745131171,"suidmach (17/130)",0,158.65,"1B Miguel Cabrera 3B Justin Turner P Kenta Maeda C Yasmani Grandal OF Mike Trout OF Delino DeShields P Michael Fulmer 2B Rougned Odor SS Carlos Correa OF Cody Bellinger",NA,"Elvis Andrus","11.98%",18
30,745723838,"HerbenDerbGuy",0,158.65,"1B Victor Martinez C Brian McCann OF Justin Upton OF Josh Reddick 3B Marwin González P Kenta Maeda SS Andrew Romine 2B José Altuve OF George Springer P Michael Fulmer",NA,"Nicholas Castellanos","11.77%",2
30,745760613,"louiswat (2/2)",0,158.65,"1B Victor Martinez 2B Robinson Canó C Brian McCann 3B Justin Turner OF Khris Davis P Kenta Maeda OF Mike Trout P Michael Fulmer SS Corey Seager OF Yasiel Puig",NA,"Carlos Gómez","11.19%",2
30,745763303,"canecane",0,158.65,"1B Albert Pujols 3B Justin Turner P Kenta Maeda C Yasmani Grandal OF Mike Trout OF Andrew Toles P Michael Fulmer 2B Rougned Odor SS Corey Seager OF Cody Bellinger",NA,"Yonder Alonso","10.23%",12
34,745746963,"bajabum21",0,158.25,"C Brian McCann 3B Justin Turner P Kenta Maeda 1B Yonder Alonso P Dallas Keuchel OF George Springer OF Andrew Toles 2B Rougned Odor SS Carlos Correa OF Cody Bellinger",NA,"Yasiel Puig","10.00%",13
35,745307243,"kj628",0,157.75,"1B Albert Pujols C Brian McCann P Yu Darvish OF Andrew Toles OF Joc Pederson P Michael Fulmer 2B Rougned Odor 3B Joey Gallo SS Corey Seager OF Cody Bellinger",NA,"Jonathan Lucroy","9.37%",2
35,745736799,"franciscolora0524 (16/130)",0,157.75,"1B Albert Pujols OF Nelson Cruz 3B Justin Turner P Yu Darvish C Yasmani Grandal P Michael Fulmer 2B Rougned Odor SS Corey Seager OF Yasiel Puig OF Cody Bellinger",NA,"Yangervis Solarte","8.48%",7
35,745736842,"franciscolora0524 (59/130)",0,157.75,"2B Robinson Canó SS Elvis Andrus 3B Justin Turner P Yu Darvish C Yasmani Grandal 1B Wil Myers OF Andrew Toles OF Joc Pederson P Michael Fulmer OF Cody Bellinger",NA,"Delino DeShields","8.46%",12
38,745728107,"papawarren3",0,157.6,"1B Victor Martinez OF Nelson Cruz C Brian McCann SS Elvis Andrus OF Justin Upton OF Josh Reddick 3B Ryan Schimpf P Dallas Keuchel P Michael Fulmer 2B Rougned Odor",NA,"Mike Napoli","8.43%",0
38,745745934,"supperman99",0,157.6,"C Brian McCann OF Josh Reddick 2B José Altuve 1B Wil Myers 3B Ryan Schimpf P Dallas Keuchel OF George Springer P Michael Fulmer SS Carlos Correa OF Cody Bellinger",NA,"Stephen Vogt","7.03%",0
40,745734108,"Tliag123 (2/2)",0,157.4,"1B Victor Martinez OF Rajai Davis C Brian McCann 2B Jed Lowrie 3B Justin Turner OF Khris Davis P Kenta Maeda P Yu Darvish SS Carlos Correa OF Cody Bellinger",NA,"Kyle Seager","6.63%",5
41,745731909,"aleagueofmyown",0,157.25,"1B Victor Martinez C Brian McCann 3B Justin Turner P Kenta Maeda P Dallas Keuchel OF Andrew Toles OF Joc Pederson 2B Rougned Odor SS Corey Seager OF Cody Bellinger",NA,"Andrew Romine","6.45%",13
42,745736838,"franciscolora0524 (55/130)",0,156.75,"2B Robinson Canó 1B Miguel Cabrera 3B Justin Turner P Yu Darvish C Yasmani Grandal P Michael Fulmer SS Corey Seager OF Nomar Mazara OF Yasiel Puig OF Cody Bellinger",NA,"Jed Lowrie","6.24%",9
43,745131158,"suidmach (4/130)",0,156.65,"1B Miguel Cabrera OF Justin Upton 3B Justin Turner OF Josh Reddick P Kenta Maeda C Yasmani Grandal 2B José Altuve P Michael Fulmer SS Corey Seager OF Cody Bellinger",NA,"Albert Pujols","5.96%",14
43,745373340,"moosejlk",0,156.65,"2B Robinson Canó C Brian McCann 1B Miguel Cabrera OF Justin Upton 3B Justin Turner P Kenta Maeda OF George Springer P Michael Fulmer SS Carlos Correa OF Yasiel Puig",NA,"Ben Gamel","5.61%",3
45,745719507,"masterparachutist911 (2/2)",0,156.6,"C Brian McCann 1B Miguel Cabrera SS Elvis Andrus 2B José Altuve P Dallas Keuchel OF George Springer OF Andrew Toles P Michael Fulmer 3B Joey Gallo OF Cody Bellinger",NA,"Matt Joyce","5.21%",0
45,745722098,"dboots12",0,156.6,"C Brian McCann 1B Miguel Cabrera SS Elvis Andrus OF Justin Upton 2B José Altuve P Dallas Keuchel OF George Springer 3B Nicholas Castellanos P Michael Fulmer OF Cody Bellinger",NA,"Victor Martinez","5.19%",19
47,745131234,"suidmach (80/130)",0,155.75,"1B Miguel Cabrera 3B Justin Turner OF Josh Reddick P Yu Darvish C Yasmani Grandal P Michael Fulmer 2B Rougned Odor SS Corey Seager OF Nomar Mazara OF Cody Bellinger",NA,"Carlos Beltrán","4.95%",14
47,745756171,"nickrhodesgolf (1/2)",0,155.75,"OF Carlos Beltrán 1B Miguel Cabrera 3B Justin Turner P Yu Darvish C Yasmani Grandal OF Andrew Toles P Michael Fulmer 2B Rougned Odor SS Corey Seager OF Cody Bellinger",NA,"James McCann","4.67%",0
49,745750611,"nickjd03",0,155.65,"3B Justin Turner OF Josh Reddick P Kenta Maeda C Yasmani Grandal 2B José Altuve 1B Wil Myers OF George Springer P Michael Fulmer SS Carlos Correa OF Cody Bellinger",NA,"Rajai Davis","4.48%",9
50,745719045,"Aldarakjy (2/2)",0,155.6,"1B Mike Napoli 2B Robinson Canó C Brian McCann 3B Marwin González P Dallas Keuchel OF George Springer OF Andrew Toles P Michael Fulmer SS Corey Seager OF Cody Bellinger",NA,"Ryan Schimpf","4.11%",5
51,745117684,"rjthomps1020",0,154.75,"3B Justin Turner OF Josh Reddick P Yu Darvish C Yasmani Grandal 1B Wil Myers OF Andrew Toles P Michael Fulmer 2B Rougned Odor SS Corey Seager OF Cody Bellinger",NA,"Shin-soo Choo","3.48%",3
51,745437773,"Khillier (1/3)",0,154.75,"3B Justin Turner OF Josh Reddick P Yu Darvish C Yasmani Grandal 1B Wil Myers OF Andrew Toles P Michael Fulmer 2B Rougned Odor SS Corey Seager OF Cody Bellinger",NA,"Manuel Margot","3.22%",2
51,745696334,"jacobdias (2/2)",0,154.75,"2B Robinson Canó 1B Miguel Cabrera OF Josh Reddick P Yu Darvish SS Jean Segura OF George Springer C James McCann P Michael Fulmer 3B Joey Gallo OF Cody Bellinger",NA,"Tyler Collins","3.04%",4
51,745748212,"tdkenny",0,154.75,"3B Justin Turner OF Josh Reddick P Yu Darvish C Yasmani Grandal 1B Wil Myers OF Andrew Toles P Michael Fulmer 2B Rougned Odor SS Corey Seager OF Cody Bellinger",NA,"Yovani Gallardo","2.94%",13.9
