"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Max Scherzer","Robbie Ray","Stephen Vogt","Albert Pujols","Tyler Saladino","Mike Moustakas","Andrelton Simmons","Mike Trout","Josh Reddick","Jaff Decker"
"2","Max Scherzer","Jameson Taillon","Evan Gattis","Albert Pujols","Cory Spangenberg","Mike Moustakas","Corey Seager","Mike Trout","Kole Calhoun","Jaff Decker"
"3","Max Scherzer","Carlos Carrasco","Salvador Perez","Eric Hosmer","Cory Spangenberg","Mike Moustakas","Jordy Mercer","Mike Trout","Josh Reddick","Jaff Decker"
"4","Max Scherzer","Robbie Ray","Salvador Perez","CJ Cron","Whit Merrifield","Mike Moustakas","Tim Anderson","Mike Trout","Kole Calhoun","Jaff Decker"
"5","Max Scherzer","Jameson Taillon","Stephen Vogt","Eric Hosmer","Jose Altuve","Mike Moustakas","Carlos Correa","Mike Trout","Matt Joyce","Jaff Decker"
"6","Max Scherzer","Robbie Ray","Evan Gattis","Eric Hosmer","Jed Lowrie","Mike Moustakas","Andrelton Simmons","Mike Trout","Kole Calhoun","Matt Joyce"
"7","Max Scherzer","Blake Snell","Stephen Vogt","Freddie Freeman","Jed Lowrie","Mike Moustakas","Corey Seager","Mike Trout","Khris Davis","Jaff Decker"
"8","Max Scherzer","Adam Conley","Evan Gattis","Freddie Freeman","Jose Altuve","Mike Moustakas","Tim Anderson","Mike Trout","Josh Reddick","Jaff Decker"
"9","Max Scherzer","Carlos Carrasco","Evan Gattis","Yonder Alonso","Tyler Saladino","Mike Moustakas","Elvis Andrus","Mike Trout","Matt Joyce","Jaff Decker"
"10","Max Scherzer","Robbie Ray","Stephen Vogt","Eric Hosmer","Cory Spangenberg","Yunel Escobar","Chris Owings","Mike Trout","Kole Calhoun","Jaff Decker"
"11","Max Scherzer","Jameson Taillon","Evan Gattis","CJ Cron","Tyler Saladino","Mike Moustakas","Jordy Mercer","Mike Trout","Carlos Beltran","Josh Reddick"
"12","Max Scherzer","Jameson Taillon","Evan Gattis","Eric Hosmer","Tyler Saladino","Yunel Escobar","Andrelton Simmons","Mike Trout","AJ Pollock","Jaff Decker"
"13","Max Scherzer","Blake Snell","Salvador Perez","Albert Pujols","Jed Lowrie","Mike Moustakas","Chris Owings","Mike Trout","Kole Calhoun","Josh Reddick"
