"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Chris Archer","Dallas Keuchel","Jason Castro","Eric Thames","Brad Miller","Evan Longoria","Aledmys Diaz","Michael Conforto","Kevin Kiermaier","Corey Dickerson"
"2","Chris Archer","Dallas Keuchel","Roberto Perez","Carlos Santana","Brad Miller","Miguel Rojas","Francisco Lindor","Michael Brantley","Michael Conforto","Corey Dickerson"
"3","Chris Archer","Dallas Keuchel","Geovany Soto","Freddie Freeman","Daniel Robertson","Evan Longoria","Francisco Lindor","Ender Inciarte","Kevin Kiermaier","Corey Dickerson"
"4","Chris Archer","Dallas Keuchel","Jason Castro","Jay Bruce","Neil Walker","Jose Reyes","Francisco Lindor","Ender Inciarte","Michael Conforto","Kevin Kiermaier"
"5","Noah Syndergaard","Dallas Keuchel","Jett Bandy","Freddie Freeman","Brad Miller","Evan Longoria","Jean Segura","Kevin Kiermaier","Corey Dickerson","Shane Peterson"
"6","Dallas Keuchel","Jordan Montgomery","Jason Castro","Freddie Freeman","Robinson Cano","Mike Moustakas","Jean Segura","Nelson Cruz","Ben Gamel","Michael Conforto"
"7","Chris Archer","Dallas Keuchel","Roberto Perez","Carlos Santana","Jose Ramirez","Mike Moustakas","Aledmys Diaz","Lonnie Chisenhall","Abraham Almonte","Corey Dickerson"
"8","Chris Archer","Dallas Keuchel","Jett Bandy","Eric Thames","Jonathan Villar","Mike Moustakas","Hernan Perez","Ryan Braun","Michael Conforto","Shane Peterson"
"9","Dallas Keuchel","Jordan Montgomery","Roberto Perez","Carlos Santana","Jonathan Villar","Mike Moustakas","Francisco Lindor","Nelson Cruz","Michael Brantley","Kevin Kiermaier"
"10","Chris Archer","Dallas Keuchel","Jett Bandy","Matt Carpenter","Jedd Gyorko","Mike Moustakas","Aledmys Diaz","Dexter Fowler","Michael Conforto","Kevin Kiermaier"
"11","Chris Archer","Dallas Keuchel","Geovany Soto","Freddie Freeman","Tyler Saladino","Mike Moustakas","Tim Anderson","Nelson Cruz","Ender Inciarte","Leury Garcia"
"12","Dallas Keuchel","Tom Koehler","Jason Castro","Freddie Freeman","Robinson Cano","Kyle Seager","Aledmys Diaz","Nelson Cruz","Guillermo Heredia","Kevin Kiermaier"
"13","Chris Archer","Dallas Keuchel","Kurt Suzuki","Freddie Freeman","Brad Miller","Mike Moustakas","Jose Iglesias","Matt Kemp","Nick Markakis","Michael Conforto"
"14","Chris Archer","Dallas Keuchel","Salvador Perez","Eric Hosmer","Jonathan Villar","Mike Moustakas","Aledmys Diaz","Lorenzo Cain","Michael Conforto","Corey Dickerson"
"15","Dallas Keuchel","Tom Koehler","Yadier Molina","Edwin Encarnacion","Jose Ramirez","Mike Moustakas","Francisco Lindor","Nelson Cruz","Michael Brantley","Michael Conforto"
"16","Chris Archer","Dallas Keuchel","Yadier Molina","Freddie Freeman","Kolten Wong","Mike Moustakas","Tim Anderson","Stephen Piscotty","Randal Grichuk","Corey Dickerson"
"17","Chris Archer","Dallas Keuchel","Jason Castro","Freddie Freeman","Whit Merrifield","Mike Moustakas","Alcides Escobar","Nelson Cruz","Lorenzo Cain","Corey Dickerson"
"18","Dallas Keuchel","Tom Koehler","Jason Castro","Freddie Freeman","Jonathan Villar","Adonis Garcia","Francisco Lindor","Matt Kemp","Ender Inciarte","Kevin Kiermaier"
"19","Chris Archer","Dallas Keuchel","Jason Castro","Edwin Encarnacion","Jose Ramirez","Miguel Rojas","Francisco Lindor","Michael Brantley","Kevin Kiermaier","Shane Peterson"
"20","Chris Archer","Dallas Keuchel","Jett Bandy","Rickie Weeks","Brad Miller","Evan Longoria","Francisco Lindor","Nelson Cruz","Josh Reddick","Kevin Kiermaier"
"21","Chris Archer","Dallas Keuchel","Roberto Perez","Carlos Santana","Kolten Wong","Chase Headley","Francisco Lindor","Josh Reddick","Abraham Almonte","Kevin Kiermaier"
"22","Chris Archer","Dallas Keuchel","Brian McCann","Josh Bell","Josh Harrison","Mike Moustakas","Francisco Lindor","Andrew McCutchen","Gregory Polanco","Kevin Kiermaier"
"23","Chris Archer","Dallas Keuchel","AJ Ellis","Justin Bour","Jonathan Villar","Miguel Rojas","Francisco Lindor","Nelson Cruz","Marcell Ozuna","Michael Conforto"
"24","Chris Archer","Dallas Keuchel","Derek Norris","Freddie Freeman","Daniel Robertson","Manny Machado","Aledmys Diaz","Nelson Cruz","Corey Dickerson","Shane Peterson"
"25","Chris Archer","Dallas Keuchel","Geovany Soto","Justin Bour","Robinson Cano","Miguel Rojas","Jean Segura","Nelson Cruz","Ben Gamel","Corey Dickerson"
"26","Dallas Keuchel","Bronson Arroyo","Brian McCann","Freddie Freeman","Robinson Cano","Kyle Seager","Francisco Lindor","Nelson Cruz","Ben Gamel","Corey Dickerson"
"27","Chris Archer","Dallas Keuchel","Tucker Barnhart","Freddie Freeman","Jose Peraza","Eugenio Suarez","Aledmys Diaz","Scott Schebler","Michael Conforto","Kevin Kiermaier"
"28","Chris Archer","Dallas Keuchel","Brian McCann","Eric Thames","Daniel Robertson","Kyle Seager","Jean Segura","Kevin Kiermaier","Corey Dickerson","Shane Peterson"
"29","Dallas Keuchel","Tom Koehler","Russell Martin","Freddie Freeman","Dee Gordon","Martin Prado","Francisco Lindor","Giancarlo Stanton","Christian Yelich","Michael Conforto"
"30","Chris Archer","Dallas Keuchel","Jason Castro","Freddie Freeman","Jonathan Villar","Mike Moustakas","Jorge Polanco","Michael Conforto","Eddie Rosario","Byron Buxton"
"31","Dallas Keuchel","Tom Koehler","Russell Martin","Eric Thames","Robinson Cano","Chase Headley","Jean Segura","Nelson Cruz","Ben Gamel","Kevin Kiermaier"
"32","Noah Syndergaard","Dallas Keuchel","Roberto Perez","Carlos Santana","Jedd Gyorko","Mike Moustakas","Francisco Lindor","Abraham Almonte","Michael Conforto","Steve Pearce"
"33","Chris Archer","Dallas Keuchel","Jett Bandy","Justin Bour","Brad Miller","Mike Moustakas","Aledmys Diaz","Giancarlo Stanton","Christian Yelich","Marcell Ozuna"
"34","Dallas Keuchel","Jordan Zimmermann","Jett Bandy","Eric Thames","Robinson Cano","Kyle Seager","Francisco Lindor","Nelson Cruz","Michael Conforto","Guillermo Heredia"
"35","Chris Archer","Dallas Keuchel","Carlos Ruiz","Freddie Freeman","Brad Miller","Mike Moustakas","Jean Segura","Ben Gamel","Corey Dickerson","Boog Powell"
"36","Dallas Keuchel","Jordan Montgomery","Brian McCann","Freddie Freeman","Brad Miller","Adonis Garcia","Aledmys Diaz","Matt Kemp","Ender Inciarte","Michael Conforto"
"37","Chris Archer","Dallas Keuchel","Roberto Perez","Freddie Freeman","Jason Kipnis","Miguel Rojas","Francisco Lindor","Lonnie Chisenhall","Abraham Almonte","Tyler Collins"
"38","Chris Archer","Dallas Keuchel","Jason Castro","Matt Carpenter","Jedd Gyorko","Miguel Rojas","Aledmys Diaz","Ender Inciarte","Stephen Piscotty","Corey Dickerson"
"39","Dallas Keuchel","Jordan Montgomery","Kurt Suzuki","Freddie Freeman","Jonathan Villar","Chase Headley","Francisco Lindor","Matt Kemp","Nick Markakis","Corey Dickerson"
"40","Noah Syndergaard","Dallas Keuchel","Jett Bandy","Jay Bruce","Neil Walker","Jose Reyes","Aledmys Diaz","Billy Hamilton","Michael Conforto","Corey Dickerson"
"41","Dallas Keuchel","Tom Koehler","Jason Castro","Eric Thames","Jonathan Villar","Martin Prado","Hernan Perez","Ryan Braun","Nelson Cruz","Ender Inciarte"
"42","Dallas Keuchel","Jordan Montgomery","Jett Bandy","Edwin Encarnacion","Jose Ramirez","Chase Headley","Francisco Lindor","Michael Brantley","Ender Inciarte","Corey Dickerson"
"43","Chris Archer","Jordan Montgomery","Yadier Molina","Freddie Freeman","Brad Miller","Evan Longoria","Trea Turner","Nelson Cruz","Kevin Kiermaier","Corey Dickerson"
"44","Noah Syndergaard","Chris Archer","Josh Phegley","Justin Bour","Brad Miller","Evan Longoria","Francisco Lindor","Kevin Kiermaier","Corey Dickerson","Joey Rickard"
"45","Dallas Keuchel","Tom Koehler","Roberto Perez","Carlos Santana","Jose Ramirez","Evan Longoria","Francisco Lindor","Michael Brantley","Ender Inciarte","Josh Reddick"
"46","Chris Archer","Dallas Keuchel","Yadier Molina","Eric Thames","Jedd Gyorko","Miguel Rojas","Hernan Perez","Stephen Piscotty","Randal Grichuk","Michael Conforto"
"47","Chris Archer","Dallas Keuchel","Jett Bandy","Freddie Freeman","Brad Miller","Miguel Rojas","Hernan Perez","Ryan Braun","Domingo Santana","Corey Dickerson"
"48","Chris Archer","Dallas Keuchel","Geovany Soto","Freddie Freeman","Brad Miller","Manny Machado","JJ Hardy","Adam Jones","Corey Dickerson","Joey Rickard"
"49","Chris Archer","Dallas Keuchel","Jett Bandy","Eric Hosmer","Whit Merrifield","Mike Moustakas","Francisco Lindor","Ender Inciarte","Lorenzo Cain","Kevin Kiermaier"
"50","Dallas Keuchel","Jordan Montgomery","Russell Martin","Eric Thames","Jonathan Villar","Kyle Seager","Hernan Perez","Ryan Braun","Kevin Kiermaier","Corey Dickerson"
