"Paul Goldschmidt_ARI","Jake Lamb_ARI","Nelson Cruz_SEA","Miguel Sano_MIN","AJ Pollock_ARI","Robinson Cano_SEA","Jean Segura_SEA","Max Kepler_MIN","Danny Valencia_SEA","David Peralta_ARI","Joe Mauer_MIN","Chris Owings_ARI","Nick Ahmed_ARI","Wil Myers_SD","Ryan Schimpf_SD","Austin Hedges_SD","Robbie Grossman_MIN","Kyle Seager_SEA","Brian Dozier_MIN","Jarrod Dyson_SEA","Mike Zunino_SEA","Mitch Haniger_SEA","Ben Gamel_SEA","Taylor Motter_SEA","Jeremy Hazelbaker_ARI","Manuel Margot_SD","Yasmany Tomas_ARI","Jason Castro_MIN","Leonys Martin_SEA","Kennys Vargas_MIN","Yangervis Solarte_SD","Rey Fuentes_ARI","Alex Dickerson_SD","Hunter Renfroe_SD","Eddie Rosario_MIN","Gregor Blanco_ARI","Chris Iannetta_ARI","Chris Herrmann_ARI","Socrates Brito_ARI","Guillermo Heredia_SEA","Daniel Descalso_ARI","Brandon Drury_ARI","Byron Buxton_MIN","Travis Jankowski_SD","Jorge Polanco_MIN","Matt Szczur_SD","Chase d'Arnaud_SD","Shawn O'Malley_SEA","Eduardo Escobar_MIN","Christian Bethancourt_SD","Carlos Ruiz_SEA","Boog Powell_SEA","Cory Spangenberg_SD","Allen Cordoba_SD","Chris Gimenez_MIN","Tuffy Gosewisch_SEA","Jabari Blash_SD","Franchy Cordero_SD","Ehire Adrianza_MIN","Daniel Vogelbach_SEA","Tyler Smith_SEA","Hector Sanchez_SD","Erick Aybar_SD","Jeff Mathis_ARI","Luis Torrens_SD"
0,0,0,34,0,0,0,36,0,0,38,0,0,0,0,0,28,0,36,0,0,0,0,0,0,0,0,27,0,13,0,0,0,0,32,0,0,0,0,0,0,0,31,0,32,0,0,0,15,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0
47,44,0,0,30,0,0,0,0,33,0,48,19,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,11,14,15,0,0,15,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
27,25,0,0,13,0,0,0,0,13,0,19,28,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,8,11,12,0,0,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,53,41,44,0,0,0,0,0,0,0,0,0,41,0,0,0,0,52,0,0,51,0,0,0,0,0,0,0,0,0,13,0,10,7,0,0,0,0,0,24,20,0,0,7,6,0,0,0,2,41,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,41,42,34,0,0,0,0,0,0,0,0,0,33,0,0,0,0,41,0,0,40,0,0,0,0,0,0,0,0,0,13,0,6,3,0,0,0,0,0,15,15,0,0,5,4,0,0,0,2,36,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,44,34,45,0,0,0,0,0,0,0,0,0,34,0,0,0,0,44,0,0,43,0,0,0,0,0,0,0,0,0,11,0,10,6,0,0,0,0,0,22,17,0,0,7,5,0,0,0,0,34,0,0
0,0,0,31,0,0,0,29,0,0,28,0,0,0,0,0,34,0,32,0,0,0,0,0,0,0,0,20,0,8,0,0,0,0,28,0,0,0,0,0,0,0,28,0,29,0,0,0,16,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0
0,0,48,0,0,42,38,0,44,0,0,0,0,0,0,0,0,52,0,45,28,17,32,33,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,38,0,0,0,37,0,0,36,0,0,0,0,0,32,0,42,0,0,0,0,0,0,0,0,28,0,15,0,0,0,0,37,0,0,0,0,0,0,0,35,0,36,0,0,0,19,0,0,0,0,0,15,0,0,0,4,0,0,0,0,0,0
0,0,45,0,0,40,34,0,40,0,0,0,0,0,0,0,0,45,0,49,30,18,29,31,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0
