"Corey Dickerson_TB","Evan Longoria_TB","Steven Souza_TB","Mookie Betts_BOS","JD Martinez_DET","Jose Abreu_CWS","Elvis Andrus_TEX","Logan Morrison_TB","Xander Bogaerts_BOS","Miguel Cabrera_DET","Adrian Beltre_TEX","Joey Gallo_TEX","Hanley Ramirez_BOS","Kevin Kiermaier_TB","Nomar Mazara_TEX","Ian Kinsler_DET","Shin-Soo Choo_TEX","Mike Moustakas_KC","Jackie Bradley_BOS","Justin Upton_DET","Andrew Benintendi_BOS","Corey Seager_LAD","Colby Rasmus_TB","Wilson Ramos_TB","Brad Miller_TB","Melky Cabrera_CWS","Cody Bellinger_LAD","Mitch Moreland_BOS","Tommy Pham_STL","Carlos Gomez_TEX","Matt Duffy_TB","Eric Hosmer_KC","Pablo Sandoval_BOS","Todd Frazier_CWS","Avisail Garcia_CWS","Matt Davidson_CWS","Dexter Fowler_STL","Matt Carpenter_STL","Whit Merrifield_KC","Jorge Bonifacio_KC","Dustin Pedroia_BOS","Yoan Moncada_CWS","Randal Grichuk_STL","Stephen Piscotty_STL","Aledmys Diaz_STL","Mike Napoli_TEX","Rougned Odor_TEX","Victor Martinez_DET","Brandon Moss_KC","Leury Garcia_CWS","Yasmani Grandal_LAD","Yasiel Puig_LAD","Tim Beckham_TB","Nicholas Castellanos_DET","Brock Holt_BOS","Tyler Saladino_CWS","Chase Utley_LAD","Jedd Gyorko_STL","Jonathan Lucroy_TEX","Delino DeShields_TEX","Peter O'Brien_TEX","Jake Bauers_TB","Jose Iglesias_DET","Yolmer Sanchez_CWS","Joc Pederson_LAD","Chris Taylor_LAD","Lorenzo Cain_KC","Andrew Romine_DET","Alex Avila_DET","Jorge Soler_KC","Chris Young_BOS","Christian Vazquez_BOS","Justin Turner_LAD","Logan Forsythe_LAD","Jesus Sucre_TB","Jurickson Profar_TEX","Mallex Smith_TB","Paulo Orlando_KC","Billy Burns_KC","Cheslor Cuthbert_KC","Tim Anderson_CWS","Kike Hernandez_LAD","Robinson Chirinos_TEX","Peter Bourjos_TB","Steve Selsky_BOS","Marco Hernandez_BOS","Charlie Tilson_CWS","Adrian Gonzalez_LAD","Franklin Gutierrez_LAD","Jhonny Peralta_STL","Rickie Weeks_TB","Curt Casali_TB","Salvador Perez_KC","Sandy Leon_BOS","Yadier Molina_STL","Kolten Wong_STL","Austin Barnes_LAD","Pete Kozma_TEX","Brett Nicholas_TEX","Ryan Rua_TEX","Ryan O'Hearn_KC","Josh Rutledge_BOS","Sam Travis_BOS","Trayce Thompson_LAD","Harrison Bader_STL","Jared Hoying_TEX","JaCoby Jones_DET","James McCann_DET","Terrance Gore_KC","Deven Marrero_BOS","Jacob May_CWS","Jose Martinez_STL","Andrew Toles_LAD","Derek Norris_TB","Daniel Robertson_TB","Alex Gordon_KC","Dixon Machado_DET","John Hicks_DET","Mikie Mahtook_DET","Tyler Collins_DET","Cody Asche_CWS","Willy Garcia_CWS","Rob Segedin_LAD","Greg Garcia_STL","Michael Martinez_TB","Hanser Alberto_TEX","Geovany Soto_CWS","Omar Narvaez_CWS","Adam Engel_CWS","Andre Ethier_LAD","Magneuris Sierra_STL","Paul DeJong_STL","Drew Stubbs_TEX","Shane Peterson_TB","Jim Adduci_DET","Raul Mondesi_KC","Kevan Smith_CWS","Scott Van Slyke_LAD","Carson Kelly_STL","Alex Presley_DET","Eric Fryer_STL","Alcides Escobar_KC","Drew Butera_KC","Drew Robinson_TEX","Mike Freeman_LAD","Zack Collins_CWS","Brett Eibner_LAD"
45,43,38,0,0,0,0,39,0,0,0,0,0,43,0,0,0,0,0,0,0,0,17,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
43,50,43,0,0,0,0,42,0,0,0,0,0,49,0,0,0,0,0,0,0,0,17,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
38,43,45,0,0,0,0,36,0,0,0,0,0,43,0,0,0,0,0,0,0,0,12,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,44,0,0,0,0,41,0,0,0,36,0,0,0,0,0,29,0,40,0,0,0,0,0,0,39,0,0,0,0,13,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14,0,0,0,0,12,0,0,0,0,0,10,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,33,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,25,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,9,22,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,49,0,0,0,2,47,0,0,43,0,42,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,49,0,0,0,0,0,0,0,0,0,0,0,37,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,42,36,0,0,0,0,43,0,0,0,0,0,42,0,0,0,0,0,0,0,0,17,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,41,0,0,0,0,42,0,0,0,36,0,0,0,0,0,29,0,38,0,0,0,0,0,0,37,0,0,0,0,11,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,12,0,0,0,0,31,0,0,0,0,0,22,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,7,2,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
