"Place_lo","Place_hi","Payout"
"1","1","250"
"2","2","125"
"3","3","100"
"4","4","75"
"5","5","50"
"6","6","30"
"7","7","20"
"8","8","15"
"9","10","10"
"11","15","7"
"16","20","6"
"21","25","5"
"26","30","4"
"31","35","3.5"
"36","50","3"
"51","75","2.5"
"76","125","2"
"126","225","1.75"
"226","425","1.5"
"426","775","1.25"
"776","1375","1"
"1376","2605","0.75"
"2606","5695","0.5"
