"","X","X2017.04.02","X2017.04.03","X2017.04.04","X2017.04.05","X2017.04.06","X2017.04.07","X2017.04.08","X2017.04.09","X2017.04.10","X2017.04.11","X2017.04.12","X2017.04.13","X2017.04.14","X2017.04.15"
"1","Jose Altuve_HOU",NA,NA,3,0,3,0,3,13,4,17,19,NA,26,19
"2","Brian Dozier_MIN",NA,7,NA,NA,NA,2,8,5,NA,NA,14,13,15,NA
"3","Carlos Correa_HOU",NA,NA,2,6,2,5,4,8,9,0,10,NA,4,4
"4","Paul Goldschmidt_ARI",8,NA,18,11,19,17,12,8,0,9,0,NA,4,8
"5","Dexter Fowler_STL",7,NA,3,NA,NA,2,11,0,9,7,7,NA,0,0
"6","Matt Carpenter_STL",5,NA,0,NA,NA,2,4,5,8,NA,10,NA,18,3
"7","George Springer_HOU",NA,NA,5,27,16,2,2,19,0,17,5,NA,3,22
"8","Robinson Cano_SEA",NA,NA,7,2,3,3,3,27,11,7,7,NA,2,2
"9","Nelson Cruz_SEA",NA,NA,0,7,2,5,2,2,15,3,3,NA,16,11
"10","Corey Seager_LAD",NA,21,0,7,NA,NA,0,23,7,NA,5,3,14,18
"11","Nolan Arenado_COL",NA,12,11,3,NA,NA,19,0,6,14,4,5,0,22
"12","Charlie Blackmon_COL",NA,7,10,4,NA,NA,11,23,3,16,8,0,3,7
"13","Todd Frazier_CWS",NA,NA,NA,NA,NA,0,14,4,NA,NA,NA,NA,0,0
"14","Gary Sanchez_NYY",0,NA,0,3,NA,21,0,NA,NA,NA,NA,NA,NA,NA
"15","Jean Segura_SEA",NA,NA,0,19,13,7,13,16,0,NA,NA,NA,NA,NA
"16","Jose Abreu_CWS",NA,NA,NA,NA,NA,5,0,5,NA,NA,0,14,2,0
"17","Miguel Sano_MIN",NA,20,NA,NA,NA,7,2,21,NA,NA,2,26,4,11
"18","Stephen Piscotty_STL",9,NA,4,NA,NA,2,NA,NA,10,0,30,NA,2,16
"19","Trevor Story_COL",NA,7,18,7,NA,NA,5,2,2,NA,2,16,4,4
"20","Melky Cabrera_CWS",NA,NA,NA,NA,NA,6,2,4,NA,NA,3,14,NA,NA
"21","Aledmys Diaz_STL",18,NA,0,NA,NA,0,37,3,0,17,NA,NA,10,0
"22","Carlos Gonzalez_COL",NA,0,7,0,NA,NA,NA,2,3,14,7,5,3,0
"23","Chris Carter_NYY",NA,NA,NA,NA,NA,NA,0,7,12,NA,5,NA,NA,5
"24","Kyle Seager_SEA",NA,NA,5,8,5,0,7,2,10,5,7,NA,8,9
"25","Ian Desmond_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Max Kepler_MIN",NA,5,NA,NA,NA,0,3,0,NA,NA,7,27,7,17
"27","Matt Holliday_NYY",0,NA,9,3,NA,25,6,10,12,NA,2,2,0,NA
