"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
23,785977455,"jeffgreenwald17 (15/20)",0,163.1,"P Felix Hernandez OF Adam Jones OF Mark Trumbo OF Alex Gordon 1B Chris Davis C Welington Castillo 2B Whit Merrifield 3B Manny Machado P Luis Severino SS Corey Seager",NA,"Miguel Cabrera","15.24%",5
24,785847977,"WatsonBankz (6/20)",0,162.85,"1B Mike Napoli OF Adam Jones OF Mark Trumbo 3B Todd Frazier P Jhoulys Chacin C Salvador Perez 2B Jonathan Schoop OF Delino DeShields P Luis Severino SS Corey Seager",NA,"Jonathan Lucroy","14.72%",2
25,785924717,"markluke (1/4)",0,162.1,"P Felix Hernandez OF Lorenzo Cain SS Elvis Andrus OF Justin Upton 3B Mike Moustakas C Salvador Perez 1B Eric Hosmer 2B Whit Merrifield OF Chris Taylor P Luis Severino",NA,"Mikie Mahtook","14.09%",8
26,785905666,"bellaedward4eva (19/20)",0,161.4,"OF Brandon Moss OF Nick Markakis OF Matt Kemp SS Alcides Escobar C Kurt Suzuki 3B Mike Moustakas P Madison Bumgarner 1B Eric Hosmer 2B Whit Merrifield P Luis Severino",NA,"Manny Machado","13.82%",2
27,785941304,"atty40",0,161.2,"3B Adrián Béltre 1B Mike Napoli OF Brandon Moss OF Mark Trumbo OF Brett Gardner C Welington Castillo P Danny Duffy SS Didi Gregorius 2B Jonathan Schoop P Luis Severino",NA,"Delino DeShields","13.79%",4
28,785994913,"JDH285 (4/6)",0,160.85,"1B Mike Napoli OF Shin-soo Choo OF Adam Jones C Welington Castillo P Jhoulys Chacin SS Didi Gregorius 2B Jonathan Schoop 3B Manny Machado P Luis Severino OF Trey Mancini",NA,"Rougned Odor","13.68%",5
29,785987682,"cbracing14 (1/2)",0,160.8,"OF Shin-soo Choo C Robinson Chirinos OF Nelson Cruz 3B Mike Moustakas 1B Eric Hosmer SS Didi Gregorius 2B Jonathan Schoop P Mike Foltynewicz OF Aaron Judge P Luis Severino",NA,"Joc Pederson","13.43%",0
30,785800623,"juanshen (13/20)",0,160.4,"3B Adrián Béltre 1B Mike Napoli OF Brandon Moss SS Alcides Escobar OF Carlos Gómez OF Alex Gordon P Madison Bumgarner C Salvador Perez 2B Whit Merrifield P Luis Severino",NA,"Trey Mancini","13.39%",2
31,786017499,"bobthebrain",0,160.2,"OF Shin-soo Choo OF Adam Jones OF Mark Trumbo 3B Todd Frazier P Danny Duffy 1B Eric Hosmer SS Didi Gregorius 2B Whit Merrifield C Gary Sánchez P Luis Severino",NA,"Carlos Gómez","13.17%",7
31,786006253,"Lockjaw31",0,160.2,"OF Brandon Moss OF Alex Gordon 3B Mike Moustakas P Danny Duffy C Yasmani Grandal 1B Eric Hosmer 2B Whit Merrifield P Luis Severino SS Corey Seager OF Cody Bellinger",NA,"Ian Kinsler","13.12%",9
33,785937119,"sfalls21 (10/19)",0,160.1,"C Robinson Chirinos P Felix Hernandez OF Lorenzo Cain 3B Mike Moustakas 1B Eric Hosmer 2B Whit Merrifield OF Jorge Bonifacio OF Chris Taylor P Luis Severino SS Corey Seager",NA,"Jhoulys Chacin","12.94%",18.5
34,785991372,"mhb1892 (3/8)",0,159.85,"OF Shin-soo Choo SS Erick Aybar OF Adam Jones OF Mark Trumbo C Welington Castillo 1B Freddie Freeman P Jhoulys Chacin 2B Whit Merrifield 3B Manny Machado P Luis Severino",NA,"Buster Posey","12.40%",0
35,785977226,"parker8675",0,159.55,"OF Adam Jones SS Alcides Escobar OF Mark Trumbo OF Lorenzo Cain P Madison Bumgarner P Jhoulys Chacin C Salvador Perez 1B Eric Hosmer 2B Jonathan Schoop 3B Manny Machado",NA,"Starlin Castro","12.35%",0
36,785984608,"chris024 (7/20)",0,159.4,"2B Chase Utley OF Shin-soo Choo OF Alex Gordon 3B Mike Moustakas P Madison Bumgarner C Salvador Perez SS Rubén Tejada 1B Eric Hosmer OF Jorge Bonifacio P Luis Severino",NA,"Todd Frazier","11.99%",5
37,786003890,"jb92087 (2/3)",0,159.25,"3B Adrián Béltre 1B Mike Napoli P Felix Hernandez OF Adam Jones C Welington Castillo P Jhoulys Chacin 2B Jonathan Schoop OF Chris Taylor SS Corey Seager OF Cody Bellinger",NA,"Brandon Belt","11.52%",4
38,785983199,"TrumpPalin2020 (12/20)",0,159.1,"P Felix Hernandez OF Adam Jones SS Alcides Escobar OF Carlos Gómez C Welington Castillo 3B Mike Moustakas 2B Jonathan Schoop P Luis Severino OF Yasiel Puig 1B Cody Bellinger",NA,"Welington Castillo","11.24%",13
39,785958662,"abo21 (9/20)",0,158.8,"1B Mike Napoli OF Shin-soo Choo P Felix Hernandez OF Lorenzo Cain 3B Mike Moustakas P Madison Bumgarner C Salvador Perez 2B Whit Merrifield OF Jorge Bonifacio SS Corey Seager",NA,"Lorenzo Cain","10.80%",5
40,785728272,"liljay1000",0,158.6,"OF Denard Span P Felix Hernandez OF Adam Jones 3B Justin Turner P Danny Duffy C Yasmani Grandal 1B Eric Hosmer 2B Jonathan Schoop SS Corey Seager OF Cody Bellinger",NA,"Didi Gregorius","10.50%",12
41,785976003,"mgray1233 (3/5)",0,158.25,"1B Mike Napoli C Robinson Chirinos P Felix Hernandez OF Adam Jones OF Mark Trumbo P Jhoulys Chacin 2B Jonathan Schoop 3B Manny Machado OF Aaron Judge SS Corey Seager",NA,"Mike Moustakas","10.48%",17
42,785964033,"raymond9136 (1/4)",0,158.2,"OF Shin-soo Choo C Robinson Chirinos SS Alcides Escobar OF Mark Trumbo P Danny Duffy 1B Eric Hosmer 2B Jonathan Schoop OF Jorge Bonifacio 3B Manny Machado P Luis Severino",NA,"Yasmani Grandal","10.38%",21
43,785956662,"stacgost (1/7)",0,157.8,"1B Mike Napoli OF Shin-soo Choo OF Adam Jones SS Elvis Andrus OF Justin Upton C Welington Castillo 2B Jonathan Schoop 3B Manny Machado P Mike Foltynewicz P Luis Severino",NA,"Denard Span","10.11%",12
43,785969819,"Triangular (5/9)",0,157.8,"3B Adrián Béltre 1B Mike Napoli OF Shin-soo Choo OF Carlos Gómez C Kurt Suzuki OF Brett Gardner SS Elvis Andrus 2B Jonathan Schoop P Mike Foltynewicz P Luis Severino",NA,"Salvador Perez","10.08%",19
45,785956953,"rick777",0,157.2,"OF Adam Jones OF Mark Trumbo 3B Mike Moustakas P Danny Duffy C Salvador Perez 1B Eric Hosmer 2B Starlin Castro SS Didi Gregorius OF Aaron Judge P Luis Severino",NA,"Justin Turner","9.70%",4
46,785959855,"boozinbuffalo (18/20)",0,157.1,"OF Brandon Moss P Felix Hernandez OF Adam Jones 3B Justin Turner 1B Brandon Belt C Yasmani Grandal 2B Jonathan Schoop P Luis Severino SS Corey Seager OF Trey Mancini",NA,"Brandon Moss","9.03%",18
47,785945836,"JDUB1010 (3/20)",0,156.8,"3B Adrián Béltre OF Brandon Moss 1B Miguel Cabrera P Felix Hernandez OF Adam Jones OF Mark Trumbo SS Elvis Andrus P Madison Bumgarner C Salvador Perez 2B Jonathan Schoop",NA,"Jean Segura","8.81%",3
48,785956763,"FLORIDADREAMERS",0,156.35,"P Brandon McCarthy OF Mark Trumbo OF Brett Gardner 3B Mike Moustakas C Salvador Perez 1B Eric Hosmer SS Didi Gregorius 2B Whit Merrifield OF Aaron Judge P Luis Severino",NA,"Victor Martinez","8.69%",5
49,785983189,"TrumpPalin2020 (2/20)",0,156.25,"OF Nick Markakis P Felix Hernandez OF Adam Jones OF Carlos Gómez 3B Mike Moustakas C Yasmani Grandal P Jhoulys Chacin 2B Jonathan Schoop SS Corey Seager 1B Cody Bellinger",NA,"Robinson Chirinos","8.65%",12
50,785961589,"phreak_09",0,156.1,"P Felix Hernandez OF Adam Jones OF Mark Trumbo 1B Chris Davis C Salvador Perez SS Brandon Crawford 2B Jonathan Schoop 3B Manny Machado OF Delino DeShields P Luis Severino",NA,"Whit Merrifield","8.53%",19
50,785978749,"ragingcorndog (4/4)",0,156.1,"2B Chase Utley 1B Mike Napoli OF Shin-soo Choo P Felix Hernandez OF Adam Jones C Welington Castillo 3B Manny Machado OF Mikie Mahtook P Luis Severino SS Corey Seager",NA,"Chase Utley","8.36%",5
50,785981769,"TLorz (12/20)",0,156.1,"3B Adrián Béltre 1B Mike Napoli P Felix Hernandez OF Adam Jones OF Carlos Gómez SS Elvis Andrus C Welington Castillo 2B Jonathan Schoop P Luis Severino OF Trey Mancini",NA,"Brett Gardner","8.10%",14
50,785988825,"Playaflyreborn (7/7)",0,156.1,"1B Victor Martinez P Felix Hernandez SS Alcides Escobar OF Justin Upton 3B Mike Moustakas C Salvador Perez OF Ender Inciarte 2B Whit Merrifield P Luis Severino OF Cody Bellinger",NA,"Nelson Cruz","8.08%",3
