"Place_lo","Place_hi","Payout"
"1","1","100"
"2","2","75"
"3","3","50"
"4","4","40"
"5","5","30"
"6","6","25"
"7","7","20"
"8","8","15"
"9","10","10"
"11","20","8"
"21","30","6"
"31","50","5"
"51","90","4"
"91","190","3"
"191","440","2.5"
"441","840","2"
