"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Actual"
"DST","Broncos  (7852862)","Broncos ",7852862,3900,"Den@Jax 01:00PM ET","DEN","Broncos",NA,"Jax",11.5,9.1,0
"DST","Patriots  (7852861)","Patriots ",7852861,3700,"LA@NE 01:00PM ET","NE","Patriots",NA,"LA",9.66,11.6,0
"DST","Seahawks  (7852880)","Seahawks ",7852880,3500,"Car@Sea 08:30PM ET","SEA","Seahawks",NA,"Car",10.2,8.2,0
"DST","Bears  (7852870)","Bears ",7852870,3300,"SF@Chi 01:00PM ET","CHI","Bears",NA,"SF",6.04,6.2,0
"DST","Raiders  (7852873)","Raiders ",7852873,3200,"Buf@Oak 04:05PM ET","OAK","Raiders",NA,"Buf",8.16,7.5,0
"DST","Eagles  (7852867)","Eagles ",7852867,3100,"Phi@Cin 01:00PM ET","PHI","Eagles",NA,"Cin",8.25,8.8,0
"DST","Ravens  (7852869)","Ravens ",7852869,3000,"Mia@Bal 01:00PM ET","BAL","Ravens",NA,"Mia",9.88,8.3,0
"DST","Falcons  (7852856)","Falcons ",7852856,2900,"KC@Atl 01:00PM ET","ATL","Falcons",NA,"KC",6.8,7.6,0
"DST","Packers  (7852865)","Packers ",7852865,2900,"Hou@GB 01:00PM ET","GB","Packers",NA,"Hou",8,7.5,0
"DST","Chargers  (7852878)","Chargers ",7852878,2900,"TB@SD 04:25PM ET","SD","Chargers",NA,"TB",6.74,8.1,0
"DST","Chiefs  (7852857)","Chiefs ",7852857,2800,"KC@Atl 01:00PM ET","KC","Chiefs",NA,"Atl",6.94,7,0
"DST","49ers  (7852871)","49ers ",7852871,2800,"SF@Chi 01:00PM ET","SF","49ers",NA,"Chi",5.28,6,0
"DST","Steelers  (7852875)","Steelers ",7852875,2800,"NYG@Pit 04:25PM ET","PIT","Steelers",NA,"NYG",5.78,6.9,0
"DST","Bills  (7852872)","Bills ",7852872,2700,"Buf@Oak 04:05PM ET","BUF","Bills",NA,"Oak",7.48,6.4,0
"DST","Giants  (7852874)","Giants ",7852874,2700,"NYG@Pit 04:25PM ET","NYG","Giants",NA,"Pit",6.3,7.1,0
"DST","Cardinals  (7852876)","Cardinals ",7852876,2700,"Was@Ari 04:25PM ET","ARI","Cardinals",NA,"Was",8.74,8.4,0
"DST","Jaguars  (7852863)","Jaguars ",7852863,2600,"Den@Jax 01:00PM ET","JAX","Jaguars",NA,"Den",6.16,5.3,0
"DST","Bengals  (7852866)","Bengals ",7852866,2600,"Phi@Cin 01:00PM ET","CIN","Bengals",NA,"Phi",7.71,7.2,0
"DST","Dolphins  (7852868)","Dolphins ",7852868,2600,"Mia@Bal 01:00PM ET","MIA","Dolphins",NA,"Bal",7.1,9.4,0
"DST","Panthers  (7852881)","Panthers ",7852881,2600,"Car@Sea 08:30PM ET","CAR","Panthers",NA,"Sea",6.83,5.2,0
"DST","Texans  (7852864)","Texans ",7852864,2500,"Hou@GB 01:00PM ET","HOU","Texans",NA,"GB",5.54,6.6,0
"DST","Buccaneers  (7852879)","Buccaneers ",7852879,2500,"TB@SD 04:25PM ET","TB","Buccaneers",NA,"SD",6.48,6.7,0
"DST","Redskins  (7852877)","Redskins ",7852877,2400,"Was@Ari 04:25PM ET","WAS","Redskins",NA,"Ari",6.79,7.6,0
"DST","Lions  (7852858)","Lions ",7852858,2300,"Det@NO 01:00PM ET","DET","Lions",NA,"NO",3.66,4,0
"DST","Rams  (7852860)","Rams ",7852860,2200,"LA@NE 01:00PM ET","LA","Rams",NA,"NE",5.15,6.6,0
"DST","Saints  (7852859)","Saints ",7852859,2100,"Det@NO 01:00PM ET","NO","Saints",NA,"Det",4.54,8.7,0
