"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
22,801922720,"BarOfSoap (12/20)",0,131.2,"OF Justin Upton C James McCann P Michael Fulmer OF Starling Marte 2B Robinson Canó 1B Yonder Alonso SS Jean Segura 3B Kyle Seager OF Mitch Haniger P Ariel Miranda",NA,"Andrew McCutchen","18.67%",0
23,801673706,"ab349504",0,131.1,"C Yasmani Grandal P Hyun-Jin Ryu OF Andrew McCutchen 3B Josh Harrison OF Starling Marte 1B Josh Bell OF Adam Frazier 2B Paul DeJong SS Jean Segura P Ariel Miranda",NA,"Steven Souza Jr.","16.76%",14
24,801817159,"moklovin (5/20)",0,130.75,"P Michael Fulmer OF Starling Marte P Michael Wacha 2B Robinson Canó OF Nelson Cruz 3B Evan Longoria C Wilson Ramos OF Steven Souza Jr. 1B Yonder Alonso SS Jean Segura",NA,"Nicholas Castellanos","16.70%",3
25,801839065,"ArtfulPossum (15/20)",0,130.3,"3B Justin Turner C Yasmani Grandal SS Corey Seager P Chad Kuhl 2B Robinson Canó OF Nelson Cruz 1B Yonder Alonso OF Mitch Haniger OF Guillermo Heredia P Ariel Miranda",NA,"James McCann","15.94%",2
26,801703384,"cptnspaulding (6/6)",0,130.2,"P Michael Fulmer P Hyun-Jin Ryu 2B Robinson Canó OF Nelson Cruz OF Peter Bourjos 3B Evan Longoria C Wilson Ramos OF Steven Souza Jr. 1B Lucas Duda SS Jean Segura",NA,"Evan Longoria","15.56%",2
27,801838759,"jes62977",0,129.3,"P Hyun-Jin Ryu OF Andrew McCutchen OF Starling Marte 1B Josh Bell C Carson Kelly 2B Adam Frazier P Chad Kuhl OF Nelson Cruz 3B Evan Longoria SS Jean Segura",NA,"Mikie Mahtook","15.43%",0
28,801825491,"shawnzhan (9/20)",0,129.2,"P Michael Fulmer P Hyun-Jin Ryu 2B Robinson Canó OF Nelson Cruz OF Peter Bourjos C Wilson Ramos 1B Lucas Duda SS Jean Segura 3B Kyle Seager OF Kevin Kiermaier",NA,"Starling Marte","14.35%",32
28,801922715,"BarOfSoap (7/20)",0,129.2,"2B Ian Kinsler OF Justin Upton P Michael Fulmer OF Nelson Cruz C Wilson Ramos 1B Yonder Alonso SS Jean Segura 3B Kyle Seager OF Mitch Haniger P Ariel Miranda",NA,"Kyle Seager","13.14%",5
28,801935495,"jadgunn",0,129.2,"1B Miguel Cabrera P Michael Fulmer P Hyun-Jin Ryu OF Randal Grichuk SS Paul DeJong 2B Robinson Canó OF Nelson Cruz 3B Evan Longoria C Wilson Ramos OF Steven Souza Jr.",NA,"Mike Zunino","12.76%",2
31,801827434,"mscroggs300 (14/20)",0,129.1,"2B Chase Utley C Yasmani Grandal OF Chris Taylor P Hyun-Jin Ryu OF Nelson Cruz 1B Yonder Alonso SS Jean Segura 3B Kyle Seager OF Mitch Haniger P Ariel Miranda",NA,"Yonder Alonso","12.63%",9
32,801598294,"Awesemo (1/20)",0,128.85,"2B Chris Taylor P Michael Wacha P Chad Kuhl OF Nelson Cruz C Wilson Ramos OF Steven Souza Jr. 1B Lucas Duda SS Jean Segura 3B Kyle Seager OF Mitch Haniger",NA,"Josh Harrison","12.06%",0
33,801743054,"bric75 (3/20)",0,128.3,"OF Justin Upton 3B Justin Turner C Yasmani Grandal SS Corey Seager 1B Cody Bellinger OF Starling Marte P Chad Kuhl 2B Robinson Canó OF Nelson Cruz P Ariel Miranda",NA,"Kevin Kiermaier","10.03%",10
33,801905814,"teambryan",0,128.3,"1B Miguel Cabrera OF Justin Upton 3B Justin Turner C Yasmani Grandal 2B Chris Taylor SS Corey Seager OF Starling Marte P Chad Kuhl OF Nelson Cruz P Ariel Miranda",NA,"Jedd Gyorko","9.59%",0
33,801934461,"jgootz421 (2/4)",0,128.3,"OF Justin Upton 3B Justin Turner C Yasmani Grandal SS Corey Seager 1B Cody Bellinger OF Starling Marte P Chad Kuhl 2B Robinson Canó OF Nelson Cruz P Ariel Miranda",NA,"Ben Gamel","8.95%",5
36,801863918,"Fsjewell (3/4)",0,128.2,"2B Ian Kinsler C Yasmani Grandal 3B Nicholas Castellanos P Michael Fulmer P Hyun-Jin Ryu OF John Jaso OF José Martínez 1B Matt Carpenter OF Nelson Cruz SS Jean Segura",NA,"Randal Grichuk","8.76%",10
37,801827435,"mscroggs300 (15/20)",0,127.1,"2B Chase Utley 3B Justin Turner C Yasmani Grandal SS Corey Seager P Hyun-Jin Ryu OF Starling Marte OF Nelson Cruz 1B Yonder Alonso OF Guillermo Heredia P Ariel Miranda",NA,"Peter Bourjos","8.32%",9
38,801598307,"Awesemo (14/20)",0,126.3,"1B Adrián González 3B Justin Turner C Yasmani Grandal OF Chris Taylor P Chad Kuhl 2B Robinson Canó OF Steven Souza Jr. SS Jean Segura OF Mitch Haniger P Ariel Miranda",NA,"Josh Bell","7.87%",4
38,801729542,"daisychik4855",0,126.3,"3B Justin Turner C Yasmani Grandal SS Corey Seager 1B Cody Bellinger OF Andrew McCutchen OF Starling Marte P Chad Kuhl 2B Robinson Canó OF Nelson Cruz P Ariel Miranda",NA,"José Martínez","7.30%",21
38,801809922,"tchure",0,126.3,"2B Ian Kinsler C Yasmani Grandal P Hyun-Jin Ryu 3B Josh Harrison 1B Josh Bell P Chad Kuhl SS Paul DeJong OF Nelson Cruz OF Peter Bourjos OF Kevin Kiermaier",NA,"Kolten Wong","6.29%",5
38,801914106,"jebsanders",0,126.3,"3B Justin Turner C Yasmani Grandal OF Chris Taylor SS Corey Seager 1B Cody Bellinger P Chad Kuhl 2B Robinson Canó OF Nelson Cruz OF Mitch Haniger P Ariel Miranda",NA,"Lucas Duda","5.90%",16
38,801934442,"jgootz421 (1/4)",0,126.3,"3B Justin Turner C Yasmani Grandal SS Corey Seager 1B Cody Bellinger OF Andrew McCutchen OF Starling Marte P Chad Kuhl 2B Robinson Canó OF Nelson Cruz P Ariel Miranda",NA,"Logan Forsythe","5.65%",0
43,801703375,"cptnspaulding (5/6)",0,126.2,"P Michael Fulmer P Hyun-Jin Ryu 2B Robinson Canó OF Nelson Cruz OF Peter Bourjos C Wilson Ramos OF Steven Souza Jr. 1B Yonder Alonso SS Jean Segura 3B Kyle Seager",NA,"Carson Kelly","4.89%",0
43,801927928,"stlcardinals84 (3/10)",0,126.2,"P Michael Fulmer P Hyun-Jin Ryu 2B Robinson Canó 3B Evan Longoria C Wilson Ramos OF Steven Souza Jr. 1B Yonder Alonso SS Jean Segura OF Mitch Haniger OF Kevin Kiermaier",NA,"Adam Frazier","4.83%",24
45,801817168,"moklovin (14/20)",0,125.75,"C Yasmani Grandal P Michael Fulmer OF Cody Bellinger OF Starling Marte P Michael Wacha 2B Robinson Canó OF Nelson Cruz 1B Yonder Alonso SS Jean Segura 3B Kyle Seager",NA,"Mitch Haniger","4.83%",25
