"","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Carlos Carrasco","P","CLE","@ CWS",3.25,"TBD","R",2.33,0,0,6.4,8.9,0.93,NA,10900,29.5,21.4,21.16,21.16,"%",80,1.9,35.6,3.3
"Jake Arrieta","P","CHC","@ CIN",3.27,"Reed, L 0.00","R",2.89,0,0,6.2,10.2,0.91,NA,10600,34.8,23.1,20.07,20.07,"%",68,1.9,20.7,2
"Michael Pineda","P","NYY","@ PIT",3.45,"Taillon, R 0.90","R",3.44,0,0,6.1,11.4,0.93,NA,10100,44,23.7,17.35,17.35,"%",44,1.7,13.05,1.3
"Jacob deGrom","P","NYM","vs WSH",3.17,"Gonzalez, L 1.33","R",1.89,0,0,4.8,10.3,0.84,NA,9900,48.5,17.3,22.23,22.23,"%",24,2.2,18.95,1.9
"Gio Gonzalez","P","WSH","@ NYM",3.34,"deGrom, R 1.89","L",1.33,0,0,6.8,6.6,1.03,NA,9500,28.9,20,16.94,16.94,"%",70,1.8,25.25,2.7
"Jameson Taillon","P","PIT","vs NYY",3.55,"Pineda, R 3.44","R",0.9,0,0,6.7,7.1,1.15,NA,9200,27.9,20.9,17.8,17.8,"%",76,1.9,7.2,0.8
"Kenta Maeda","P","LAD","@ ARI",4.5,"Ray, L 1.96","R",7.07,0,0,4.7,9,1.36,NA,9000,17.1,10,11.99,11.99,"%",74,1.3,3.25,0.4
"Robbie Ray","P","ARI","vs LAD",4.5,"Maeda, R 7.07","L",1.96,0,0,6.1,11.8,1.2,NA,8600,25.6,24,12.92,12.92,"%",74,1.5,11.4,1.3
"Blake Snell","P","TB","vs HOU",4.31,"Morton, R 2.81","L",2.76,0,0,5.4,6.2,1.35,NA,8300,15.3,11.9,11.7,11.7,"%",85,1.4,8.45,1
"Jerad Eickhoff","P","PHI","vs ATL",3.57,"Garcia, L 4.67","R",3.2,0,0,6.6,8.2,1.02,NA,8300,25.1,18.1,17.2,17.2,"%",78,2.1,20.85,2.5
"Tyler Skaggs","P","LAA","vs TOR",3.99,"Lawrence, R 13.50","L",5.19,0,0,5.8,9.8,1.38,NA,8200,36.6,14,13.68,13.68,"%",18,1.7,18.35,2.2
"Jharel Cotton","P","OAK","vs SEA",3.77,"Miranda, L 3.06","R",5.4,0,0,5.6,6.9,1.38,NA,7800,39.3,11.2,14.51,14.51,"%",0,1.9,12.1,1.6
"Dan Straily","P","MIA","@ SD",3.83,"Weaver, R 4.24","R",4.61,0,0,4.6,6.5,1.32,NA,7800,37.4,9.8,13.21,13.21,"%",0,1.7,37.35,4.8
"Ian Kennedy","P","KC","@ TEX",4.53,"Martinez, R","R",2.37,0,0,6.3,9,1.05,NA,7500,34.2,19.6,11.51,11.51,"%",42,1.5,15.55,2.1
"Charlie Morton","P","HOU","@ TB",4.19,"Snell, L 2.76","R",2.81,0,0,5.3,7.3,1.38,NA,7400,13.5,13.9,9.67,9.67,"%",86,1.3,7.25,1
"Ariel Miranda","P","SEA","@ OAK",4.23,"Cotton, R 5.40","L",3.06,0,0,5.9,7.2,1.13,NA,7200,28.2,15.7,11.68,11.68,"%",48,1.6,0.55,0.1
"Jaime Garcia","P","ATL","@ PHI",3.94,"Eickhoff, R 3.20","L",4.67,0,0,5.8,4.2,1.44,NA,6800,19.9,7.3,9.46,9.46,"%",28,1.4,17.9,2.6
"Jered Weaver","P","SD","vs MIA",4.17,"Straily, R 4.61","R",4.24,0,0,5.7,5.2,1.06,NA,6400,24.7,10.3,11.64,11.64,"%",37,1.8,12.5,2
"Cody Reed","P","CIN","vs CHC",4.23,"Arrieta, R 2.89","L",0,0,0,2,9,0.5,NA,6300,16.2,8.9,8.63,8.63,"%",58,1.4,-8.3,NA
"Steven Wright","P","BOS","@ BAL",4.37,"Aquino, L","R",8.36,0,0,4.7,5.7,1.93,NA,6200,38.2,3.4,9.41,9.41,"%",0,1.5,-5.15,NA
"Matt Boyd","P","DET","@ MIN",4.56,"Mejia, L 4.05","L",3.77,0,0,4.8,6.9,1.47,NA,6100,38.4,12.6,10.32,10.32,"%",0,1.7,6.95,1.1
"Lance Lynn","P","STL","@ MIL",4.67,"Anderson, R 1.50","R",3.12,0,0,5.8,6.7,1.1,NA,6000,26.6,14.8,9.63,9.63,"%",43,1.6,26.5,4.4
"Adalberto Mejia","P","MIN","vs DET",4.44,"Boyd, L 3.77","L",4.05,0,0,3.3,5.5,1.65,NA,5800,26.3,4.9,9.96,9.96,"%",0,1.7,7.2,1.2
"Matt Moore","P","SF","@ COL",5.32,"Senzatela, R 2.37","L",4.26,0,0,6.3,6.1,1.37,NA,5800,29.7,12.9,8.81,8.81,"%",19,1.5,-1,NA
"Chase Anderson","P","MIL","vs STL",4.33,"Lynn, R 3.12","R",1.5,0,0,6,8,0.94,NA,5700,26.2,21.4,12.19,12.19,"%",67,2.1,20.7,3.6
"Mookie Betts","OF","BOS","@ BAL",4.13,"Aquino, L","R",0.316,0.364,0.123,0,0,0,3,5300,29.9,9,12.89,12.89,"%",53,2.4,0,NA
"Mike Trout","OF","LAA","vs TOR",5.01,"Lawrence, R 13.50","R",0.333,0.45,0.333,0,0,0,3,5200,25.9,10.9,14.54,14.54,"%",74,2.8,14,2.7
"Bryce Harper","OF","WSH","@ NYM",3.17,"deGrom, R 1.89","L",0.407,0.563,0.458,0,0,0,3,5200,35.9,14.9,9.67,9.67,"%",56,1.9,8,1.5
"Anthony Rizzo","1B","CHC","@ CIN",4.23,"Reed, L 0.00","L",0.286,0.383,0.159,0,0,0,3,5100,23.1,8.8,12.02,12.02,"%",69,2.4,29,5.7
"Kris Bryant","3B","CHC","@ CIN",4.23,"Reed, L 0.00","R",0.227,0.319,0.167,0,0,0,2,5100,28.9,8.8,11.89,11.89,"%",52,2.3,11,2.2
"Nolan Arenado","3B","COL","vs SF",5.32,"Moore, L 4.26","R",0.333,0.462,0.381,0,0,0,3,5100,33,10.5,15.13,15.13,"%",57,3,11,2.2
"Brian Dozier","2B","MIN","vs DET",4.56,"Boyd, L 3.77","R",0.226,0.283,0.129,0,0,0,1,5000,22.7,7.8,10.97,10.97,"%",62,2.2,10,2
"Kyle Schwarber","OF","CHC","@ CIN",4.23,"Reed, L 0.00","L",0.246,0.371,0.213,0,0,0,1,5000,23.1,8.4,11.11,11.11,"%",64,2.2,6,1.2
"Joey Votto","1B","CIN","vs CHC",3.27,"Arrieta, R 2.89","L",0.21,0.345,0.29,0,0,0,3,4900,21.8,8.2,8.24,8.24,"%",59,1.7,32,6.5
"Paul Goldschmidt","1B","ARI","vs LAD",4.5,"Maeda, R 7.07","R",0.254,0.377,0.175,0,0,0,3,4900,23.1,9.2,11.28,11.28,"%",68,2.3,11,2.2
"Ian Kinsler","2B","DET","@ MIN",4.44,"Mejia, L 4.05","R",0.2,0.353,0.2,0,0,0,1,4800,26.2,8,11.27,11.27,"%",53,2.3,5,1
"Jose Altuve","2B","HOU","@ TB",4.31,"Snell, L 2.76","R",0.303,0.335,0.061,0,0,0,3,4800,26.9,8.1,11.43,11.43,"%",52,2.4,23,4.8
"Ryan Braun","OF","MIL","vs STL",4.67,"Lynn, R 3.12","R",0.304,0.447,0.357,0,0,0,3,4800,29.1,11.7,11.87,11.87,"%",63,2.5,2,0.4
"Charlie Blackmon","OF","COL","vs SF",5.32,"Moore, L 4.26","L",0.239,0.318,0.239,0,0,0,1,4800,26.1,8.1,13.9,13.9,"%",62,2.9,26,5.4
"Manny Machado","3B","BAL","vs BOS",4.37,"Wright, R 8.36","R",0.2,0.298,0.2,0,0,0,3,4700,23.6,7,10.93,10.93,"%",55,2.3,3,0.6
"Xander Bogaerts","SS","BOS","@ BAL",4.13,"Aquino, L","R",0.333,0.331,0.021,0,0,0,1,4700,21.2,6.5,10.63,10.63,"%",60,2.3,5,1.1
"Carlos Correa","SS","HOU","@ TB",4.31,"Snell, L 2.76","R",0.212,0.275,0.058,0,0,0,4,4700,19,5.3,10.78,10.78,"%",61,2.3,0,NA
"Matt Carpenter","1B","STL","@ MIL",4.33,"Anderson, R 1.50","L",0.25,0.341,0.146,0,0,0,3,4700,20.5,6.4,10.47,10.47,"%",61,2.2,7,1.5
