"Mike Trout_LAA","Albert Pujols_LAA","Corey Seager_LAD","Kole Calhoun_LAA","Cameron Maybin_LAA","CJ Cron_LAA","Khris Davis_OAK","Luis Valbuena_LAA","Jefry Marte_LAA","Rajai Davis_OAK","Adrian Gonzalez_LAD","Hunter Pence_SF","Yasiel Puig_LAD","Buster Posey_SF","Logan Forsythe_LAD","Justin Turner_LAD","Joc Pederson_LAD","Trevor Plouffe_OAK","Yunel Escobar_LAA","Ben Revere_LAA","Brandon Belt_SF","Eduardo Nunez_SF","Ryon Healy_OAK","Marcus Semien_OAK","Andrelton Simmons_LAA","Yasmani Grandal_LAD","Chase Utley_LAD","Kike Hernandez_LAD","Franklin Gutierrez_LAD","Denard Span_SF","Danny Espinosa_LAA","Scott Van Slyke_LAD","Joe Panik_SF","Stephen Vogt_OAK","Cody Bellinger_LAD","Chris Taylor_LAD","Brandon Crawford_SF","Josh Phegley_OAK","Mark Canha_OAK","Trayce Thompson_LAD","Yonder Alonso_OAK","Austin Barnes_LAD","Jarrett Parker_SF","Andrew Toles_LAD","Jed Lowrie_OAK","Nick Hundley_SF","Rob Segedin_LAD","Jake Smolinski_OAK","Andre Ethier_LAD","Mac Williamson_SF","Martin Maldonado_LAA","Juan Graterol_LAA","Bruce Maxwell_OAK","Kelby Tomlinson_SF","Carlos Perez_LAA","Matt Joyce_OAK","Gorkys Hernandez_SF","Adam Rosales_OAK","Conor Gillaspie_SF","Cliff Pennington_LAA","Chad Pinder_OAK","Jaff Decker_OAK","Matt Olson_OAK","Tim Federowicz_SF","Aaron Hill_SF","Chris Marrero_SF","Brett Eibner_LAD"
18,17,0,17,13,11,0,0,9,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0
17,17,0,16,13,10,0,0,8,0,0,0,0,0,0,0,0,0,16,5,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0
0,0,17,0,0,0,0,0,0,0,15,0,17,0,11,15,10,0,0,0,0,0,0,0,0,14,6,0,3,0,0,3,0,0,0,0,0,0,0,2,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,16,0,17,12,10,0,0,8,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0
13,13,0,12,13,6,0,0,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10,0,10,6,11,0,0,3,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,16,0,0,12,0,0,0,0,0,0,0,15,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,11,0,0,0,5,4,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,3,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,0,8,7,3,0,0,9,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,11,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,8,0,0,0,4,4,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,2,2,0,0,0,0,0
0,0,15,0,0,0,0,0,0,0,15,0,15,0,9,13,10,0,0,0,0,0,0,0,0,12,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,18,0,12,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,11,0,0,16,0,0,0,16,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,4,8,0
0,0,17,0,0,0,0,0,0,0,15,0,18,0,11,16,11,0,0,0,0,0,0,0,0,14,6,0,3,0,0,4,0,0,0,2,0,0,0,2,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,7,0,0,11,0,0,0,13,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,6,0
0,0,11,0,0,0,0,0,0,0,9,0,11,0,11,10,6,0,0,0,0,0,0,0,0,8,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15,0,0,0,0,0,0,0,13,0,16,0,10,16,10,0,0,0,0,0,0,0,0,12,5,0,3,0,0,3,0,0,0,0,0,0,0,2,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,0,0,0,0,0,0,0,10,0,11,0,6,10,11,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,15,0,0,11,0,0,0,0,0,0,0,16,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,11,0,0,0,5,3,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,3,6,0,0,0,0,0
17,16,0,16,13,10,0,0,8,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,16,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6,5,0,6,0,5,0,0,2,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,17,0,13,0,0,0,0,0,0,18,17,0,0,0,0,0,0,0,11,0,0,16,0,0,0,16,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,4,9,0
0,0,0,0,0,0,0,0,0,0,0,17,0,13,0,0,0,0,0,0,17,18,0,0,0,0,0,0,0,11,0,0,16,0,0,0,16,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,4,9,0
