"Name","Completions.Rolling","Targets.Rolling","TDs.Rolling","Team","Pos","Target.Ptcg.Rolling","Rank.Completions","Rank.Targets","Rank.TDs"
"Fitzgerald, Larry",77,112,6,"ARI","WR",0.264775413711584,1,1,1
"Floyd, Michael",28,56,3,"ARI","WR",0.132387706855792,4,4,2
"Johnson, David",49,74,2,"ARI","RB",0.174940898345154,2,2,3
"Brown, John",30,59,1,"ARI","WR",0.139479905437352,3,3,5
"Gresham, Jermaine",17,27,1,"ARI","TE",0.0638297872340425,6,6,5
"Ellington, Andre",7,9,0,"ARI","RB",0.0212765957446809,9,9,8
"Nelson, J.J.",19,38,2,"ARI","WR",0.0898345153664303,5,5,3
"Brown, Jaron",11,21,1,"ARI","WR",0.049645390070922,7,7,5
"Tamme, Jacob",22,30,3,"ATL","TE",0.0852272727272727,4,4,2
"Sanu, Mohamed",41,63,3,"ATL","WR",0.178977272727273,2,2,2
"Jones, Julio",63,98,5,"ATL","WR",0.278409090909091,1,1,1
"Coleman, Tevin",19,24,1,"ATL","RB",0.0681818181818182,5,5,9
"Freeman, Devonta",33,41,2,"ATL","RB",0.116477272727273,3,3,4
"Hardy, Justin",10,13,2,"ATL","WR",0.0369318181818182,8,9,4
"DiMarco, Patrick",6,7,1,"ATL","FB",0.0198863636363636,11,11,9
"Hooper, Austin",16,21,2,"ATL","TE",0.0596590909090909,7,7,4
"Smith, Steve",45,65,3,"BAL","WR",0.155875299760192,3,3,2
"Wallace, Mike",49,86,4,"BAL","WR",0.206235011990408,2,1,1
"Pitta, Dennis",50,73,0,"BAL","TE",0.175059952038369,1,2,6
"Juszczyk, Kyle",25,34,0,"BAL","FB",0.0815347721822542,4,6,6
"Aiken, Kamar",21,38,0,"BAL","WR",0.0911270983213429,5,5,6
"West, Terrance",14,24,0,"BAL","RB",0.0575539568345324,7,7,6
"Moore, Chris",7,14,0,"BAL","WR",0.0335731414868106,10,8,6
"Perriman, Breshad",20,42,2,"BAL","WR",0.100719424460432,6,4,3
"Gillmore, Crockett",8,14,1,"BAL","TE",0.0335731414868106,9,8,4
"Watkins, Sammy",6,10,0,"BUF","WR",0.033112582781457,9,9,7
"Woods, Robert",43,64,1,"BUF","WR",0.211920529801325,1,1,3
"McCoy, LeSean",27,33,1,"BUF","RB",0.109271523178808,3,4,3
"Clay, Charles",36,57,0,"BUF","TE",0.188741721854305,2,2,7
"Gillislee, Mike",9,11,1,"BUF","RB",0.0364238410596026,6,8,3
"Bush, Reggie",9,12,0,"BUF","RB",0.0397350993377483,6,7,7
"Salas, Greg",4,6,1,"BUF","WR",0.0198675496688742,12,12,3
"OLeary, Nick",7,8,0,"BUF","TE",0.0264900662251656,8,10,7
"Benjamin, Kelvin",46,81,4,"CAR","WR",0.220108695652174,2,2,1
"Olsen, Greg",54,85,3,"CAR","TE",0.230978260869565,1,1,2
"Funchess, Devin",16,43,3,"CAR","WR",0.116847826086957,6,4,2
"Brown, Corey",20,39,1,"CAR","WR",0.105978260869565,5,5,5
"Stewart, Jonathan",5,12,0,"CAR","RB",0.0326086956521739,9,8,8
"Tolbert, Mike",6,9,0,"CAR","FB",0.0244565217391304,8,9,8
"Whittaker, Fozzy",23,29,1,"CAR","RB",0.078804347826087,4,6,5
"Ginn, Ted",33,52,2,"CAR","WR",0.141304347826087,3,3,4
"Jeffery, Alshon",41,74,1,"CHI","WR",0.207282913165266,2,1,4
"Royal, Eddie",34,44,2,"CHI","WR",0.123249299719888,3,4,2
"White, Kevin",20,37,0,"CHI","WR",0.103641456582633,6,5,6
"Langford, Jeremy",14,19,0,"CHI","RB",0.0532212885154062,7,7,6
"Miller, Zach",48,64,4,"CHI","TE",0.179271708683473,1,2,1
"Paulsen, Logan",3,8,0,"CHI","TE",0.0224089635854342,10,9,6
"Green, A.J.",68,108,4,"CIN","WR",0.294277929155313,1,1,1
"Uzomah, C.J.",17,29,0,"CIN","TE",0.0790190735694823,5,5,6
"LaFell, Brandon",33,57,4,"CIN","WR",0.155313351498638,3,2,1
"Bernard, Giovani",45,57,1,"CIN","RB",0.155313351498638,2,2,3
"Boyd, Tyler",33,50,1,"CIN","WR",0.136239782016349,3,4,3
"Wright, James",7,10,0,"CIN","WR",0.0272479564032698,9,9,6
"Pryor, Terrelle",58,102,4,"CLE","WR",0.255,1,1,1
"Johnson, Duke",44,61,1,"CLE","RB",0.1525,2,3,4
"Coleman, Corey",17,37,2,"CLE","WR",0.0925,6,5,3
"Hawkins, Andrew",25,43,3,"CLE","WR",0.1075,5,4,2
