"Name","Completions.Rolling","Targets.Rolling","TDs.Rolling","Team","Pos","Target.Ptcg.Rolling","Rank.Completions","Rank.Targets","Rank.TDs"
"Fitzgerald, Larry",106,153,6,"ARI","WR",0.279707495429616,1,1,1
"Johnson, David",81,119,4,"ARI","RB",0.217550274223035,2,2,3
"Brown, John",38,71,2,"ARI","WR",0.129798903107861,3,3,4
"Gresham, Jermaine",37,60,2,"ARI","TE",0.109689213893967,4,5,4
"Ellington, Andre",11,17,0,"ARI","RB",0.0310786106032907,7,8,8
"Brown, Jaron",11,21,1,"ARI","WR",0.0383912248628885,7,6,6
"Nelson, J.J.",31,64,6,"ARI","WR",0.117001828153565,5,4,1
"Tamme, Jacob",22,30,3,"ATL","TE",0.0587084148727984,6,7,3
"Sanu, Mohamed",57,82,3,"ATL","WR",0.160469667318982,2,2,3
"Jones, Julio",78,123,5,"ATL","WR",0.240704500978474,1,1,2
"Coleman, Tevin",30,38,2,"ATL","RB",0.0743639921722113,5,5,7
"Freeman, Devonta",51,62,2,"ATL","RB",0.12133072407045,3,3,7
"Hardy, Justin",18,25,3,"ATL","WR",0.0489236790606654,9,9,3
"DiMarco, Patrick",7,10,1,"ATL","FB",0.0195694716242661,11,11,11
"Hooper, Austin",20,29,3,"ATL","TE",0.0567514677103718,7,8,3
"Smith, Steve",69,100,5,"BAL","WR",0.160513643659711,2,3,1
"Wallace, Mike",69,114,4,"BAL","WR",0.182985553772071,2,1,2
"Pitta, Dennis",77,107,2,"BAL","TE",0.171749598715891,1,2,4
"Aiken, Kamar",29,51,1,"BAL","WR",0.0818619582664527,7,5,6
"Juszczyk, Kyle",38,51,0,"BAL","FB",0.0818619582664527,4,5,10
"West, Terrance",31,42,1,"BAL","RB",0.0674157303370786,5,7,6
"Moore, Chris",8,17,0,"BAL","WR",0.0272873194221509,10,9,10
"Perriman, Breshad",30,60,4,"BAL","WR",0.0963081861958267,6,4,2
"Gillmore, Crockett",8,14,1,"BAL","TE",0.0224719101123595,10,11,6
"Watkins, Sammy",23,42,2,"BUF","WR",0.0935412026726058,5,5,4
"Woods, Robert",49,77,1,"BUF","WR",0.171492204899777,3,2,5
"McCoy, LeSean",51,59,1,"BUF","RB",0.131403118040089,2,4,5
"Clay, Charles",57,86,4,"BUF","TE",0.191536748329621,1,1,1
"Gillislee, Mike",9,11,1,"BUF","RB",0.0244988864142539,7,10,5
"Bush, Reggie",9,12,0,"BUF","RB",0.0267260579064588,7,9,9
"OLeary, Nick",9,14,0,"BUF","TE",0.0311804008908686,7,8,9
"Salas, Greg",4,6,1,"BUF","WR",0.0133630289532294,13,13,5
"Benjamin, Kelvin",57,111,6,"CAR","WR",0.207089552238806,2,2,1
"Olsen, Greg",78,129,3,"CAR","TE",0.240671641791045,1,1,4
"Funchess, Devin",23,63,4,"CAR","WR",0.117537313432836,6,4,3
"Stewart, Jonathan",9,23,0,"CAR","RB",0.042910447761194,9,7,9
"Brown, Corey",25,50,1,"CAR","WR",0.0932835820895522,4,5,5
"Whittaker, Fozzy",25,33,1,"CAR","RB",0.0615671641791045,4,6,5
"Tolbert, Mike",11,14,1,"CAR","FB",0.0261194029850746,7,9,5
"Ginn, Ted",51,88,5,"CAR","WR",0.164179104477612,3,3,2
"Jeffery, Alshon",52,90,2,"CHI","WR",0.163934426229508,2,2,3
"Royal, Eddie",35,45,2,"CHI","WR",0.0819672131147541,4,5,3
"White, Kevin",20,37,0,"CHI","WR",0.0673952641165756,7,8,10
"Langford, Jeremy",17,25,0,"CHI","RB",0.0455373406193078,9,9,10
"Miller, Zach",48,64,4,"CHI","TE",0.116575591985428,3,3,1
"Paulsen, Logan",4,10,0,"CHI","TE",0.0182149362477231,13,12,10
"Green, A.J.",68,108,4,"CIN","WR",0.200743494423792,1,1,3
"Uzomah, C.J.",22,35,0,"CIN","TE",0.0650557620817844,6,6,6
"LaFell, Brandon",57,101,6,"CIN","WR",0.187732342007435,2,2,1
"Bernard, Giovani",45,57,1,"CIN","RB",0.105947955390335,4,4,4
"Boyd, Tyler",53,77,1,"CIN","WR",0.143122676579926,3,3,4
"Wright, James",14,21,0,"CIN","WR",0.0390334572490706,9,9,6
"Pryor, Terrelle",73,133,4,"CLE","WR",0.251417769376181,1,1,1
"Johnson, Duke",55,77,1,"CLE","RB",0.145557655954631,2,3,4
"Coleman, Corey",28,65,3,"CLE","WR",0.122873345935728,5,4,2
"Hawkins, Andrew",28,52,3,"CLE","WR",0.0982986767485822,5,5,2
"Crowell, Isaiah",39,51,0,"CLE","RB",0.0964083175803403,4,6,8
"Barnidge, Gary",52,80,1,"CLE","TE",0.151228733459357,3,2,4
"Witten, Jason",69,96,3,"DAL","TE",0.205567451820128,2,3,4
"Beasley, Cole",73,100,5,"DAL","WR",0.214132762312634,1,1,2
"Bryant, Dez",52,98,9,"DAL","WR",0.209850107066381,3,2,1
"Williams, Terrance",41,59,3,"DAL","WR",0.126338329764454,4,4,4
"Butler, Brice",16,30,4,"DAL","WR",0.0642398286937901,6,6,3
"Dunbar, Lance",14,19,1,"DAL","RB",0.0406852248394004,7,7,6
"Elliott, Ezekiel",32,40,1,"DAL","RB",0.0856531049250535,5,5,6
"Swaim, Geoff",6,9,0,"DAL","TE",0.019271948608137,8,8,9
"Morris, Alfred",2,4,0,"DAL","RB",0.00856531049250535,12,9,9
"Thomas, Demaryius",89,152,5,"DEN","WR",0.281481481481481,1,1,1
"Sanders, Emmanuel",80,140,5,"DEN","WR",0.259259259259259,2,2,1
"Green, Virgil",19,33,0,"DEN","TE",0.0611111111111111,5,5,8
"Anderson, C.J.",17,25,2,"DEN","RB",0.0462962962962963,6,6,3
"Bibbs, Kapri",2,4,1,"DEN","RB",0.00740740740740741,14,14,6
"Norwood, Jordan",22,34,1,"DEN","WR",0.062962962962963,4,4,6
"Jones, Marvin",50,107,4,"DET","WR",0.190391459074733,5,2,3
"Tate, Golden",85,131,4,"DET","WR",0.233096085409253,1,1,3
"Riddick, Theo",55,69,5,"DET","RB",0.122775800711744,4,5,2
"Ebron, Eric",57,81,2,"DET","TE",0.144128113879004,3,4,5
"Abdullah, Ameer",5,5,1,"DET","RB",0.00889679715302491,9,10,6
"Boldin, Anquan",66,93,8,"DET","WR",0.165480427046263,2,3,1
"Roberts, Andre",14,25,1,"DET","WR",0.0444839857651246,6,6,6
"Wick, Cole",2,3,0,"DET","TE",0.00533807829181495,12,11,8
"Cobb, Randall",62,89,5,"GB","WR",0.150337837837838,3,3,3
"Nelson, Jordy",94,153,14,"GB","WR",0.258445945945946,1,1,1
"Adams, Davante",71,117,10,"GB","WR",0.197635135135135,2,2,2
"Rodgers, Richard",29,46,2,"GB","TE",0.0777027027027027,5,5,4
"Cook, Jared",26,45,1,"GB","TE",0.0760135135135135,6,6,6
"Lacy, Eddie",4,7,0,"GB","RB",0.0118243243243243,11,12,11
"Abbrederis, Jared",1,2,0,"GB","WR",0.00337837837837838,13,13,11
"Starks, James",19,25,2,"GB","RB",0.0422297297297297,7,7,4
"Montgomery, Ty",43,53,1,"GB","RB",0.089527027027027,4,4,6
"Fuller, Will",44,86,2,"HOU","WR",0.156648451730419,4,2,3
"Hopkins, DeAndre",72,149,4,"HOU","WR",0.271402550091075,1,1,1
"Miller, Lamar",32,40,1,"HOU","RB",0.0728597449908925,5,5,5
"Anderson, Stephen",11,17,1,"HOU","TE",0.0309653916211293,8,8,5
"Miller, Braxton",16,28,1,"HOU","WR",0.0510018214936248,6,6,5
"Griffin, Ryan",51,73,2,"HOU","TE",0.132969034608379,3,4,3
"Ervin, Tyler",3,5,0,"HOU","RB",0.00910746812386157,12,12,8
"Fiedorowicz, C.J.",53,82,3,"HOU","TE",0.14936247723133,2,3,2
"Hilton, T.Y.",89,152,7,"IND","WR",0.271914132379249,1,1,2
"Moncrief, Donte",31,56,8,"IND","WR",0.100178890876565,5,3,1
"Dorsett, Phillip",29,56,2,"IND","WR",0.100178890876565,6,3,6
"Gore, Frank",38,50,4,"IND","RB",0.0894454382826476,3,6,4
"Allen, Dwayne",33,51,5,"IND","TE",0.0912343470483005,4,5,3
"Doyle, Jack",60,72,4,"IND","TE",0.128801431127013,2,2,4
"Ferguson, Josh",20,26,0,"IND","RB",0.0465116279069767,8,9,9
"Turbin, Robert",24,31,1,"IND","RB",0.0554561717352415,7,7,7
"Robinson, Allen",68,147,6,"JAX","WR",0.242574257425743,1,1,1
"Yeldon, T.J.",52,71,1,"JAX","RB",0.117161716171617,3,4,6
"Thomas, Julius",32,54,4,"JAX","TE",0.0891089108910891,5,5,2
"Hurns, Allen",35,78,3,"JAX","WR",0.128712871287129,4,3,3
"Lee, Marqise",60,101,3,"JAX","WR",0.166666666666667,2,2,3
"Lewis, Marcedes",20,30,1,"JAX","TE",0.0495049504950495,6,6,6
"Greene, Rashad",5,7,0,"JAX","WR",0.0115511551155116,11,12,11
"Ware, Spencer",34,43,2,"KC","RB",0.0828516377649326,5,6,3
"Kelce, Travis",84,119,4,"KC","TE",0.229287090558767,1,1,2
"Conley, Chris",40,68,0,"KC","WR",0.13102119460501,3,4,7
"West, Charcandrick",24,31,0,"KC","RB",0.0597302504816956,7,7,7
"Maclin, Jeremy",40,69,2,"KC","WR",0.132947976878613,3,3,3
"Wilson, Albert",30,50,2,"KC","WR",0.0963391136801541,6,5,3
"Harris, Demetrius",17,30,1,"KC","TE",0.0578034682080925,8,8,6
"Hill, Tyreek",57,76,6,"KC","WR",0.146435452793834,2,2,1
"Travis, Ross",3,6,0,"KC","TE",0.0115606936416185,10,10,7
"Smith, Alex",1,2,0,"KC","QB",0.00385356454720617,15,15,7
"Landry, Jarvis",89,121,3,"MIA","WR",0.276255707762557,1,1,4
"Foster, Arian",6,10,0,"MIA","RB",0.0228310502283105,11,10,10
"Stills, Kenny",40,72,8,"MIA","WR",0.164383561643836,3,3,1
"Cameron, Jordan",8,11,1,"MIA","TE",0.0251141552511416,9,9,7
"Carroo, Leonte",3,5,1,"MIA","WR",0.0114155251141553,12,12,7
