"Name","Completions.Rolling","Targets.Rolling","TDs.Rolling","Team","Pos","Target.Ptcg.Rolling","Rank.Completions","Rank.Targets","Rank.TDs"
"Fitzgerald, Larry",92,129,6,"ARI","WR",0.289887640449438,1,1,1
"Johnson, David",67,98,4,"ARI","RB",0.220224719101124,2,2,2
"Brown, John",32,63,1,"ARI","WR",0.141573033707865,3,3,5
"Gresham, Jermaine",27,43,2,"ARI","TE",0.0966292134831461,4,5,4
"Ellington, Andre",10,16,0,"ARI","RB",0.0359550561797753,8,7,7
"Nelson, J.J.",22,44,3,"ARI","WR",0.098876404494382,5,4,3
"Brown, Jaron",11,21,1,"ARI","WR",0.0471910112359551,7,6,5
"Tamme, Jacob",22,30,3,"ATL","TE",0.0710900473933649,6,5,3
"Sanu, Mohamed",51,75,3,"ATL","WR",0.177725118483412,2,2,3
"Jones, Julio",74,115,5,"ATL","WR",0.272511848341232,1,1,1
"Coleman, Tevin",23,30,1,"ATL","RB",0.0710900473933649,5,5,10
"Freeman, Devonta",39,49,2,"ATL","RB",0.116113744075829,3,3,5
"Hardy, Justin",14,20,2,"ATL","WR",0.0473933649289099,8,8,5
"DiMarco, Patrick",6,8,1,"ATL","FB",0.018957345971564,11,11,10
"Hooper, Austin",18,25,2,"ATL","TE",0.0592417061611374,7,7,5
"Smith, Steve",56,80,3,"BAL","WR",0.160320641282565,3,3,3
"Wallace, Mike",58,96,4,"BAL","WR",0.192384769539078,2,1,1
"Pitta, Dennis",63,89,2,"BAL","TE",0.178356713426854,1,2,4
"Aiken, Kamar",26,43,0,"BAL","WR",0.0861723446893788,5,5,8
"Juszczyk, Kyle",29,40,0,"BAL","FB",0.0801603206412826,4,6,8
"West, Terrance",20,31,1,"BAL","RB",0.062124248496994,7,7,5
"Moore, Chris",7,16,0,"BAL","WR",0.032064128256513,10,9,8
"Perriman, Breshad",24,49,4,"BAL","WR",0.0981963927855711,6,4,1
"Gillmore, Crockett",8,14,1,"BAL","TE",0.0280561122244489,9,10,5
"Watkins, Sammy",12,22,0,"BUF","WR",0.061624649859944,6,6,7
"Woods, Robert",43,64,1,"BUF","WR",0.179271708683473,1,1,3
"McCoy, LeSean",36,42,1,"BUF","RB",0.117647058823529,3,4,3
"Clay, Charles",38,62,0,"BUF","TE",0.173669467787115,2,2,7
"Gillislee, Mike",9,11,1,"BUF","RB",0.030812324929972,7,10,3
"Bush, Reggie",9,12,0,"BUF","RB",0.0336134453781513,7,8,7
"Salas, Greg",4,6,1,"BUF","WR",0.0168067226890756,12,12,3
"OLeary, Nick",8,12,0,"BUF","TE",0.0336134453781513,9,8,7
"Benjamin, Kelvin",50,96,5,"CAR","WR",0.222222222222222,2,2,1
"Olsen, Greg",62,100,3,"CAR","TE",0.231481481481481,1,1,3
"Funchess, Devin",20,50,3,"CAR","WR",0.115740740740741,5,4,3
"Brown, Corey",20,41,1,"CAR","WR",0.0949074074074074,5,5,5
"Stewart, Jonathan",7,16,0,"CAR","RB",0.037037037037037,9,7,8
"Tolbert, Mike",8,11,0,"CAR","FB",0.025462962962963,8,9,8
"Whittaker, Fozzy",23,30,1,"CAR","RB",0.0694444444444444,4,6,5
"Ginn, Ted",42,68,4,"CAR","WR",0.157407407407407,3,3,2
"Jeffery, Alshon",41,74,1,"CHI","WR",0.170506912442396,2,1,4
"Royal, Eddie",35,45,2,"CHI","WR",0.1036866359447,4,4,2
"White, Kevin",20,37,0,"CHI","WR",0.0852534562211982,6,6,9
"Langford, Jeremy",14,21,0,"CHI","RB",0.0483870967741935,7,8,9
"Miller, Zach",48,64,4,"CHI","TE",0.147465437788018,1,3,1
"Paulsen, Logan",4,10,0,"CHI","TE",0.0230414746543779,13,11,9
"Green, A.J.",68,108,4,"CIN","WR",0.241610738255034,1,1,2
"Uzomah, C.J.",17,29,0,"CIN","TE",0.0648769574944072,7,6,6
"LaFell, Brandon",41,75,5,"CIN","WR",0.167785234899329,4,2,1
"Bernard, Giovani",45,57,1,"CIN","RB",0.12751677852349,2,4,4
"Boyd, Tyler",43,66,1,"CIN","WR",0.147651006711409,3,3,4
"Wright, James",12,19,0,"CIN","WR",0.0425055928411633,8,8,6
"Pryor, Terrelle",64,115,4,"CLE","WR",0.261958997722096,1,1,1
"Johnson, Duke",47,66,1,"CLE","RB",0.150341685649203,2,2,4
"Coleman, Corey",20,45,3,"CLE","WR",0.10250569476082,6,5,2
"Hawkins, Andrew",25,46,3,"CLE","WR",0.104783599088838,5,4,2
"Crowell, Isaiah",33,41,0,"CLE","RB",0.0933940774487472,4,6,8
"Barnidge, Gary",42,66,1,"CLE","TE",0.150341685649203,3,2,4
"Witten, Jason",53,75,2,"DAL","TE",0.203252032520325,2,2,4
"Beasley, Cole",60,81,5,"DAL","WR",0.219512195121951,1,1,2
"Bryant, Dez",37,73,7,"DAL","WR",0.197831978319783,3,3,1
"Williams, Terrance",29,45,2,"DAL","WR",0.121951219512195,4,4,4
"Elliott, Ezekiel",28,34,1,"DAL","RB",0.0921409214092141,5,5,6
"Dunbar, Lance",8,11,0,"DAL","RB",0.029810298102981,7,7,8
"Butler, Brice",14,27,3,"DAL","WR",0.0731707317073171,6,6,3
"Swaim, Geoff",6,9,0,"DAL","TE",0.024390243902439,8,8,8
"Morris, Alfred",2,4,0,"DAL","RB",0.010840108401084,12,9,8
"Thomas, Demaryius",68,115,5,"DEN","WR",0.281862745098039,1,2,1
"Sanders, Emmanuel",64,117,4,"DEN","WR",0.286764705882353,2,1,2
"Green, Virgil",18,29,0,"DEN","TE",0.071078431372549,5,4,8
"Anderson, C.J.",17,25,2,"DEN","RB",0.0612745098039216,6,6,3
"Bibbs, Kapri",2,4,1,"DEN","RB",0.00980392156862745,12,12,6
"Norwood, Jordan",20,32,1,"DEN","WR",0.0784313725490196,3,3,6
"Jones, Marvin",42,87,4,"DET","WR",0.19683257918552,4,2,3
"Tate, Golden",65,100,4,"DET","WR",0.226244343891403,1,1,3
"Ebron, Eric",41,56,2,"DET","TE",0.126696832579186,5,5,5
"Riddick, Theo",55,69,5,"DET","RB",0.156108597285068,2,4,2
"Abdullah, Ameer",5,5,1,"DET","RB",0.0113122171945701,9,9,6
"Boldin, Anquan",55,77,7,"DET","WR",0.17420814479638,2,3,1
"Wick, Cole",2,3,0,"DET","TE",0.00678733031674208,12,11,8
"Roberts, Andre",13,21,1,"DET","WR",0.0475113122171946,6,6,6
"Cobb, Randall",59,85,5,"GB","WR",0.171370967741935,3,3,3
"Nelson, Jordy",71,123,10,"GB","WR",0.247983870967742,1,1,1
"Adams, Davante",61,98,8,"GB","WR",0.19758064516129,2,2,2
"Rodgers, Richard",25,41,1,"GB","TE",0.0826612903225806,5,4,5
"Cook, Jared",16,30,1,"GB","TE",0.0604838709677419,7,6,5
"Lacy, Eddie",4,7,0,"GB","RB",0.0141129032258065,10,12,11
"Abbrederis, Jared",1,2,0,"GB","WR",0.00403225806451613,13,13,11
"Starks, James",19,25,2,"GB","RB",0.0504032258064516,6,7,4
"Montgomery, Ty",34,41,1,"GB","RB",0.0826612903225806,4,4,5
"Fuller, Will",35,67,2,"HOU","WR",0.152619589977221,4,3,3
"Hopkins, DeAndre",58,117,4,"HOU","WR",0.266514806378132,1,1,1
"Miller, Lamar",29,37,1,"HOU","RB",0.0842824601366743,5,5,5
"Anderson, Stephen",10,14,1,"HOU","TE",0.0318906605922551,8,8,5
"Miller, Braxton",16,28,1,"HOU","WR",0.0637813211845103,6,6,5
"Griffin, Ryan",40,59,2,"HOU","TE",0.134396355353075,3,4,3
"Ervin, Tyler",3,5,0,"HOU","RB",0.0113895216400911,10,11,8
"Fiedorowicz, C.J.",45,68,3,"HOU","TE",0.154897494305239,2,2,2
"Hilton, T.Y.",73,124,6,"IND","WR",0.271929824561404,1,1,2
"Moncrief, Donte",29,49,7,"IND","WR",0.107456140350877,4,3,1
"Gore, Frank",31,41,3,"IND","RB",0.0899122807017544,3,6,5
"Dorsett, Phillip",24,45,1,"IND","WR",0.0986842105263158,6,4,6
"Allen, Dwayne",28,43,5,"IND","TE",0.0942982456140351,5,5,3
"Doyle, Jack",46,56,4,"IND","TE",0.12280701754386,2,2,4
"Ferguson, Josh",20,26,0,"IND","RB",0.0570175438596491,7,7,7
"Turbin, Robert",16,20,0,"IND","RB",0.043859649122807,8,9,7
"Robinson, Allen",56,121,6,"JAX","WR",0.244444444444444,1,1,1
"Yeldon, T.J.",39,54,1,"JAX","RB",0.109090909090909,3,4,5
"Thomas, Julius",32,54,4,"JAX","TE",0.109090909090909,5,4,2
