"Name","Completions.Rolling","Targets.Rolling","TDs.Rolling","Team","Pos","Target.Ptcg.Rolling","Rank.Completions","Rank.Targets","Rank.TDs"
"Fitzgerald, Larry",13,20,4,"ARI","WR",0.27027027027027,1,1,1
"Floyd, Michael",5,14,1,"ARI","WR",0.189189189189189,3,2,2
"Johnson, David",7,11,0,"ARI","RB",0.148648648648649,2,3,4
"Brown, John",2,8,0,"ARI","WR",0.108108108108108,8,4,4
"Gresham, Jermaine",4,5,0,"ARI","TE",0.0675675675675676,4,6,4
"Ellington, Andre",3,3,0,"ARI","RB",0.0405405405405405,6,8,4
"Nelson, J.J.",1,2,0,"ARI","WR",0.027027027027027,9,9,4
"Brown, Jaron",3,4,1,"ARI","WR",0.0540540540540541,6,7,2
"Tamme, Jacob",11,15,1,"ATL","TE",0.208333333333333,1,1,2
"Sanu, Mohamed",8,14,1,"ATL","WR",0.194444444444444,3,2,2
"Jones, Julio",9,13,2,"ATL","WR",0.180555555555556,2,3,1
"Coleman, Tevin",7,8,0,"ATL","RB",0.111111111111111,4,4,5
"Freeman, Devonta",4,4,0,"ATL","RB",0.0555555555555556,5,6,5
"Hardy, Justin",2,5,1,"ATL","WR",0.0694444444444444,8,5,2
"DiMarco, Patrick",1,1,0,"ATL","FB",0.0138888888888889,11,11,5
"Hooper, Austin",4,4,0,"ATL","TE",0.0555555555555556,5,6,5
"Smith, Steve",8,14,0,"BAL","WR",0.194444444444444,2,2,2
"Wallace, Mike",8,13,3,"BAL","WR",0.180555555555556,2,3,1
"Pitta, Dennis",12,16,0,"BAL","TE",0.222222222222222,1,1,2
"Juszczyk, Kyle",3,5,0,"BAL","FB",0.0694444444444444,4,5,2
"Aiken, Kamar",2,4,0,"BAL","WR",0.0555555555555556,8,8,2
"West, Terrance",3,5,0,"BAL","RB",0.0694444444444444,4,5,2
"Moore, Chris",3,5,0,"BAL","WR",0.0694444444444444,4,5,2
"Perriman, Breshad",3,6,0,"BAL","WR",0.0833333333333333,4,4,2
"Gillmore, Crockett",2,4,0,"BAL","TE",0.0555555555555556,8,8,2
"Watkins, Sammy",6,10,0,"BUF","WR",0.192307692307692,2,1,4
"Woods, Robert",5,7,0,"BUF","WR",0.134615384615385,4,4,4
"McCoy, LeSean",8,9,0,"BUF","RB",0.173076923076923,1,3,4
"Clay, Charles",6,10,0,"BUF","TE",0.192307692307692,2,1,4
"Gillislee, Mike",3,3,1,"BUF","RB",0.0576923076923077,6,7,1
"Bush, Reggie",0,1,0,"BUF","RB",0.0192307692307692,8,8,4
"Salas, Greg",4,6,1,"BUF","WR",0.115384615384615,5,5,1
"OLeary, Nick",0,1,0,"BUF","TE",0.0192307692307692,8,8,4
"Benjamin, Kelvin",13,21,3,"CAR","WR",0.283783783783784,1,1,1
"Olsen, Greg",12,18,1,"CAR","TE",0.243243243243243,2,2,2
"Funchess, Devin",3,8,1,"CAR","WR",0.108108108108108,5,3,2
"Stewart, Jonathan",3,4,0,"CAR","RB",0.0540540540540541,5,7,5
"Brown, Corey",4,8,0,"CAR","WR",0.108108108108108,3,3,5
"Whittaker, Fozzy",4,5,0,"CAR","RB",0.0675675675675676,3,6,5
"Ginn, Ted",3,6,1,"CAR","WR",0.0810810810810811,5,5,2
"Tolbert, Mike",2,3,0,"CAR","FB",0.0405405405405405,8,8,5
"Jeffery, Alshon",9,14,0,"CHI","WR",0.23728813559322,1,1,2
"Royal, Eddie",8,12,1,"CHI","WR",0.203389830508475,2,3,1
"White, Kevin",7,13,0,"CHI","WR",0.220338983050847,3,2,2
