"Name","Completions.Rolling","Targets.Rolling","TDs.Rolling","Team","Pos","Target.Ptcg.Rolling","Rank.Completions","Rank.Targets","Rank.TDs"
"Fitzgerald, Larry",71,103,6,"ARI","WR",0.268229166666667,1,1,1
"Floyd, Michael",26,51,3,"ARI","WR",0.1328125,4,4,2
"Johnson, David",42,63,1,"ARI","RB",0.1640625,2,2,4
"Brown, John",30,55,1,"ARI","WR",0.143229166666667,3,3,4
"Gresham, Jermaine",15,25,0,"ARI","TE",0.0651041666666667,6,6,7
"Ellington, Andre",6,7,0,"ARI","RB",0.0182291666666667,9,9,7
"Nelson, J.J.",18,33,2,"ARI","WR",0.0859375,5,5,3
"Brown, Jaron",11,21,1,"ARI","WR",0.0546875,7,7,4
"Tamme, Jacob",22,30,3,"ATL","TE",0.0852272727272727,4,4,2
"Sanu, Mohamed",41,63,3,"ATL","WR",0.178977272727273,2,2,2
"Jones, Julio",63,98,5,"ATL","WR",0.278409090909091,1,1,1
"Coleman, Tevin",19,24,1,"ATL","RB",0.0681818181818182,5,5,9
"Freeman, Devonta",33,41,2,"ATL","RB",0.116477272727273,3,3,4
"Hardy, Justin",10,13,2,"ATL","WR",0.0369318181818182,8,9,4
"DiMarco, Patrick",6,7,1,"ATL","FB",0.0198863636363636,11,11,9
"Hooper, Austin",16,21,2,"ATL","TE",0.0596590909090909,7,7,4
"Smith, Steve",37,56,2,"BAL","WR",0.147368421052632,3,3,2
"Wallace, Mike",44,75,4,"BAL","WR",0.197368421052632,2,1,1
"Pitta, Dennis",47,68,0,"BAL","TE",0.178947368421053,1,2,6
"Juszczyk, Kyle",21,30,0,"BAL","FB",0.0789473684210526,4,6,6
"Aiken, Kamar",18,33,0,"BAL","WR",0.0868421052631579,6,5,6
"West, Terrance",13,22,0,"BAL","RB",0.0578947368421053,7,7,6
"Moore, Chris",7,14,0,"BAL","WR",0.0368421052631579,10,8,6
"Perriman, Breshad",20,42,2,"BAL","WR",0.110526315789474,5,4,2
"Gillmore, Crockett",8,14,1,"BAL","TE",0.0368421052631579,9,8,4
"Watkins, Sammy",6,10,0,"BUF","WR",0.036231884057971,9,7,7
"Woods, Robert",40,61,1,"BUF","WR",0.221014492753623,1,1,3
"McCoy, LeSean",25,30,1,"BUF","RB",0.108695652173913,3,4,3
"Clay, Charles",31,50,0,"BUF","TE",0.181159420289855,2,2,7
"Gillislee, Mike",9,10,1,"BUF","RB",0.036231884057971,6,7,3
"Bush, Reggie",7,10,0,"BUF","RB",0.036231884057971,7,7,7
"Salas, Greg",4,6,1,"BUF","WR",0.0217391304347826,11,11,3
"OLeary, Nick",7,8,0,"BUF","TE",0.0289855072463768,7,10,7
"Benjamin, Kelvin",43,77,4,"CAR","WR",0.229166666666667,2,2,1
"Olsen, Greg",50,78,3,"CAR","TE",0.232142857142857,1,1,2
"Funchess, Devin",14,36,3,"CAR","WR",0.107142857142857,6,4,2
"Brown, Corey",20,36,1,"CAR","WR",0.107142857142857,5,4,4
"Stewart, Jonathan",4,8,0,"CAR","RB",0.0238095238095238,9,8,8
"Tolbert, Mike",5,7,0,"CAR","FB",0.0208333333333333,8,9,8
"Whittaker, Fozzy",23,29,1,"CAR","RB",0.0863095238095238,4,6,4
"Ginn, Ted",31,48,1,"CAR","WR",0.142857142857143,3,3,4
"Jeffery, Alshon",41,74,1,"CHI","WR",0.227692307692308,2,1,4
"Royal, Eddie",32,41,2,"CHI","WR",0.126153846153846,3,4,2
"White, Kevin",20,37,0,"CHI","WR",0.113846153846154,5,5,6
"Langford, Jeremy",11,16,0,"CHI","RB",0.0492307692307692,7,7,6
"Miller, Zach",45,61,3,"CHI","TE",0.187692307692308,1,2,1
"Paulsen, Logan",3,7,0,"CHI","TE",0.0215384615384615,10,9,6
"Green, A.J.",61,95,3,"CIN","WR",0.317725752508361,1,1,2
"Uzomah, C.J.",17,29,0,"CIN","TE",0.096989966555184,5,5,5
"LaFell, Brandon",28,47,4,"CIN","WR",0.157190635451505,3,2,1
"Bernard, Giovani",36,43,1,"CIN","RB",0.1438127090301,2,3,3
"Boyd, Tyler",25,38,0,"CIN","WR",0.127090301003344,4,4,5
"Wright, James",4,6,0,"CIN","WR",0.020066889632107,9,9,5
"Pryor, Terrelle",53,92,4,"CLE","WR",0.257703081232493,1,1,1
"Johnson, Duke",40,55,0,"CLE","RB",0.15406162464986,2,3,6
"Coleman, Corey",13,25,2,"CLE","WR",0.0700280112044818,7,7,3
"Hawkins, Andrew",24,42,3,"CLE","WR",0.117647058823529,4,4,2
"Johnson, Malcolm",5,7,0,"CLE","FB",0.0196078431372549,8,8,6
"Crowell, Isaiah",22,29,0,"CLE","RB",0.0812324929971989,5,6,6
"Barnidge, Gary",38,56,0,"CLE","TE",0.156862745098039,3,2,6
"Witten, Jason",44,64,2,"DAL","TE",0.221453287197232,2,2,4
"Beasley, Cole",48,65,4,"DAL","WR",0.224913494809689,1,1,1
"Bryant, Dez",22,52,4,"DAL","WR",0.179930795847751,4,3,1
"Williams, Terrance",25,37,1,"DAL","WR",0.1280276816609,3,4,5
"Elliott, Ezekiel",18,22,1,"DAL","RB",0.0761245674740484,5,6,5
"Dunbar, Lance",5,7,0,"DAL","RB",0.0242214532871972,8,8,8
"Butler, Brice",12,23,3,"DAL","WR",0.0795847750865052,6,5,3
"Swaim, Geoff",6,9,0,"DAL","TE",0.0311418685121107,7,7,8
"Morris, Alfred",2,4,0,"DAL","RB",0.013840830449827,10,9,8
"Thomas, Demaryius",57,96,5,"DEN","WR",0.275862068965517,1,1,1
"Sanders, Emmanuel",54,95,3,"DEN","WR",0.272988505747126,2,2,2
"Anderson, C.J.",17,25,2,"DEN","RB",0.0718390804597701,5,5,3
"Green, Virgil",18,28,0,"DEN","TE",0.0804597701149425,4,4,8
"Bibbs, Kapri",2,4,1,"DEN","RB",0.0114942528735632,11,11,4
"Norwood, Jordan",20,30,1,"DEN","WR",0.0862068965517241,3,3,4
"Jones, Marvin",37,74,4,"DET","WR",0.22289156626506,3,2,2
"Tate, Golden",49,79,3,"DET","WR",0.237951807228916,1,1,4
"Abdullah, Ameer",5,5,1,"DET","RB",0.0150602409638554,8,8,6
"Riddick, Theo",37,48,4,"DET","RB",0.144578313253012,3,4,2
"Ebron, Eric",34,44,2,"DET","TE",0.132530120481928,5,5,5
"Boldin, Anquan",38,52,6,"DET","WR",0.156626506024096,2,3,1
"Roberts, Andre",6,9,1,"DET","WR",0.0271084337349398,6,6,6
"Wick, Cole",2,3,0,"DET","TE",0.00903614457831325,10,9,8
"Cobb, Randall",47,69,4,"GB","WR",0.178756476683938,3,3,3
"Nelson, Jordy",51,94,8,"GB","WR",0.243523316062176,2,1,1
"Adams, Davante",52,79,6,"GB","WR",0.204663212435233,1,2,2
"Rodgers, Richard",19,34,1,"GB","TE",0.0880829015544041,5,4,4
"Cook, Jared",6,12,0,"GB","TE",0.0310880829015544,8,8,9
"Lacy, Eddie",4,7,0,"GB","RB",0.0181347150259067,10,10,9
"Starks, James",9,14,1,"GB","RB",0.0362694300518135,6,7,4
"Abbrederis, Jared",1,2,0,"GB","WR",0.00518134715025907,14,14,9
"Montgomery, Ty",26,32,0,"GB","WR",0.0829015544041451,4,5,9
"Fuller, Will",25,51,2,"HOU","WR",0.156441717791411,4,2,3
"Hopkins, DeAndre",45,90,3,"HOU","WR",0.276073619631902,1,1,1
"Miller, Lamar",23,29,1,"HOU","RB",0.0889570552147239,5,5,4
"Anderson, Stephen",8,11,1,"HOU","TE",0.0337423312883436,8,8,4
"Miller, Braxton",9,15,0,"HOU","WR",0.0460122699386503,7,7,7
"Griffin, Ryan",28,43,1,"HOU","TE",0.131901840490798,3,4,4
"Ervin, Tyler",3,5,0,"HOU","RB",0.0153374233128834,10,10,7
"Fiedorowicz, C.J.",29,44,3,"HOU","TE",0.134969325153374,2,3,1
"Hilton, T.Y.",56,100,5,"IND","WR",0.277777777777778,1,1,1
"Moncrief, Donte",15,25,4,"IND","WR",0.0694444444444444,7,7,2
"Allen, Dwayne",19,31,2,"IND","TE",0.0861111111111111,6,5,5
"Dorsett, Phillip",20,34,1,"IND","WR",0.0944444444444444,4,3,6
"Gore, Frank",26,34,3,"IND","RB",0.0944444444444444,3,3,4
"Doyle, Jack",39,48,4,"IND","TE",0.133333333333333,2,2,2
"Turbin, Robert",14,17,0,"IND","RB",0.0472222222222222,8,9,7
"Ferguson, Josh",20,26,0,"IND","RB",0.0722222222222222,4,6,7
"Robinson, Allen",48,98,5,"JAX","WR",0.25,1,1,1
