"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11"
"WR","Jordan Matthews (0000000)","Jordan Matthews",0,5000,"GB@Phi 00:00PM ET","Phi","Jordan","Matthews","GB",14.99,18.4,1,0.247159090909091,1,27.4,13.1,9.9,NA,10.5,10.5,4,23.5,14.8,13.3,10.9
"WR","Travis Benjamin (0000000)","Travis Benjamin",0,4900,"SD@Hou 00:00PM ET","SD","Travis","Benjamin","Hou",10.52,9.1,3,0.163538873994638,1,10.2,32.4,11.2,7.8,21.7,3.7,9.4,13.4,1.5,NA,NA
"WR","DeSean Jackson (0000000)","DeSean Jackson",0,4800,"Was@Dal 00:00PM ET","Was","DeSean","Jackson","Dal",12.72,12.7,3,0.171284634760705,1,19.2,7,20.6,1.5,6.5,9.5,8.5,7.8,NA,NA,15.1
"WR","Tyreek Hill (0000000)","Tyreek Hill",0,4800,"KC@Den 00:00PM ET","KC","Tyreek","Hill","Den",9.73,12.3,4,0.125,1,7.9,2.7,5.3,13.2,NA,4,13.1,21.5,6.2,20.1,10.1
"WR","Cameron Meredith (0000000)","Cameron Meredith",0,4700,"Ten@Chi 00:00PM ET","Chi","Cameron","Meredith","Ten",11.46,10.7,3,0.145658263305322,1,NA,NA,3.4,6.8,30.6,25.3,2.2,3.4,NA,12,8.9
"WR","DeVante Parker (0000000)","DeVante Parker",0,4700,"SF@Mia 00:00PM ET","Mia","DeVante","Parker","SF",12.35,11.8,2,0.192691029900332,1,NA,21.6,14.1,4,9,7.8,5,NA,2.8,18.3,21.9
"WR","Chris Hogan (0000000)","Chris Hogan",0,4700,"NE@NYJ 00:00PM ET","NE","Chris","Hogan","NYJ",10.63,6.3,5,0.101744186046512,1,15,9.9,1.3,NA,18.6,4.9,3.5,19.1,NA,NA,NA
"WR","Ty Montgomery (0000000)","Ty Montgomery",0,4700,"GB@Phi 00:00PM ET","GB","Ty","Montgomery","Phi",9.26,7.4,5,0.0837209302325581,1,NA,NA,-0.1,NA,0.1,19.4,22.6,NA,12.1,4,7.4
"WR","Brandon LaFell (0000000)","Brandon LaFell",0,4600,"Cin@Bal 00:00PM ET","Cin","Brandon","LaFell","Bal",12.19,11.5,2,0.155313351498638,1,13.1,6.9,5.2,8.4,26.8,9.3,18.3,1.6,NA,1.9,7.2
"WR","Eli Rogers (0000000)","Eli Rogers",0,4500,"Pit@Ind 00:00PM ET","Pit","Eli","Rogers","Ind",10.36,10.2,4,0.0995145631067961,1,17.9,1.9,5.2,NA,NA,7.5,NA,NA,19.3,14.2,6
