"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12"
"WR","Eli Rogers (0000000)","Eli Rogers",0,3900,"NYG@Pit 00:00PM ET","Pit","Eli","Rogers","NYG",8.84,9.5,4,0.0988505747126437,1,17.9,1.9,5.2,NA,NA,7.5,NA,NA,19.3,14.2,6,5.6
"WR","J.J. Nelson (0000000)","J.J. Nelson",0,3900,"Was@Ari 00:00PM ET","Ari","J.J.","Nelson","Was",6.51,9.7,5,0.0895522388059701,1,2.1,NA,NA,3.4,NA,5.9,11.8,27.9,NA,3.9,1,5
"WR","John Brown (0000000)","John Brown",0,3800,"Was@Ari 00:00PM ET","Ari","John","Brown","Was",7.17,9.4,4,0.132196162046908,1,1.8,2.4,13,27.4,2.1,10.4,NA,14.9,NA,6,NA,2.9
"WR","Malcolm Mitchell (0000000)","Malcolm Mitchell",0,3600,"LA@NE 00:00PM ET","NE","Malcolm","Mitchell","LA",7.87,8.4,6,0.0683544303797468,1,5.3,2.5,3.7,NA,2.7,NA,NA,NA,NA,2.3,19.8,21.2
"WR","Adam Humphries (0000000)","Adam Humphries",0,3600,"TB@SD 00:00PM ET","TB","Adam","Humphries","SD",7.91,11.1,2,0.160377358490566,1,7.1,12.7,22,1.4,4.1,NA,4.3,8.8,15.6,9.8,8.7,3.1
"WR","Allen Hurns (0000000)","Allen Hurns",0,3500,"Den@Jax 00:00PM ET","Jax","Allen","Hurns","Den",0,0,2,0.172185430463576,1,11.5,11.4,8,12.7,NA,12.4,8.5,22.8,NA,3.3,1.9,8.2
"WR","Danny Amendola (0000000)","Danny Amendola",0,3400,"LA@NE 00:00PM ET","NE","Danny","Amendola","LA",6.06,4.1,7,0.0658227848101266,1,7.8,20,4.3,NA,3.1,5,NA,11.9,NA,2.4,8.2,1.8
"WR","Eddie Royal (0000000)","Eddie Royal",0,3400,"SF@Chi 00:00PM ET","Chi","Eddie","Royal","SF",0,10.5,4,0.109223300970874,1,15.7,15.2,5.1,27.1,11.3,9.4,NA,NA,NA,3.4,3.3,0.4
"WR","Marquise Goodwin (0000000)","Marquise Goodwin",0,3400,"Buf@Oak 00:00PM ET","Buf","Marquise","Goodwin","Oak",9.52,11.7,3,0.14018691588785,1,NA,22.2,1.6,2.2,9.3,4.2,19.3,NA,8.3,NA,3.5,3.3
"WR","Russell Shepard (0000000)","Russell Shepard",0,3400,"TB@SD 00:00PM ET","TB","Russell","Shepard","SD",6.51,4.9,6,0.0518867924528302,1,0.9,3.6,1.6,NA,NA,NA,18.7,10.4,NA,NA,8.4,4.3
"WR","Jeremy Kerley (0000000)","Jeremy Kerley",0,3300,"SF@Chi 00:00PM ET","SF","Jeremy","Kerley","Chi",8.12,10.6,1,0.223463687150838,1,NA,5.9,4.4,20.8,27.2,3.2,3.5,NA,5.2,19.1,NA,4.4
"WR","Brian Quick (0000000)","Brian Quick",0,3200,"LA@NE 00:00PM ET","LA","Brian","Quick","NE",8.58,7.4,4,0.132978723404255,1,5.3,1.8,13.3,20.9,8.1,11.1,13.2,NA,8.8,3.6,5.1,1.3
"WR","Quinton Patton (0000000)","Quinton Patton",0,3200,"SF@Chi 00:00PM ET","SF","Quinton","Patton","Chi",7.94,10.3,2,0.156424581005587,1,11,5.5,1.8,2.3,3.6,9.2,4.3,NA,19.6,8.2,3.7,2.2
"WR","Sammie Coates (0000000)","Sammie Coates",0,3200,"NYG@Pit 00:00PM ET","Pit","Sammie","Coates","NYG",7.18,3.9,4,0.0988505747126437,1,7.6,12.3,8,13.8,34.9,NA,1.4,NA,NA,NA,NA,NA
