"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Actual","ValueWR","Week1","Week2","Week3","Week4","Week5"
"WR","DeVante Parker (7572055)","DeVante Parker",7572055,5000,"Pit@Mia 01:00PM ET","Mia","DeVante","Parker","Pit",12.16,13,12.28,13,2,0.158940397350993,12.0078863711652,11.8516744960953,1,7.8,1,NA,21.6,14.1,4,9
"WR","Sammie Coates (7572054)","Sammie Coates",7572054,4700,"Pit@Mia 01:00PM ET","Pit","Sammie","Coates","Mia",10.16,11.1,10.7,11.1,2,0.153846153846154,10.1865631840786,10.0397074658479,1,0,1,7.6,12.3,8,13.8,34.9
"WR","Chris Hogan (7572065)","Chris Hogan",7572065,4600,"Cin@NE 01:00PM ET","NE","Chris","Hogan","Cin",12.41,7.5,9.63,7.5,4,0.125,8.53374928596574,8.76993519656488,0,4.9,1,15,9.9,1.3,NA,18.6
"WR","Corey Coleman (7572001)","Corey Coleman",7572001,4500,"Cle@Ten 01:00PM ET","Cle","Corey","Coleman","Ten",0,0,0,0,6,0.0677966101694915,0,0,0,0,1,8.9,30.4,NA,NA,NA
"WR","Michael Thomas (7572025)","Michael Thomas",7572025,4300,"Car@NO 01:00PM ET","NO","Michael","Thomas","Car",10.04,12.1,12.36,12.1,2,0.173410404624277,10.7960302794266,10.573320422445,1,18.8,1,11.8,9.6,20.1,14.4,NA
"WR","Mohamed Sanu (7572086)","Mohamed Sanu",7572086,4300,"Atl@Sea 04:25PM ET","Atl","Mohamed","Sanu","Sea",9.42,9.1,7.7,9.1,2,0.158823529411765,8.67585655540815,8.62143111977269,0,15.7,1,21,4.9,6.1,4.2,6.3
"WR","Cameron Meredith (7572034)","Cameron Meredith",7572034,4100,"Jax@Chi 01:00PM ET","Chi","Cameron","Meredith","Jax",13.79,12,8.23,12,5,0.112903225806452,11.8479870118796,11.8589657779167,0,25.3,1,NA,NA,3.4,6.8,30.6
"WR","Jeremy Kerley (7571972)","Jeremy Kerley",7571972,4000,"SF@Buf 01:00PM ET","SF","Jeremy","Kerley","Buf",13.12,10.2,10.52,17.8994591599791,1,0.308724832214765,10.4871601381661,10.5810842075393,1,3.2,1,NA,5.9,4.4,20.8,27.2
"WR","Eddie Royal (7572027)","Eddie Royal",7572027,4000,"Jax@Chi 01:00PM ET","Chi","Eddie","Royal","Jax",11.95,11.1,10.39,11.1,2,0.172043010752688,10.719494473848,10.6809118279466,1,9.4,1,15.7,15.2,5.1,27.1,11.3
"WR","Tavon Austin (7572044)","Tavon Austin",7572044,3900,"LA@Det 01:00PM ET","LA","Tavon","Austin","Det",11.5,13,10.79,9.52580912190107,1,0.285714285714286,11.8113865659988,11.6152527759919,0,5.6,1,5.5,10.6,21.4,2.8,15.5
"WR","Davante Adams (7572100)","Davante Adams",7572100,3900,"Dal@GB 04:25PM ET","GB","Davante","Adams","Dal",10.63,8,8.94,14.9928425938371,3,0.182432432432432,8.32639243229706,8.42061234368478,1,5.4,1,14,4.6,10.3,NA,19.5
"WR","Danny Amendola (7572060)","Danny Amendola",7572060,3700,"Cin@NE 01:00PM ET","NE","Danny","Amendola","Cin",6.3,7,4.99,9.38217654489591,5,0.0892857142857143,6.39204028696355,6.2929438500265,0,5,1,7.8,20,4.3,NA,3.1
"WR","Brian Quick (7572041)","Brian Quick",7572041,3200,"LA@Det 01:00PM ET","LA","Brian","Quick","Det",8.41,6.8,7.47,0,4,0.116883116883117,6.89120534301073,6.93345718012493,0,11.1,1,5.3,1.8,13.3,20.9,8.1
"WR","Brandon LaFell (7572061)","Brandon LaFell",7572061,3200,"Cin@NE 01:00PM ET","Cin","Brandon","LaFell","NE",10.49,9.5,8.53,9.64762890292208,2,0.178010471204188,9.25250215442012,9.2353603676777,1,9.3,1,13.1,6.9,5.2,8.4,26.8
"WR","Marquise Goodwin (7571974)","Marquise Goodwin",7571974,3000,"SF@Buf 01:00PM ET","Buf","Marquise","Goodwin","SF",8.18,10.2,7.54,10.2,4,0.142857142857143,9.01638886919349,8.81150345403772,0,4.2,1,NA,22.2,1.6,2.2,9.3
