"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14"
"WR","DeAndre Hopkins (0000000)","DeAndre Hopkins",0,5000,"Jax@Hou 00:00PM ET","Hou","DeAndre","Hopkins","Jax",12.54,13.1,1,0.265086206896552,1,16.4,27.3,9.6,1.4,16.6,16.1,8.6,8.4,NA,9.8,10.8,12,14.8,5.3
"WR","Mohamed Sanu (0000000)","Mohamed Sanu",0,4900,"SF@Atl 00:00PM ET","Atl","Mohamed","Sanu","SF",13.95,14.1,2,0.165562913907285,1,21,4.9,6.1,4.2,6.3,15.7,3.6,23.4,12.4,3.4,NA,15,4.6,NA
"WR","Mike Wallace (0000000)","Mike Wallace",0,4800,"Phi@Bal 00:00PM ET","Bal","Mike","Wallace","Phi",12.88,11.5,1,0.187272727272727,1,19.2,20.1,6.9,10.7,13.3,13.7,25,NA,25.4,9.9,12.5,8.6,11.9,10.2
"WR","Ty Montgomery (0000000)","Ty Montgomery",0,4800,"GB@Chi 00:00PM ET","GB","Ty","Montgomery","Chi",12.29,11.6,4,0.0860420650095602,1,NA,NA,-0.1,NA,0.1,19.4,22.6,NA,12.1,4,7.4,3.4,7.6,17.6
"WR","Adam Thielen (0000000)","Adam Thielen",0,4800,"Ind@Min 00:00PM ET","Min","Adam","Thielen","Ind",12.49,13.4,3,0.16135881104034,1,9.4,8.1,5.9,4.1,28.7,NA,7.2,7,10.8,12.2,17.5,13.3,14.6,17.1
"WR","Malcolm Mitchell (0000000)","Malcolm Mitchell",0,4700,"NE@Den 00:00PM ET","NE","Malcolm","Mitchell","Den",11.39,10.8,5,0.0912863070539419,1,5.3,2.5,3.7,NA,2.7,NA,NA,NA,NA,2.3,19.8,21.2,16.2,14.1
"WR","Brandon LaFell (0000000)","Brandon LaFell",0,4700,"Pit@Cin 00:00PM ET","Cin","Brandon","LaFell","Pit",12.15,11.2,2,0.170526315789474,1,13.1,6.9,5.2,8.4,26.8,9.3,18.3,1.6,NA,1.9,7.2,6.8,20.5,5.2
"WR","Pierre Garcon (0000000)","Pierre Garcon",0,4700,"Car@Was 00:00PM ET","Was","Pierre","Garcon","Car",13.04,13.9,1,0.18664047151277,1,11.1,4.5,10.9,7.9,16.6,13.7,4.2,12.7,NA,14.1,26.6,8.3,14.8,16.9
"WR","Marvin Jones (0000000)","Marvin Jones",0,4700,"Det@NYG 00:00PM ET","Det","Marvin","Jones","NYG",9.62,11.9,2,0.198329853862213,1,12.5,22.8,41.5,12.4,13.7,9.3,13.4,6.3,1.5,NA,2.5,9.4,NA,10.7
"WR","DeVante Parker (0000000)","DeVante Parker",0,4700,"Mia@NYJ 00:00PM ET","Mia","DeVante","Parker","NYJ",12.29,11.2,2,0.178117048346056,1,NA,21.6,14.1,4,9,7.8,5,NA,2.8,18.3,21.9,9.4,12.4,3.4
"WR","Rishard Matthews (0000000)","Rishard Matthews",0,4600,"Ten@KC 00:00PM ET","Ten","Rishard","Matthews","KC",12.35,11.9,2,0.1875,1,5.6,8,6.2,10.2,13.2,16,7.7,13.8,24.3,15.3,24.2,15.4,NA,3.6
"WR","Kenny Britt (0000000)","Kenny Britt",0,4600,"LA@Sea 00:00PM ET","LA","Kenny","Britt","Sea",12.65,11.7,1,0.226666666666667,1,10.7,15.4,6.8,12.2,12.5,35.6,7.3,NA,14.9,20.9,9.3,16.2,14.7,15.2
"WR","Randall Cobb (0000000)","Randall Cobb",0,4600,"GB@Chi 00:00PM ET","GB","Randall","Cobb","Chi",11.57,11.1,3,0.168260038240918,1,12.8,9.3,4.3,NA,22.8,18.3,28.6,NA,9.4,7.1,11.4,10.1,10.9,6.3
"WR","Sterling Shepard (0000000)","Sterling Shepard",0,4600,"Det@NYG 00:00PM ET","NYG","Sterling","Shepard","Det",11.34,12.3,2,0.173387096774194,1,13.3,22.7,18.3,7,3.4,6.5,8.2,NA,14,15.2,16,2.2,12.1,6.9
