"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16"
"WR","Pierre Garcon (8009378)","Pierre Garcon",8009378,5000,"NYG@Was 04:25PM ET","Was","Pierre","Garcon","NYG",12.99,15.9,1,0.19104991394148,13.9895401601689,14.4125041005555,1,11.1,4.5,10.9,7.9,16.6,13.7,4.2,12.7,NA,14.1,26.6,8.3,14.8,16.9,14.8,13.4
"WR","Jamison Crowder (8009382)","Jamison Crowder",8009382,5000,"NYG@Was 04:25PM ET","Was","Jamison","Crowder","NYG",11.29,11.3,3,0.165232358003442,10.7576061232542,11.1028487289373,1,11.8,15.9,17.8,4.1,12.5,13.3,20.8,28.7,NA,14.4,22.2,16.8,13.2,5.7,5.4,1.3
"WR","Jarvis Landry (8009436)","Jarvis Landry",8009436,5000,"NE@Mia 01:00PM ET","Mia","Jarvis","Landry","NE",11.66,13.2,1,0.276255707762557,11.9609394156752,12.3310786339009,1,12.9,25.7,29.6,13.1,6,16.1,14.8,NA,6.3,11.3,13.8,8.7,19.6,16.3,22.8,5.9
"WR","Kenny Britt (8009490)","Kenny Britt",8009490,5000,"Ari@LA 04:25PM ET","LA","Kenny","Britt","Ari",0,0,1,0.223091976516634,0,0,1,10.7,15.4,6.8,12.2,12.5,35.6,7.3,NA,14.9,20.9,9.3,16.2,14.7,15.2,9,2.5
"WR","Sterling Shepard (8009384)","Sterling Shepard",8009384,4900,"NYG@Was 04:25PM ET","NYG","Sterling","Shepard","Was",11.53,7.1,2,0.172649572649573,8.51670805485104,8.82986440984871,1,13.3,22.7,18.3,7,3.4,6.5,8.2,NA,14,15.2,16,2.2,12.1,6.9,15.6,19.3
"WR","Tyler Lockett (8009530)","Tyler Lockett",8009530,4800,"Sea@SF 04:25PM ET","Sea","Tyler","Lockett","SF",0,0,4,0.149193548387097,0,0,1,4.7,13.9,NA,2.3,NA,5.5,3.3,7.2,4,10.2,5.9,0.9,24.8,9.6,29,5.8
"WR","Malcolm Mitchell (8009440)","Malcolm Mitchell",8009440,4700,"NE@Mia 01:00PM ET","NE","Malcolm","Mitchell","Mia",0,0,5,0.0970695970695971,0,0,1,5.3,2.5,3.7,NA,2.7,NA,NA,NA,NA,2.3,19.8,21.2,16.2,14.1,2.4,5.9
"WR","Cole Beasley (8009468)","Cole Beasley",8009468,4700,"Dal@Phi 01:00PM ET","Dal","Cole","Beasley","Phi",11.6,6.8,1,0.214132762312634,8.37758410571029,8.68959518847771,1,14.5,12.5,14.3,10.3,15.3,23.8,NA,9.3,17.6,8.3,16.9,10.6,4.3,8.1,8.8,6.5
"WR","Jordan Matthews (8009469)","Jordan Matthews",8009469,4700,"Dal@Phi 01:00PM ET","Phi","Jordan","Matthews","Dal",0,15.5,1,0.214028776978417,8.62087078114337,8.75849766986961,1,27.4,13.1,9.9,NA,10.5,10.5,4,23.5,14.8,13.3,10.9,8.7,NA,15.9,8.7,3.2
"WR","Mohamed Sanu (8009352)","Mohamed Sanu",8009352,4600,"NO@Atl 04:25PM ET","Atl","Mohamed","Sanu","NO",11.02,12.2,2,0.160469667318982,11.1512080155062,11.4985848887346,1,21,4.9,6.1,4.2,6.3,15.7,3.6,23.4,12.4,3.4,NA,15,4.6,NA,7.4,8.6
"WR","Mike Wallace (8009365)","Mike Wallace",8009365,4600,"Bal@Cin 01:00PM ET","Bal","Mike","Wallace","Cin",11.42,12,1,0.182985553772071,11.1984373409703,11.5527153776802,1,19.2,20.1,6.9,10.7,13.3,13.7,25,NA,25.4,9.9,12.5,8.6,11.9,10.2,8,6.1
"WR","Marqise Lee (8009425)","Marqise Lee",8009425,4600,"Jax@Ind 01:00PM ET","Jax","Marqise","Lee","Ind",11.57,12.3,2,0.166666666666667,11.4247177924019,11.784913448209,1,4.2,12.5,9.4,6.8,NA,12.1,20.7,2.1,13.5,9.6,15.8,13.9,7.4,19.3,6,17.5
"WR","Brandon Marshall (8009453)","Brandon Marshall",8009453,4600,"Buf@NYJ 01:00PM ET","NYJ","Brandon","Marshall","Buf",0,12.6,1,0.254335260115607,7.00793366725203,7.1198110090553,1,6.2,19.1,5.7,18.9,28.4,10,6.9,10.8,10.5,5.5,NA,18.7,8.3,6.3,2.6,4.8
"WR","J.J. Nelson (8009494)","J.J. Nelson",8009494,4600,"Ari@LA 04:25PM ET","Ari","J.J.","Nelson","LA",10.76,13.4,4,0.117001828153565,11.7156271304593,12.0680189423238,1,2.1,NA,NA,3.4,NA,5.9,11.8,27.9,NA,3.9,1,5,11.2,19.4,14.8,25.2
"WR","Brandon LaFell (8009364)","Brandon LaFell",8009364,4500,"Bal@Cin 01:00PM ET","Cin","Brandon","LaFell","Bal",11.76,14.6,2,0.187732342007435,12.7792153039869,13.1639545865445,1,13.1,6.9,5.2,8.4,26.8,9.3,18.3,1.6,NA,1.9,7.2,6.8,20.5,5.2,16.1,28
"WR","Travis Benjamin (8009514)","Travis Benjamin",8009514,4400,"KC@SD 04:25PM ET","SD","Travis","Benjamin","KC",6.12,7.9,4,0.145283018867925,6.81839859968628,7.0213019300142,1,10.2,32.4,11.2,7.8,21.7,3.7,9.4,13.4,1.5,NA,NA,1.8,4.4,-0.2,13.6,10.5
"WR","DeVante Parker (8009438)","DeVante Parker",8009438,4300,"NE@Mia 01:00PM ET","Mia","DeVante","Parker","NE",12.47,10.8,2,0.182648401826484,10.946989302425,11.3133894642487,1,NA,21.6,14.1,4,9,7.8,5,NA,2.8,18.3,21.9,9.4,12.4,3.4,2.7,18.5
"WR","Tavon Austin (8009493)","Tavon Austin",8009493,4300,"Ari@LA 04:25PM ET","LA","Tavon","Austin","Ari",10.03,10.2,2,0.199608610567515,9.64663333182442,9.9547763359281,1,5.5,10.6,21.4,2.8,15.5,5.6,22.7,NA,2.8,4.9,3.9,15.5,NA,15.9,5.7,12
"WR","Rishard Matthews (8009390)","Rishard Matthews",8009390,4100,"Hou@Ten 01:00PM ET","Ten","Rishard","Matthews","Hou",11.03,10.5,1,0.19672131147541,10.2096548148339,10.5421540509305,1,5.6,8,6.2,10.2,13.2,16,7.7,13.8,24.3,15.3,24.2,15.4,NA,3.6,16.5,12.1
"WR","Anquan Boldin (8009407)","Anquan Boldin",8009407,4100,"GB@Det 08:30PM ET","Det","Anquan","Boldin","GB",9.54,12.6,3,0.165480427046263,10.7873565393157,11.1061801952645,1,6.5,14.8,12.2,9.1,8.8,20,11.8,1.4,9,NA,9.7,19.9,8,13.9,4.3,8.3
"WR","Randall Cobb (8009412)","Randall Cobb",8009412,4100,"GB@Det 08:30PM ET","GB","Randall","Cobb","Det",8.74,10.2,3,0.150337837837838,9.13557929566487,9.4157389931388,1,12.8,9.3,4.3,NA,22.8,18.3,28.6,NA,9.4,7.1,11.4,10.1,10.9,6.3,NA,NA
