Position,Name + ID,Name,ID,Salary,GameInfo,TeamAbbrev 
RB,James Conner (9386043),James Conner,9386043,4500,PIT@CLE 01:00PM ET,PIT
QB,Blaine Gabbert (9384961),Blaine Gabbert,9384961,4500,ARI@DET 01:00PM ET,ARI
QB,Matt Cassel (9384632),Matt Cassel,9384632,4500,OAK@TEN 01:00PM ET,TEN
QB,Connor Cook (9385484),Connor Cook,9385484,4500,OAK@TEN 01:00PM ET,OAK
RB,LeGarrette Blount (9384912),LeGarrette Blount,9384912,4500,PHI@WAS 01:00PM ET,PHI
QB,Scott Tolzien (9384784),Scott Tolzien,9384784,4500,IND@LAR 04:05PM ET,IND
QB,Trevone Boykin (9385406),Trevone Boykin,9385406,4500,SEA@GB 04:25PM ET,SEA
RB,Adrian Peterson (9384703),Adrian Peterson,9384703,4500,NO@MIN 07:10PM ET,NO
QB,Brock Osweiler (9385030),Brock Osweiler,9385030,4500,LAC@DEN 10:20PM ET,DEN
WR,Jordan Matthews (9385229),Jordan Matthews,9385229,4400,NYJ@BUF 01:00PM ET,BUF
QB,Christian Hackenberg (9386111),Christian Hackenberg,9386111,4400,NYJ@BUF 01:00PM ET,NYJ
RB,Jeremy Hill (9385620),Jeremy Hill,9385620,4400,BAL@CIN 01:00PM ET,CIN
WR,Corey Coleman (9385845),Corey Coleman,9385845,4400,PIT@CLE 01:00PM ET,CLE
WR,Tyler Lockett (9385452),Tyler Lockett,9385452,4400,SEA@GB 04:25PM ET,SEA
QB,Kellen Moore (9384825),Kellen Moore,9384825,4400,NYG@DAL 08:30PM ET,DAL
RB,Alfred Morris (9384828),Alfred Morris,9384828,4400,NYG@DAL 08:30PM ET,DAL
QB,Cardale Jones (9385666),Cardale Jones,9385666,4400,LAC@DEN 10:20PM ET,LAC
QB,Mark Sanchez (9384743),Mark Sanchez,9384743,4300,ATL@CHI 01:00PM ET,CHI
RB,Ameer Abdullah (9385337),Ameer Abdullah,9385337,4300,ARI@DET 01:00PM ET,DET
QB,Chad Henne (9384700),Chad Henne,9384700,4300,JAX@HOU 01:00PM ET,JAX
TE,Delanie Walker (9384664),Delanie Walker,9384664,4300,OAK@TEN 01:00PM ET,TEN
RB,Rob Kelley (9385427),Rob Kelley,9385427,4300,PHI@WAS 01:00PM ET,WAS
RB,Frank Gore (9384633),Frank Gore,9384633,4300,IND@LAR 04:05PM ET,IND
QB,Sean Mannion (9385273),Sean Mannion,9385273,4300,IND@LAR 04:05PM ET,LAR
WR,Devin Funchess (9385864),Devin Funchess,9385864,4300,CAR@SF 04:25PM ET,CAR
RB,Paul Perkins (9385719),Paul Perkins,9385719,4300,NYG@DAL 08:30PM ET,NYG
QB,T.J. Yates (9384769),T.J. Yates,9384769,4200,NYJ@BUF 01:00PM ET,BUF
WR,Mohamed Sanu (9385016),Mohamed Sanu,9385016,4200,ATL@CHI 01:00PM ET,ATL
WR,Kevin White (9385941),Kevin White,9385941,4200,ATL@CHI 01:00PM ET,CHI
