"Mike Trout_LAA","Brandon Belt_SF","Hunter Pence_SF","Corey Seager_LAD","Lorenzo Cain_KC","Joe Panik_SF","Eduardo Nunez_SF","Denard Span_SF","Wil Myers_SD","Eric Hosmer_KC","Brandon Crawford_SF","Albert Pujols_LAA","Alex Gordon_KC","Jose Abreu_CWS","Adrian Gonzalez_LAD","Yasiel Puig_LAD","Kole Calhoun_LAA","Logan Forsythe_LAD","Cameron Maybin_LAA","Salvador Perez_KC","Justin Turner_LAD","Alcides Escobar_KC","Mike Moustakas_KC","Paulo Orlando_KC","Yasmani Grandal_LAD","Ryan Schimpf_SD","Tim Anderson_CWS","Yangervis Solarte_SD","Manuel Margot_SD","Yunel Escobar_LAA","Hunter Renfroe_SD","Avisail Garcia_CWS","Andrelton Simmons_LAA","Danny Espinosa_LAA","Travis Jankowski_SD","Austin Hedges_SD","Erick Aybar_SD","Martin Maldonado_LAA"
28.3076923076923,0,0,0,0,0,0,0,0,0,0,21.1794871794872,0,0,0,0,1.27564102564103,0,1.13636363636364,0,0,0,0,0,0,0,0,0,0,9.69230769230769,0,0,-5.11538461538461,14.3846153846154,0,0,0,-0.886363636363636
0,43.1703296703297,0,0,0,3.12179487179487,11.6153846153846,1.61111111111111,0,0,-3.45454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.08241758241758,29.0666666666667,0,0,8.90659340659341,19.2087912087912,4.25555555555556,0,0,19.6410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,66.3791208791209,0,0,0,0,0,0,0,0,0,0,-0.0909090909090909,26.3186813186813,0,22.5555555555556,0,0,29.8181818181818,0,0,0,43.2424242424242,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13.5897435897436,0,0,0,0,-2.11538461538462,0,0,0.198717948717949,0,0,0,0,0,0,3.60897435897436,0,-1.60897435897436,-1.5,4.21111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,30.7967032967033,0,0,0,0,7.31818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,21.0769230769231,67.978021978022,8.875,0,0,10.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-5.82222222222222,0,12.9888888888889,0,0,9.45833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,78.2571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.30769230769231,0,7.21428571428571,2.55494505494505,0,21.7142857142857,0,0,0,-11.6909090909091,4.5,-9.57575757575758,0
0,0,0,0,0,0,0,0,0,15.0769230769231,0,0,6.92307692307692,0,0,0,0,0,0,7.62179487179487,0,-0.621794871794872,2.11111111111111,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,38.4102564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,39.5769230769231,0,0,0,0,-10.4393939393939,0,-11.7,0,0,0,0,0,0,0,0,0,0,21.6410256410256,0,0,6.75,-0.00641025641025641,0,0,0,8.81818181818182
0,0,0,0,0,0,0,0,0,0,0,0,16.0769230769231,0,0,0,0,0,0,14.0448717948718,0,3.03846153846154,2.63333333333333,-1.65555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,32.0545454545455,0,0,0,0,0,0,0,0,0,0,0,0,21.7555555555556,0,0,0,0,1.93636363636364,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8106060606061,0,0,-4.85714285714286,0,0,14.7555555555556,0,0,0,14.1555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0
