Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Antonio Brown,WR,PIT,@ WAS,32nd,9800,12.3,47.1,26.1,23.94,23.94,100,0,2.4,35.6,3.6
Julio Jones,WR,ATL,vs TB,25th,9400,14.5,47.2,24.8,25.43,25.43,100,0,2.7,16.6,1.8
Odell Beckham Jr.,WR,NYG,@ DAL,14th,9300,13.3,47.5,22.9,24.72,24.72,100,0,2.7,11.3,1.2
DeAndre Hopkins,WR,HOU,vs CHI,12th,8800,12.7,43.9,21.8,23.06,23.06,100,0,2.6,16.4,1.9
Aaron Rodgers,QB,GB,@ JAC,24th,8500,15.1,40.9,20.1,23.69,23.69,100,0,2.8,23.56,2.8
Dez Bryant,WR,DAL,vs NYG,18th,8500,13.2,42.3,10.2,22.94,22.94,100,0,2.7,1.8,0.2
A.J. Green,WR,CIN,@ NYJ,4th,8400,10.4,42.5,17.9,21.14,21.14,100,0,2.5,39,4.6
Andrew Luck,QB,IND,vs DET,22nd,8300,14.1,40.5,21.4,22.87,22.87,100,0,2.8,38.5,4.6
Allen Robinson,WR,JAC,vs GB,8th,8300,12.1,40.9,20.1,21.74,21.74,100,0,2.6,13.2,1.6
Drew Brees,QB,NO,vs OAK,15th,8100,14.9,39.5,23.1,23.09,23.09,100,0,2.9,35.42,4.4
Keenan Allen,WR,SD,@ KC,5th,8000,5.9,40.7,21.4,17.46,17.46,100,0,2.2,12.3,1.5
Russell Wilson,QB,SEA,vs MIA,17th,7900,14.6,40.7,21.9,23.29,23.29,100,0,2.9,13.92,1.8
Alshon Jeffery,WR,CHI,@ HOU,21st,7900,9.7,35.5,19,18.32,18.32,100,0,2.3,17.5,2.2
Brandon Marshall,WR,NYJ,vs CIN,6th,7800,10.2,39.3,23.2,19.88,19.88,100,0,2.5,6.2,0.8
Ben Roethlisberger,QB,PIT,@ WAS,32nd,7800,11,41.6,22.3,21.17,21.17,100,0,2.7,25.8,3.3
Todd Gurley,RB,LA,@ SF,30th,7800,12.1,41.2,17.3,21.78,21.78,100,0,2.8,5.2,0.7
Jordy Nelson,WR,GB,@ JAC,27th,7700,7.9,41.2,,18.98,18.98,100,0,2.5,15.2,2
Brandin Cooks,WR,NO,vs OAK,28th,7700,9.1,34.3,16.6,17.51,17.51,100,0,2.3,36.4,4.7
Cam Newton,QB,CAR,@ DEN,10th,7700,12.6,42,25.9,22.41,22.41,100,0,2.9,22.16,2.9
Adrian Peterson,RB,MIN,@ TEN,23rd,7600,11.6,38.3,17.8,20.47,20.47,100,0,2.7,3.1,0.4
Randall Cobb,WR,GB,@ JAC,27th,7600,8.8,33.7,12.9,17.07,17.07,100,0,2.2,12.8,1.7
Eli Manning,QB,NYG,@ DAL,7th,7500,11.8,37.9,20.2,20.49,20.49,100,0,2.7,19.28,2.6
T.Y. Hilton,WR,IND,vs DET,22nd,7500,7.6,37.3,13.6,17.48,17.48,100,0,2.3,13.9,1.9
David Johnson,RB,ARI,vs NE,5th,7500,10.6,42.1,13.7,21.08,21.08,100,0,2.8,23.2,3.1
Mike Evans,WR,TB,@ ATL,1st,7400,11.8,40.9,15.1,21.48,21.48,100,0,2.9,20.9,2.8
Kirk Cousins,QB,WAS,vs PIT,29th,7400,10.6,39.1,20.5,20.06,20.06,100,0,2.7,14.96,2
Golden Tate,WR,DET,@ IND,17th,7300,8.8,31.9,13.2,16.47,16.47,100,0,2.3,11.3,1.5
Derek Carr,QB,OAK,@ NO,30th,7300,14.4,38.1,19.1,22.27,22.27,100,0,3.1,25.36,3.5
Ezekiel Elliott,RB,DAL,vs NYG,29th,7300,5.1,30.6,,20.41,20.41,100,0,2.8,12.2,1.7
Matthew Stafford,QB,DET,@ IND,14th,7200,12.4,36.7,19.7,20.52,20.52,100,0,2.9,29.1,4
Blake Bortles,QB,JAC,vs GB,3rd,7200,13.1,37.7,22.3,21.32,21.32,100,0,3,19,2.6
Amari Cooper,WR,OAK,@ NO,23rd,7200,8.4,38.1,14.3,18.3,18.3,100,0,2.5,24.7,3.4
Carson Palmer,QB,ARI,vs NE,20th,7100,14.4,34,21.8,20.95,20.95,100,0,3,18.94,2.7
Matt Ryan,QB,ATL,vs TB,23rd,7100,13,32.5,16.9,19.53,19.53,100,0,2.8,27.36,3.9
Philip Rivers,QB,SD,@ KC,8th,7000,10.4,36.2,20.2,18.98,18.98,100,0,2.7,14.62,2.1
Lamar Miller,RB,HOU,vs CHI,24th,7000,12.1,38.2,15.1,20.77,20.77,100,0,3,18.7,2.7
DeAngelo Williams,RB,PIT,@ WAS,13th,7000,5.8,41.8,15.4,17.81,17.81,100,0,2.5,38.1,5.4
Demaryius Thomas,WR,DEN,vs CAR,15th,7000,6.8,35.6,17.6,16.42,16.42,100,0,2.3,8.8,1.3
Tyrod Taylor,QB,BUF,@ BAL,6th,6900,13.9,38.2,19.9,22.03,22.03,100,0,3.2,5.54,0.8
Devonta Freeman,RB,ATL,vs TB,20th,6900,5.8,41.8,22.1,17.8,17.8,100,0,2.6,8,1.2
Sammy Watkins,WR,BUF,@ BAL,2nd,6900,8.6,41.6,18,19.55,19.55,100,0,2.8,8.3,1.2
Andy Dalton,QB,CIN,@ NYJ,4th,6800,9.4,34.3,20.4,17.69,17.69,100,0,2.6,21.34,3.1
Joe Flacco,QB,BAL,vs BUF,18th,6700,9.3,31.8,19.1,16.82,16.82,100,0,2.5,13.02,1.9
Eddie Lacy,RB,GB,@ JAC,32nd,6700,9.7,36.4,10.1,18.63,18.63,100,0,2.8,8.8,1.3
Jordan Matthews,WR,PHI,vs CLE,26th,6700,4.3,33.4,15.2,13.99,13.99,100,0,2.1,27.4,4.1
Eric Decker,WR,NYJ,vs CIN,6th,6600,8.1,29.7,17.1,15.26,15.26,100,0,2.3,11.7,1.8
Doug Baldwin,WR,SEA,vs MIA,7th,6600,6.5,34.4,17.4,15.81,15.81,100,0,2.4,24.2,3.7
Mark Ingram,RB,NO,vs OAK,14th,6600,12.9,30.6,17.3,18.78,18.78,100,0,2.8,10.7,1.6
Jameis Winston,QB,TB,@ ATL,1st,6600,15.2,27.5,18.6,19.26,19.26,100,0,2.9,26.54,4
Jordan Reed,TE,WAS,vs PIT,5th,6600,6.4,35.8,18,16.24,16.24,100,0,2.5,13.4,2
Ryan Fitzpatrick,QB,NYJ,vs CIN,9th,6500,9,33,19.1,17.02,17.02,100,0,2.6,16.06,2.5
Alex Smith,QB,KC,vs SD,5th,6500,10.1,24.5,17.6,14.91,14.91,100,0,2.3,32.02,4.9
Jeremy Maclin,WR,KC,vs SD,10th,6500,6.6,38.1,16.9,17.1,17.1,100,0,2.6,17.2,2.6
LeSean McCoy,RB,BUF,@ BAL,18th,6400,9.7,29.5,15.8,16.27,16.27,100,0,2.5,17,2.7
Marcus Mariota,QB,TEN,vs MIN,21st,6400,7.4,40.7,19.7,18.48,18.48,100,0,2.9,18.74,2.9
Jay Cutler,QB,CHI,@ HOU,12th,6300,11.1,29.4,16.8,17.21,17.21,100,0,2.7,12.84,2
Larry Fitzgerald,WR,ARI,vs NE,13th,6300,3.2,32.6,18.2,13.02,13.02,100,0,2.1,28.1,4.5
Brock Osweiler,QB,HOU,vs CHI,28th,6300,9.5,35.3,15.8,18.07,18.07,100,0,2.9,17.64,2.8
Doug Martin,RB,TB,@ ATL,22nd,6200,9,35.1,15.6,17.73,17.73,100,0,2.9,14.6,2.4
Jimmy Garoppolo,QB,NE,@ ARI,16th,6200,14,21.5,-0.1,16.49,16.49,100,0,2.7,16.06,2.6
Matt Forte,RB,NYJ,vs CIN,11th,6100,4.7,30.8,16.8,13.4,13.4,100,0,2.2,20.5,3.4
Julian Edelman,WR,NE,@ ARI,11th,6100,7,30.2,19.6,14.75,14.75,100,0,2.4,15.2,2.5
DeSean Jackson,WR,WAS,vs PIT,31st,6100,3.7,31.3,12.1,12.92,12.92,100,0,2.1,19.2,3.1
Jarvis Landry,WR,MIA,@ SEA,3rd,6000,7.4,29.9,17.8,14.88,14.88,100,0,2.5,12.9,2.2
Thomas Rawls,RB,SEA,vs MIA,27th,6000,0,36.1,11.7,10.67,10.67,100,0,1.8,8.8,1.5
Donte Moncrief,WR,IND,vs DET,22nd,6000,6.9,33,11.2,15.57,15.57,100,0,2.6,18.4,3.1
Ryan Tannehill,QB,MIA,@ SEA,2nd,5900,9.6,28.2,18.2,15.83,15.83,100,0,2.7,15.14,2.6
Michael Floyd,WR,ARI,vs NE,13th,5900,4.2,33.3,12.5,13.92,13.92,100,0,2.4,9.1,1.5
C.J. Anderson,RB,DEN,vs CAR,17th,5900,5.5,36.4,10,15.79,15.79,100,0,2.7,29.9,5.1
