"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"3B","D.J. Peterson",2700,"OAK@SEA 10:10PM ET",0,"SEA"
"OF","Matt Olson",2700,"OAK@SEA 10:10PM ET",6.563,"OAK"
"SS","Tyler Smith",2700,"OAK@SEA 10:10PM ET",2.1,"SEA"
"3B/OF","Rob Segedin",2700,"ARI@LAD 10:10PM ET",2.5,"LAD"
"OF","Socrates Brito",2700,"ARI@LAD 10:10PM ET",0,"ARI"
"OF","Alex Verdugo",2700,"ARI@LAD 10:10PM ET",0,"LAD"
"OF","Jake Smolinski",2600,"OAK@SEA 10:10PM ET",0,"OAK"
"OF","Ryan LaMarre",2600,"OAK@SEA 10:10PM ET",0.667,"OAK"
"OF","Boog Powell",2600,"OAK@SEA 10:10PM ET",2.13,"SEA"
"OF","Andre Ethier",2600,"ARI@LAD 10:10PM ET",0,"LAD"
"C","Carlos Ruiz",2500,"OAK@SEA 10:10PM ET",3.667,"SEA"
"C","Tuffy Gosewisch",2500,"OAK@SEA 10:10PM ET",0.909,"SEA"
"C","Bruce Maxwell",2500,"OAK@SEA 10:10PM ET",4.842,"OAK"
"1B/OF","Scott Van Slyke",2500,"ARI@LAD 10:10PM ET",2.276,"LAD"
"SS","Jack Reinheimer",2400,"ARI@LAD 10:10PM ET",0,"ARI"
"3B/SS","Dawel Lugo",2400,"ARI@LAD 10:10PM ET",0,"ARI"
"SS","Domingo Leyba",2400,"ARI@LAD 10:10PM ET",0,"ARI"
"1B","Daniel Vogelbach",2300,"OAK@SEA 10:10PM ET",2.429,"SEA"
"OF","Kyle Lewis",2300,"OAK@SEA 10:10PM ET",0,"SEA"
"C","Jeff Mathis",2200,"ARI@LAD 10:10PM ET",3.756,"ARI"
"C","Josh Phegley",2100,"OAK@SEA 10:10PM ET",3.535,"OAK"
"2B/SS","Chad Pinder",2100,"OAK@SEA 10:10PM ET",6.292,"OAK"
"1B/2B","Mike Freeman",2100,"ARI@LAD 10:10PM ET",1.45,"LAD"
"OF","Jaff Decker",2000,"OAK@SEA 10:10PM ET",4.118,"OAK"
"OF","Brett Eibner",2000,"ARI@LAD 10:10PM ET",3.294,"LAD"
"2B","Ildemaro Vargas",2000,"ARI@LAD 10:10PM ET",0,"ARI"
