"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"2B/3B","Tommy La Stella",2800,"SF@CHC 08:05PM ET",3.412,"CHC"
"OF","Mac Williamson",2800,"SF@CHC 08:05PM ET",4.667,"SF"
"OF","Jake Marisnick",2800,"DET@HOU 08:10PM ET",4.4,"HOU"
"2B/SS","Dixon Machado",2800,"DET@HOU 08:10PM ET",2,"DET"
"1B/C","John Hicks",2800,"DET@HOU 08:10PM ET",9.25,"DET"
"1B","Yuli Gurriel",2800,"DET@HOU 08:10PM ET",5.737,"HOU"
"2B","Micah Johnson",2800,"PIT@ATL 07:35PM ET",0,"ATL"
"2B/SS","Kelby Tomlinson",2700,"SF@CHC 08:05PM ET",2.267,"SF"
"OF","Mikie Mahtook",2700,"DET@HOU 08:10PM ET",3.316,"DET"
"SS","Jordy Mercer",2700,"PIT@ATL 07:35PM ET",4.762,"PIT"
"C","Elias Diaz",2700,"PIT@ATL 07:35PM ET",3.5,"PIT"
"2B","Phil Gosselin",2700,"PIT@ATL 07:35PM ET",1.158,"PIT"
"2B","Chris Bostick",2700,"PIT@ATL 07:35PM ET",0.667,"PIT"
"3B","Rio Ruiz",2700,"PIT@ATL 07:35PM ET",5.75,"ATL"
"OF","Jim Adduci",2600,"DET@HOU 08:10PM ET",7.5,"DET"
"SS","Jose Iglesias",2600,"DET@HOU 08:10PM ET",5.182,"DET"
"2B/OF","Aaron Hill",2500,"SF@CHC 08:05PM ET",2.667,"SF"
"2B","Gift Ngoepe",2500,"PIT@ATL 07:35PM ET",3.5,"PIT"
"OF","Gorkys Hernandez",2400,"SF@CHC 08:05PM ET",2.816,"SF"
"3B","Conor Gillaspie",2400,"SF@CHC 08:05PM ET",1.692,"SF"
"SS","Max Moroff",2400,"PIT@ATL 07:35PM ET",1.25,"PIT"
"OF","Justin Ruggiano",2300,"SF@CHC 08:05PM ET",3.583,"SF"
"C","Chris Stewart",2300,"PIT@ATL 07:35PM ET",3.154,"PIT"
"C","John Bormann",2300,"PIT@ATL 07:35PM ET",0,"PIT"
"1B/OF","Michael Morse",2200,"SF@CHC 08:05PM ET",2.056,"SF"
"OF","Eloy Jimenez",2200,"SF@CHC 08:05PM ET",0,"CHC"
"C","Anthony Recker",2200,"PIT@ATL 07:35PM ET",0.833,"ATL"
"C","Tim Federowicz",2100,"SF@CHC 08:05PM ET",1,"SF"
"2B/OF","Tony Kemp",2100,"DET@HOU 08:10PM ET",0,"HOU"
"OF","Emilio Bonifacio",2100,"PIT@ATL 07:35PM ET",1.133,"ATL"
"OF","Chris Marrero",2000,"SF@CHC 08:05PM ET",2.667,"SF"
"C","Juan Centeno",2000,"DET@HOU 08:10PM ET",0,"HOU"
"OF","Lane Adams",2000,"PIT@ATL 07:35PM ET",2.556,"ATL"
"2B/SS","Johan Camargo",2000,"PIT@ATL 07:35PM ET",1.25,"ATL"
