"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Actual"
"DST","Seahawks  (7770593)","Seahawks ",7770593,3800,"Phi@Sea 04:25PM ET","SEA","Seahawks",NA,"Phi",10.8,8.3,7
"DST","Steelers  (7770573)","Steelers ",7770573,3700,"Pit@Cle 01:00PM ET","PIT","Steelers",NA,"Cle",9.29,8.5,22
"DST","Patriots  (7770590)","Patriots ",7770590,3600,"NE@SF 04:25PM ET","NE","Patriots",NA,"SF",8.86,9.7,8
"DST","Giants  (7770585)","Giants ",7770585,3500,"Chi@NYG 01:00PM ET","NYG","Giants",NA,"Chi",10.08,9.6,9
"DST","Chiefs  (7770582)","Chiefs ",7770582,3400,"TB@KC 01:00PM ET","KC","Chiefs",NA,"TB",10.2,10.9,3
"DST","Vikings  (7770586)","Vikings ",7770586,3300,"Ari@Min 01:00PM ET","MIN","Vikings",NA,"Ari",9.44,10.9,20
"DST","Lions  (7770576)","Lions ",7770576,3200,"Jax@Det 01:00PM ET","DET","Lions",NA,"Jax",8.92,7,21
"DST","Cardinals  (7770587)","Cardinals ",7770587,3100,"Ari@Min 01:00PM ET","ARI","Cardinals",NA,"Min",9.04,8.6,6
"DST","Rams  (7770588)","Rams ",7770588,3100,"Mia@LA 04:05PM ET","LA","Rams",NA,"Mia",9.74,9.8,7
"DST","Bengals  (7770581)","Bengals ",7770581,3000,"Buf@Cin 01:00PM ET","CIN","Bengals",NA,"Buf",8.1,6.7,7
"DST","Dolphins  (7770589)","Dolphins ",7770589,2900,"Mia@LA 04:05PM ET","MIA","Dolphins",NA,"LA",7.78,9.5,7
"DST","Packers  (7770594)","Packers ",7770594,2800,"GB@Was 08:30PM ET","GB","Packers",NA,"Was",6.61,5.3,-2
"DST","Colts  (7770579)","Colts ",7770579,2700,"Ten@Ind 01:00PM ET","IND","Colts",NA,"Ten",7.12,5.2,6
"DST","Bills  (7770580)","Bills ",7770580,2700,"Buf@Cin 01:00PM ET","BUF","Bills",NA,"Cin",6.11,7.1,9
"DST","Cowboys  (7770574)","Cowboys ",7770574,2600,"Bal@Dal 01:00PM ET","DAL","Cowboys",NA,"Bal",7.6,10.6,2
"DST","Buccaneers  (7770583)","Buccaneers ",7770583,2600,"TB@KC 01:00PM ET","TB","Buccaneers",NA,"KC",5.23,6.3,5
"DST","Redskins  (7770595)","Redskins ",7770595,2600,"GB@Was 08:30PM ET","WAS","Redskins",NA,"GB",5.66,6.7,6
"DST","Ravens  (7770575)","Ravens ",7770575,2500,"Bal@Dal 01:00PM ET","BAL","Ravens",NA,"Dal",6.94,5.3,1
"DST","Bears  (7770584)","Bears ",7770584,2500,"Chi@NYG 01:00PM ET","CHI","Bears",NA,"NYG",5.26,6,2
"DST","Eagles  (7770592)","Eagles ",7770592,2500,"Phi@Sea 04:25PM ET","PHI","Eagles",NA,"Sea",7.88,8,3
"DST","Jaguars  (7770577)","Jaguars ",7770577,2400,"Jax@Det 01:00PM ET","JAX","Jaguars",NA,"Det",5.74,4.7,10
"DST","Titans  (7770578)","Titans ",7770578,2200,"Ten@Ind 01:00PM ET","TEN","Titans",NA,"Ind",6.78,6.7,4
"DST","Browns  (7770572)","Browns ",7770572,2100,"Pit@Cle 01:00PM ET","CLE","Browns",NA,"Pit",5.28,5.3,1
"DST","49ers  (7770591)","49ers ",7770591,2000,"NE@SF 04:25PM ET","SF","49ers",NA,"NE",3.28,3.9,0
