"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24"
"Charlie Blackmon_COL",NA,7,10,4,NA,NA,11,23,3,16,8,0,3,7,14,NA,7,7,NA,16,26,21,18,26,7,17,5,8,0,NA,8,16,2,3,NA,20,NA,NA,0,0,13,NA,15,NA,24,NA,NA,16,15,5,23,32,9
"Mike Trout_LAA",NA,NA,10,10,NA,7,16,6,NA,16,14,13,5,12,0,13,11,6,NA,21,14,11,10,16,10,7,26,14,7,NA,11,18,NA,7,NA,NA,NA,NA,NA,0,16,21,30,16,11,20,NA,8,8,34,4,18,12
"Bryce Harper_WAS",NA,16,NA,14,NA,NA,5,0,26,15,0,NA,NA,0,37,NA,14,46,7,25,8,10,NA,16,22,22,3,0,27,NA,11,7,4,NA,NA,NA,21,2,10,NA,NA,20,15,NA,23,0,NA,0,3,5,NA,14,4
"Kris Bryant_CHC",0,NA,0,NA,NA,12,21,18,9,NA,4,2,NA,30,0,0,15,11,NA,5,11,5,19,10,19,NA,16,16,14,2,24,6,16,16,NA,5,NA,21,5,NA,NA,NA,NA,NA,14,2,18,0,NA,39,0,7,2
"Nolan Arenado_COL",NA,12,11,3,NA,NA,19,0,6,14,4,5,0,22,14,NA,35,10,NA,0,11,7,10,7,5,14,9,7,0,NA,8,11,2,3,NA,NA,NA,5,8,25,0,2,25,NA,3,NA,NA,21,2,5,16,3,7
"Anthony Rizzo_CHC",3,NA,2,NA,NA,4,7,0,7,NA,6,19,NA,12,5,10,10,12,NA,20,29,16,13,0,25,NA,5,16,2,2,4,5,0,3,NA,13,NA,0,NA,NA,5,4,4,NA,21,7,9,5,NA,20,2,16,33
"Daniel Murphy_WAS",NA,8,NA,10,NA,NA,17,3,3,37,3,NA,NA,0,5,NA,0,6,NA,2,6,20,0,24,23,30,6,2,18,NA,9,0,5,3,NA,9,4,16,11,NA,NA,7,2,NA,NA,5,NA,19,3,17,NA,5,7
"Corey Dickerson_TB",5,NA,NA,19,8,NA,7,16,0,NA,7,6,7,NA,17,NA,0,14,NA,14,10,2,19,NA,3,NA,21,6,4,7,6,NA,3,3,NA,5,15,8,21,3,9,NA,23,4,28,21,NA,8,38,8,14,0,7
"Trea Turner_WAS",NA,10,NA,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5,7,48,28,19,8,11,7,NA,14,3,13,4,NA,0,NA,3,5,NA,NA,16,4,NA,15,5,NA,12,8,2,NA,15,17
"Matt Kemp_ATL",NA,5,NA,21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,19,NA,NA,10,2,11,46,5,17,7,5,NA,3,NA,10,NA,12,3,NA,8,3,2,24,18,6,3,22,14,8,0,7,10
"Freddie Freeman_ATL",NA,14,NA,2,0,NA,5,43,NA,5,16,NA,12,5,8,40,10,23,0,14,16,4,NA,NA,10,16,16,22,16,11,20,5,NA,4,NA,25,NA,0,16,NA,11,14,6,20,23,6,NA,NA,NA,NA,NA,NA,NA
"Ryan Zimmerman_WAS",NA,6,NA,18,NA,NA,2,NA,22,3,8,NA,NA,0,NA,NA,12,26,23,NA,7,21,16,11,26,NA,30,24,21,NA,10,10,11,22,NA,NA,0,5,0,NA,NA,12,4,NA,12,0,NA,5,0,3,NA,13,5
"Brett Gardner_NYY",3,NA,9,5,NA,27,10,2,17,NA,NA,NA,6,9,0,NA,2,7,NA,4,NA,2,NA,NA,5,NA,3,32,3,3,37,12,NA,20,NA,8,20,5,NA,NA,3,NA,26,NA,4,17,NA,11,0,21,14,NA,5
"Aaron Judge_NYY",7,NA,5,0,NA,2,NA,23,17,NA,25,2,0,NA,16,21,0,21,NA,5,21,3,NA,NA,20,2,32,34,11,5,38,24,NA,8,NA,10,NA,5,NA,7,8,NA,18,NA,11,11,6,8,25,0,4,5,5
"Cameron Maybin_LAA",NA,NA,8,7,NA,14,3,NA,NA,11,NA,9,0,7,NA,NA,0,5,NA,5,8,NA,12,2,17,NA,2,NA,0,NA,18,NA,5,10,NA,9,0,7,10,2,4,0,21,4,22,15,NA,2,9,16,28,14,2
"Mark Reynolds_COL",NA,27,12,10,NA,NA,19,0,18,2,NA,5,5,10,3,NA,5,2,NA,14,30,0,21,18,6,0,2,21,2,NA,NA,NA,9,19,NA,19,NA,6,9,15,4,3,7,NA,0,NA,NA,19,10,2,3,NA,NA
"Ender Inciarte_ATL",NA,0,NA,4,3,NA,3,0,NA,8,30,NA,21,5,21,8,0,5,0,12,0,0,NA,NA,13,15,18,19,15,19,17,2,NA,14,NA,8,NA,7,2,NA,7,0,10,7,8,10,3,16,0,5,19,15,6
"Gary Sanchez_NYY",0,NA,0,3,NA,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,17,14,NA,5,0,NA,14,NA,23,10,3,NA,17,2,0,NA,10
"DJ LeMahieu_COL",NA,0,5,4,NA,NA,0,NA,21,0,2,15,6,8,10,NA,2,10,NA,2,15,0,3,19,4,2,NA,14,2,NA,2,12,6,3,NA,2,NA,0,3,4,8,9,11,NA,3,NA,NA,27,11,27,5,2,7
"Gregory Polanco_PIT",NA,3,NA,0,NA,NA,25,5,3,9,NA,15,NA,NA,NA,NA,2,2,NA,4,0,10,2,8,5,NA,7,14,9,0,NA,7,2,12,NA,14,3,2,0,14,12,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Logan Morrison_TB",24,NA,NA,8,5,NA,0,0,14,NA,NA,7,27,3,NA,NA,5,2,NA,14,6,2,7,4,9,NA,16,NA,9,NA,19,NA,3,NA,NA,0,0,16,22,5,0,14,3,11,3,16,NA,11,11,NA,14,5,11
