"ID","Player","Pos","Team","Opp","Week","Snaps","Snap.Pct","Rush.Pct","Tgt.Pct","Touch.Pct","Util.Pct","Fantasy.Points","Points.100.Snaps"
16657,"Corey Washington","WR","NYG","IND",9,12,16,0,50,33,50,14.8,90
16341,"Marion Grice","RB","ARI","DAL",9,9,13,56,0,56,56,7.2,80
13735,"Chris Polk","RB","PHI","HOU",9,14,17,57,0,57,57,11,78.6
13030,"Brandon Bair","DE","PHI","HOU",9,5,8,0,0,0,0,0,78
16372,"Tyler Patmon","CB","DAL","ARI",9,14,22,0,0,0,0,0,71.4
13255,"Matt Asiata","RB","MIN","WAS",9,37,51,27,14,38,41,29.7,69.5
16112,"Jeremy Hill","RB","CIN","JAX",9,44,65,55,2,57,57,32.3,64.3
14922,"Margus Hunt","DE","CIN","JAX",9,9,14,0,0,0,0,0,62.2
14269,"Alfred Morris","RB","WAS","MIN",9,42,63,45,7,50,52,24.9,54.5
3807,"Ben Roethlisberger","QB","PIT","BAL",9,69,100,3,0,57,57,39.7,51.7
11940,"Lorenzo Alexander","OLB","ARI","DAL",9,5,8,0,0,0,0,0,50
16146,"Martavis Bryant","WR","PIT","BAL",9,34,49,3,15,12,18,19.7,49.1
15960,"Beau Allen","DT","PHI","HOU",9,8,13,0,0,0,0,0,48.8
13799,"Ryan Tannehill","QB","MIA","SD",9,59,78,7,0,64,64,28.22,47.8
16597,"Mike Evans","WR","TB","CLE",9,52,80,0,21,14,21,34.4,46.9
13337,"Mark Ingram","RB","NO","CAR",9,50,66,60,4,62,64,27,46
11792,"Arian Foster","RB","HOU","PHI",9,39,65,39,8,44,46,19.9,45.9
12386,"Marshawn Lynch","RB","SEA","OAK",9,58,72,36,9,45,45,31.3,45.3
15018,"Denard Robinson","RB","JAX","CIN",9,38,60,45,5,50,50,18.4,43.2
15224,"Andre Ellington","RB","ARI","DAL",9,45,67,47,9,56,56,23.4,43.1
16253,"Allen Hurns","WR","JAX","CIN",9,54,86,0,17,13,17,33.2,43
14760,"Josh Chapman","NT","IND","NYG",9,14,18,0,0,0,0,0,42.9
15048,"Travis Kelce","TE","KC","NYJ",9,30,52,0,17,13,17,16.7,42.3
14008,"Andrew Luck","QB","IND","NYG",9,75,100,3,0,64,64,33.66,40.9
1370,"James Harrison","OLB","PIT","BAL",9,42,59,0,0,0,0,0,40.5
15509,"Jaron Brown","WR","ARI","DAL",9,19,28,0,11,11,11,9.5,39.5
8914,"Jeremy Maclin","WR","PHI","HOU",9,71,86,0,10,9,10,36.8,39.2
16661,"Chris Borland","ILB","SF","LA",9,50,91,0,0,0,0,0,39
6293,"Matt Spaeth","TE","PIT","BAL",9,29,42,0,3,3,3,12.3,39
6828,"Chris Johnson","RB","NYJ","KC",9,26,38,42,12,50,54,12.1,38.8
12109,"Ted Ginn","WR","ARI","DAL",9,11,16,0,18,18,18,6.2,38.2
14729,"Ryan Davis","DE","JAX","CIN",9,21,31,0,0,0,0,0,38.1
11773,"Jason Babin","OLB","NYJ","KC",9,14,24,0,0,0,0,0,37.9
12157,"Arthur Moats","OLB","PIT","BAL",9,28,39,0,0,0,0,0,37.1
14046,"Ronnie Hillman","RB","DEN","NE",9,50,63,20,20,34,40,25.3,36.6
3808,"William Hayes","DE","LA","SF",9,32,48,0,0,0,0,0,36.6
16234,"Jonathan Newsome","OLB","IND","NYG",9,46,61,0,0,0,0,0,36.5
11357,"Henry Melton","DT","DAL","ARI",9,26,40,0,0,0,0,0,36.5
11572,"Dan Williams","NT","ARI","DAL",9,30,47,0,0,0,0,0,36.3
13474,"Michael Morgan","OLB","SEA","OAK",9,14,23,0,0,0,0,0,35.7
8670,"Robert Ayers Jr","DE","NYG","IND",9,45,60,0,0,0,0,0,35.3
13723,"Nick Foles","QB","PHI","HOU",9,20,24,5,0,65,65,8.06,35.3
13788,"Rishard Matthews","WR","MIA","SD",9,23,30,0,4,4,4,9.1,35.2
15072,"Mychal Rivera","TE","OAK","SEA",9,45,75,0,24,18,24,23.8,35.1
13997,"Coby Fleener","TE","IND","NYG",9,39,52,0,28,10,28,17.7,35.1
16129,"Taylor Gabriel","WR","CLE","TB",9,42,63,0,14,12,14,19.7,35
16065,"Jeremiah George","OLB","JAX","CIN",9,10,15,0,0,0,0,0,35
11413,"Toby Gerhart","RB","JAX","CIN",9,20,32,15,20,30,35,9.8,34
6198,"Darren Sproles","RB","PHI","HOU",9,19,23,16,26,37,42,10.3,33.2
4314,"Tom Brady","QB","NE","DEN",9,84,100,2,0,66,66,31.72,33
14973,"Markus Wheaton","WR","PIT","BAL",9,39,57,3,10,8,13,14.6,32.3
11646,"Dwan Edwards","NT","CAR","NO",9,36,47,0,0,0,0,0,32.2
14731,"Lance Dunbar","RB","DAL","ARI",9,19,30,16,11,26,26,8.1,32.1
8283,"Ryan Fitzpatrick","QB","HOU","PHI",9,60,100,10,0,55,55,20.02,31.7
12241,"Junior Galette","OLB","NO","CAR",9,46,81,0,0,0,0,0,31.7
7969,"Jamaal Charles","RB","KC","NYJ",9,47,81,43,9,47,51,16.8,31.5
14986,"DeAndre Hopkins","WR","HOU","PHI",9,56,93,0,20,11,20,26.5,31.2
16305,"De'Anthony Thomas","WR","KC","NYJ",9,10,17,10,10,20,20,4.1,31
11056,"Antonio Brown","WR","PIT","BAL",9,66,96,0,24,17,24,34.4,30.9
13791,"Lamar Miller","RB","MIA","SD",9,38,50,29,5,32,34,12.7,30.8
3943,"DeSean Jackson","WR","WAS","MIN",9,59,88,0,12,7,12,25,30.5
15207,"Benjamin Cunningham","RB","LA","SF",9,16,29,25,19,44,44,7.8,30
16209,"Jeoffrey Pagan","DE","HOU","PHI",9,10,12,0,0,0,0,0,30
16142,"Terrance West","RB","CLE","TB",9,37,55,41,3,43,43,12,29.7
4932,"Eli Manning","QB","NYG","IND",9,75,99,1,0,71,71,26.16,29.5
2428,"Carson Palmer","QB","ARI","DAL",9,67,100,3,0,54,54,20.76,29.5
13393,"Robert Quinn","DE","LA","SF",9,57,85,0,0,0,0,0,29.5
14899,"Matt Elam","SS","BAL","PIT",9,27,39,0,0,0,0,0,28.9
6078,"Brent Grimes","CB","MIA","SD",9,42,100,0,0,0,0,0,28.6
16402,"Andre Williams","RB","NYG","IND",9,37,49,32,3,35,35,11.6,28.6
15020,"CJ Anderson","RB","DEN","NE",9,18,23,17,22,33,39,8.1,28.3
13442,"Colin Jones","FS","CAR","NO",9,29,38,0,0,0,0,0,27.9
13878,"Mohamed Sanu","WR","CIN","JAX",9,59,87,2,14,9,15,20.4,27.8
8343,"Cameron Wake","DE","MIA","SD",9,32,76,0,0,0,0,0,27.8
15196,"Kenny Stills","WR","NO","CAR",9,26,34,0,31,19,31,12.2,27.7
