"Place_lo","Place_hi","Payout"
"1","1","250000"
"2","2","1e+05"
"3","3","50000"
"4","4","25000"
"5","5","10000"
"6","6","5000"
"7","7","4000"
"8","8","3000"
"9","10","2000"
"11","15","1500"
"16","20","1000"
"21","25","750"
"26","35","500"
"36","50","300"
"51","75","200"
"76","100","150"
"101","150","100"
"151","200","70"
"201","300","50"
"301","500","40"
"501","1000","30"
"1001","2000","25"
"2001","3500","20"
"3501","8000","15"
"8001","18000","10"
"18001","35000","8"
"35001","69000","6"
"69001","132100","5"
