"Place_lo","Place_hi","Payout"
"1","1","1e+05"
"2","2","50000"
"3","3","25000"
"4","4","15000"
"5","5","10000"
"6","6","7500"
"7","8","5000"
"9","10","4000"
"11","15","3000"
"16","20","2000"
"21","25","1500"
"26","35","1000"
"36","45","750"
"46","55","500"
"56","75","400"
"76","100","300"
"101","150","200"
"151","200","150"
"201","300","100"
"301","400","75"
"401","700","50"
"701","1250","40"
"1251","2500","30"
"2501","5000","25"
"5001","9000","20"
"9001","15500","15"
"15501","29750","10"
"29751","56250","8"
