"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","FreqInd","Projection_reg_split","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs"
"WR","T.Y. Hilton (7770051)","T.Y. Hilton",7770051,7700,"Ten@Ind 01:00PM ET","Ind","T.Y.","Hilton","Ten",19.06,20.3,1,0.282485875706215,1,19.6172954659711,13.9,8.1,34.4,17.2,36.1,7.9,29.3,3,14.2,NA,"Hilton, T.Y.",56,100,5,1,1
"QB","Aaron Rodgers (7769907)","Aaron Rodgers",7769907,7600,"GB@Was 08:30PM ET","GB","Aaron","Rodgers","Was",22.24,21,NA,NA,0,21.4567594320003,23.6,19.4,26.4,NA,17.9,14.5,27.7,33.8,27.2,32.5,"Rodgers, Aaron",NA,NA,NA,NA,NA
"QB","Ben Roethlisberger (7769851)","Ben Roethlisberger",7769851,7500,"Pit@Cle 01:00PM ET","Pit","Ben","Roethlisberger","Cle",20.34,21.3,NA,NA,0,20.7409061694208,25.8,21.8,9,36.9,33.2,11.6,NA,NA,19.9,31.4,"Roethlisberger, Ben",NA,NA,NA,NA,NA
"WR","Allen Robinson (7770047)","Allen Robinson",7770047,7400,"Jax@Det 01:00PM ET","Jax","Allen","Robinson","Det",16.89,17.4,1,0.25,1,17.0696948472952,13.2,8.4,24.7,16.5,NA,7.9,2.9,13,20.6,30.7,"Robinson, Allen",48,98,5,1,1
"WR","Dez Bryant (7770029)","Dez Bryant",7770029,7200,"Bal@Dal 01:00PM ET","Dal","Dez","Bryant","Bal",17.24,14.1,3,0.179930795847751,1,15.4704185059079,1.8,20.2,13,NA,NA,NA,NA,24.3,2.9,26.6,"Bryant, Dez",22,52,4,4,1
"QB","Andrew Luck (7769869)","Andrew Luck",7769869,7200,"Ten@Ind 01:00PM ET","Ind","Andrew","Luck","Ten",23.3,19.9,NA,NA,0,21.3585491366996,38.5,12.1,18.2,18.7,25.2,24.4,30.8,20.4,14.7,NA,"Luck, Andrew",NA,NA,NA,NA,NA
"WR","Larry Fitzgerald (7770094)","Larry Fitzgerald",7770094,7100,"Ari@Min 01:00PM ET","Ari","Larry","Fitzgerald","Min",17.16,16.9,1,0.268229166666667,1,16.9274044653554,28.1,20.1,13,11.3,26.1,10.9,16,17.4,NA,28.3,"Fitzgerald, Larry",71,103,6,1,1
"TE","Rob Gronkowski (7770223)","Rob Gronkowski",7770223,7100,"NE@SF 04:25PM ET","NE","Rob","Gronkowski","SF",0,0,4,0.128289473684211,1,0,NA,NA,NA,2.1,18.9,32.2,19.3,24.9,NA,8.6,"Gronkowski, Rob",25,39,3,4,2
"WR","Stefon Diggs (7770102)","Stefon Diggs",7770102,7000,"Ari@Min 01:00PM ET","Min","Stefon","Diggs","Ari",18.84,16.8,1,0.261829652996845,1,17.648541269045,20.2,36.2,8,9.6,NA,NA,3.8,21.6,22.2,32.4,"Diggs, Stefon",62,83,2,1,2
"RB","LeSean McCoy (7769949)","LeSean McCoy",7769949,6900,"Buf@Cin 01:00PM ET","Buf","LeSean","McCoy","Cin",17.21,18.2,4,0.108695652173913,1,17.6440355652981,17,13,29.6,22.8,20.8,37.2,1.1,NA,16,NA,"McCoy, LeSean",25,30,1,3,3
"WR","Alshon Jeffery (7770088)","Alshon Jeffery",7770088,6900,"Chi@NYG 01:00PM ET","Chi","Alshon","Jeffery","NYG",0,0,1,0.227692307692308,1,0,17.5,14.6,12,7.6,12.7,16.3,6.3,16.3,NA,8.7,"Jeffery, Alshon",41,74,1,2,4
"RB","Jay Ajayi (7769982)","Jay Ajayi",7769982,6800,"Mia@LA 04:05PM ET","Mia","Jay","Ajayi","LA",17.72,15.6,5,0.060377358490566,1,16.4919866968071,NA,7.5,8.8,6.6,10.2,36.7,31.6,NA,25,9,"Ajayi, Jay",13,16,1,4,4
"QB","Marcus Mariota (7769870)","Marcus Mariota",7769870,6700,"Ten@Ind 01:00PM ET","Ten","Marcus","Mariota","Ind",19.69,18.9,NA,NA,0,19.1607957084157,18.7,17.6,7.8,9.1,30.5,28.8,17.7,19.9,31.9,28.6,"Mariota, Marcus",NA,NA,NA,NA,NA
"WR","Davante Adams (7770147)","Davante Adams",7770147,6700,"GB@Was 08:30PM ET","GB","Davante","Adams","Was",15.69,10.3,2,0.204663212435233,1,12.728469931555,14,4.6,10.3,NA,19.5,5.4,41.2,19.4,14.1,24.6,"Adams, Davante",52,79,6,1,2
"QB","Matthew Stafford (7769864)","Matthew Stafford",7769864,6600,"Jax@Det 01:00PM ET","Det","Matthew","Stafford","Jax",19.42,18.1,NA,NA,0,18.6095052634779,29.1,16.5,30.5,10.2,19.8,28.2,17.8,13.6,15.8,NA,"Stafford, Matthew",NA,NA,NA,NA,NA
"WR","Jarvis Landry (7770110)","Jarvis Landry",7770110,6600,"Mia@LA 04:05PM ET","Mia","Jarvis","Landry","LA",16.65,14.9,1,0.29811320754717,1,15.6252442541258,12.9,25.7,29.6,13.1,6,16.1,14.8,NA,6.3,11.3,"Landry, Jarvis",58,79,1,1,4
"RB","LeGarrette Blount (7769990)","LeGarrette Blount",7769990,6400,"NE@SF 04:25PM ET","NE","LeGarrette","Blount","SF",16.24,15.4,8,0.0197368421052632,1,15.7029938714832,12,21.3,25.5,8.8,9.7,15,29.4,10.3,NA,24.9,"Blount, LeGarrette",6,6,0,8,7
"QB","Eli Manning (7769884)","Eli Manning",7769884,6300,"Chi@NYG 01:00PM ET","NYG","Eli","Manning","Chi",18.63,17.7,NA,NA,0,18.031901463856,19.3,16.3,19,9.4,11.1,29.1,7.6,NA,23.9,20,"Manning, Eli",NA,NA,NA,NA,NA
"WR","Julian Edelman (7770120)","Julian Edelman",7770120,6300,"NE@SF 04:25PM ET","NE","Julian","Edelman","SF",15.07,19.1,1,0.25,1,17.1376552197957,15.2,14.6,9.2,2.7,8.5,7.8,14,13.7,NA,15.9,"Edelman, Julian",51,76,1,1,6
"WR","Donte Moncrief (7770057)","Donte Moncrief",7770057,6100,"Ten@Ind 01:00PM ET","Ind","Donte","Moncrief","Ten",13.94,15.2,7,0.0706214689265537,1,14.5359765678914,18.4,1.9,NA,NA,NA,NA,NA,14,14.5,NA,"Moncrief, Donte",15,25,4,7,2
"QB","Russell Wilson (7769904)","Russell Wilson",7769904,6100,"Phi@Sea 04:25PM ET","Sea","Russell","Wilson","Phi",19.27,18.6,13,0.00353356890459364,0,18.8071163007739,13.9,11.6,14,26.9,NA,11.5,9.7,10.2,26.3,29.5,"Wilson, Russell",1,1,0,11,4
"QB","Dak Prescott (7769861)","Dak Prescott",7769861,6000,"Bal@Dal 01:00PM ET","Dal","Dak","Prescott","Bal",18.05,15.7,NA,NA,0,16.6974708703352,10.3,18.3,23.5,18.1,18.5,20.5,NA,28.3,23.9,22.8,"Prescott, Dak",NA,NA,NA,NA,NA
"WR","Steve Smith Sr. (7770026)","Steve Smith",7770026,6000,"Bal@Dal 01:00PM ET","Bal","Steve","Smith","Dal",13.55,13.8,3,0.147368421052632,1,13.6092512398077,6.9,9.4,16.7,28.1,5.9,NA,NA,NA,10.7,17,"Smith, Steve",37,56,2,3,2
"RB","Spencer Ware (7769960)","Spencer Ware",7769960,6000,"TB@KC 01:00PM ET","KC","Spencer","Ware","TB",16.05,18.5,6,0.0790273556231003,1,17.2693263440823,35.9,11.5,8.3,9.6,NA,27.3,21.1,6.7,NA,10.2,"Ware, Spencer",21,26,1,5,4
