"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","FreqInd","Projection_reg_split","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs"
"QB","AJ McCarron (7769874)","AJ McCarron",7769874,5000,"Buf@Cin 01:00PM ET","Cin","AJ","McCarron","Buf",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"McCarron, AJ",NA,NA,NA,NA,NA
"QB","Jeff Driskel (7769875)","Jeff Driskel",7769875,5000,"Buf@Cin 01:00PM ET","Cin","Jeff","Driskel","Buf",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Driskel, Jeff",NA,NA,NA,NA,NA
"QB","Cardale Jones (7769876)","Cardale Jones",7769876,5000,"Buf@Cin 01:00PM ET","Buf","Cardale","Jones","Cin",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, Cardale",NA,NA,NA,NA,NA
"QB","Nick Foles (7769878)","Nick Foles",7769878,5000,"TB@KC 01:00PM ET","KC","Nick","Foles","TB",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,16.8,11.2,NA,"Foles, Nick",NA,NA,NA,NA,NA
"QB","Mike Glennon (7769879)","Mike Glennon",7769879,5000,"TB@KC 01:00PM ET","TB","Mike","Glennon","KC",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"Glennon, Mike",NA,NA,NA,NA,NA
"QB","Ryan Griffin (7769880)","Ryan Griffin",7769880,5000,"TB@KC 01:00PM ET","TB","Ryan","Griffin","KC",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Griffin, Ryan",NA,NA,NA,NA,NA
"QB","Tyler Bray (7769881)","Tyler Bray",7769881,5000,"TB@KC 01:00PM ET","KC","Tyler","Bray","TB",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bray, Tyler",NA,NA,NA,NA,NA
"RB","Charcandrick West (7769963)","Charcandrick West",7769963,5000,"TB@KC 01:00PM ET","KC","Charcandrick","West","TB",5.38,6.4,6,0.0790273556231003,0,5.89476114489581,8.3,7.3,4.1,NA,NA,1.9,1.8,8,10.4,4,"West, Charcandrick",20,26,0,6,6
"QB","Josh Johnson (7769885)","Josh Johnson",7769885,5000,"Chi@NYG 01:00PM ET","NYG","Josh","Johnson","Chi",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Johnson, Josh",NA,NA,NA,NA,NA
"QB","Ryan Nassib (7769886)","Ryan Nassib",7769886,5000,"Chi@NYG 01:00PM ET","NYG","Ryan","Nassib","Chi",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nassib, Ryan",NA,NA,NA,NA,NA
"QB","Matt Barkley (7769887)","Matt Barkley",7769887,5000,"Chi@NYG 01:00PM ET","Chi","Matt","Barkley","NYG",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barkley, Matt",NA,NA,NA,NA,NA
"QB","Shaun Hill (7769888)","Shaun Hill",7769888,5000,"Ari@Min 01:00PM ET","Min","Shaun","Hill","Ari",0,0,NA,NA,0,0,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hill, Shaun",NA,NA,NA,NA,NA
"QB","Drew Stanton (7769890)","Drew Stanton",7769890,5000,"Ari@Min 01:00PM ET","Ari","Drew","Stanton","Min",0,0,NA,NA,0,0,NA,0.4,NA,-0.5,12.8,0.4,NA,NA,NA,NA,"Stanton, Drew",NA,NA,NA,NA,NA
"QB","Taylor Heinicke (7769892)","Taylor Heinicke",7769892,5000,"Ari@Min 01:00PM ET","Min","Taylor","Heinicke","Ari",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heinicke, Taylor",NA,NA,NA,NA,NA
"QB","Matt Moore (7769893)","Matt Moore",7769893,5000,"Mia@LA 04:05PM ET","Mia","Matt","Moore","LA",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moore, Matt",NA,NA,NA,NA,NA
"QB","Case Keenum (7769894)","Case Keenum",7769894,5000,"Mia@LA 04:05PM ET","LA","Case","Keenum","Mia",0,0,NA,NA,0,0,4.2,10.1,14.7,19,8.8,33.5,11.9,NA,14.8,7.7,"Keenum, Case",NA,NA,NA,NA,NA
"QB","Sean Mannion (7769896)","Sean Mannion",7769896,5000,"Mia@LA 04:05PM ET","LA","Sean","Mannion","Mia",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mannion, Sean",NA,NA,NA,NA,NA
"QB","Jared Goff (7769897)","Jared Goff",7769897,5000,"Mia@LA 04:05PM ET","LA","Jared","Goff","Mia",13.9,13,NA,NA,0,13.3437841808773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Goff, Jared",NA,NA,NA,NA,NA
"RB","Todd Gurley (7769986)","Todd Gurley",7769986,5000,"Mia@LA 04:05PM ET","LA","Todd","Gurley","Mia",14.32,14.8,5,0.107936507936508,1,14.4977491579932,5.2,8,21,13.2,18.8,13.7,15.2,NA,11.4,8.2,"Gurley, Todd",27,34,0,4,5
"QB","Christian Ponder (7769900)","Christian Ponder",7769900,5000,"NE@SF 04:25PM ET","SF","Christian","Ponder","NE",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ponder, Christian",NA,NA,NA,NA,NA
"QB","Blaine Gabbert (7769901)","Blaine Gabbert",7769901,5000,"NE@SF 04:25PM ET","SF","Blaine","Gabbert","NE",0,0,13,0.00357142857142857,0,0,14.5,22.7,6,13.5,21.5,NA,NA,NA,NA,NA,"Gabbert, Blaine",1,1,0,13,6
"QB","Jimmy Garoppolo (7769902)","Jimmy Garoppolo",7769902,5000,"NE@SF 04:25PM ET","NE","Jimmy","Garoppolo","SF",0,0,11,0.00328947368421053,0,0,16.1,21.4,NA,NA,-0.3,NA,NA,-0.1,NA,NA,"Garoppolo, Jimmy",1,1,0,10,7
"QB","Chase Daniel (7769903)","Chase Daniel",7769903,5000,"Phi@Sea 04:25PM ET","Phi","Chase","Daniel","Sea",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Daniel, Chase",NA,NA,NA,NA,NA
"QB","Trevone Boykin (7769905)","Trevone Boykin",7769905,5000,"Phi@Sea 04:25PM ET","Sea","Trevone","Boykin","Phi",0,0,NA,NA,0,0,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,"Boykin, Trevone",NA,NA,NA,NA,NA
"QB","Carson Wentz (7769906)","Carson Wentz",7769906,5000,"Phi@Sea 04:25PM ET","Phi","Carson","Wentz","Sea",13.26,14.4,NA,NA,0,13.7956738838197,19.2,12.6,24,NA,17.9,7.4,9.1,11.8,15.2,9.2,"Wentz, Carson",NA,NA,NA,NA,NA
"QB","Colt McCoy (7769908)","Colt McCoy",7769908,5000,"GB@Was 08:30PM ET","Was","Colt","McCoy","GB",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"McCoy, Colt",NA,NA,NA,NA,NA
"QB","Brett Hundley (7769910)","Brett Hundley",7769910,5000,"GB@Was 08:30PM ET","GB","Brett","Hundley","Was",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,"Hundley, Brett",NA,NA,NA,NA,NA
"QB","Nate Sudfeld (7769911)","Nate Sudfeld",7769911,5000,"GB@Was 08:30PM ET","Was","Nate","Sudfeld","GB",0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudfeld, Nate",NA,NA,NA,NA,NA
"WR","Robert Woods (7770068)","Robert Woods",7770068,4900,"Buf@Cin 01:00PM ET","Buf","Robert","Woods","Cin",12.63,11.6,1,0.221014492753623,1,12.0113740468476,6,2,11.1,15.9,4.6,16,NA,9,29.2,NA,"Woods, Robert",40,61,1,1,3
"RB","Carlos Hyde (7769993)","Carlos Hyde",7769993,4900,"NE@SF 04:25PM ET","SF","Carlos","Hyde","NE",14,12,6,0.0535714285714286,1,12.8563610140248,23.3,7.2,28.5,14.9,23.4,5.2,NA,NA,NA,1.4,"Hyde, Carlos",13,15,0,6,6
"RB","James White (7769994)","James White",7769994,4800,"NE@SF 04:25PM ET","NE","James","White","SF",9.56,11.9,2,0.171052631578947,0,10.7561443945444,9.4,4.9,2.4,11.2,12.9,26.6,11.2,4.9,NA,7.7,"White, James",35,52,3,3,2
"WR","DeSean Jackson (7770139)","DeSean Jackson",7770139,4800,"GB@Was 08:30PM ET","Was","DeSean","Jackson","GB",12,12.3,4,0.167123287671233,1,12.0944072053151,19.2,7,20.6,1.5,6.5,9.5,8.5,7.8,NA,NA,"Jackson, DeSean",30,61,1,4,4
"WR","Corey Coleman (7770024)","Corey Coleman",7770024,4700,"Pit@Cle 01:00PM ET","Cle","Corey","Coleman","Pit",11.8,13.9,7,0.0714285714285714,1,12.855844053827,8.9,30.4,NA,NA,NA,NA,NA,NA,7.1,4.7,"Coleman, Corey",13,25,2,7,3
"RB","Alfred Morris (7769919)","Alfred Morris",7769919,4700,"Bal@Dal 01:00PM ET","Dal","Alfred","Morris","Bal",2.56,3.5,9,0.013840830449827,0,3.04750697637344,3.5,6.7,9.1,3.4,3.3,0.2,NA,0.6,5.6,2.9,"Morris, Alfred",2,4,0,10,8
"TE","Travis Kelce (7770191)","Travis Kelce",7770191,4700,"TB@KC 01:00PM ET","KC","Travis","Kelce","TB",13.86,12.5,1,0.179331306990881,1,13.0585821059338,13.4,8.4,20.9,13.3,NA,6.2,4.4,26.1,10.8,8.1,"Kelce, Travis",42,59,3,1,2
"WR","Sterling Shepard (7770092)","Sterling Shepard",7770092,4700,"Chi@NYG 01:00PM ET","NYG","Sterling","Shepard","Chi",11.67,11.6,2,0.172701949860724,1,11.5688088039974,13.3,22.7,18.3,7,3.4,6.5,8.2,NA,14,15.2,"Shepard, Sterling",41,62,4,2,2
"WR","J.J. Nelson (7770099)","J.J. Nelson",7770099,4700,"Ari@Min 01:00PM ET","Ari","J.J.","Nelson","Min",9.22,9.5,5,0.0859375,0,9.31894562654306,2.1,NA,NA,3.4,NA,5.9,11.8,27.9,NA,3.9,"Nelson, J.J.",18,33,2,5,3
"WR","Chris Hogan (7770124)","Chris Hogan",7770124,4700,"NE@SF 04:25PM ET","NE","Chris","Hogan","SF",0,0,5,0.115131578947368,0,0,15,9.9,1.3,NA,18.6,4.9,3.5,19.1,NA,NA,"Hogan, Chris",19,35,2,5,5
"RB","Giovani Bernard (7769952)","Giovani Bernard",7769952,4600,"Buf@Cin 01:00PM ET","Cin","Giovani","Bernard","Buf",11.47,11.5,3,0.146788990825688,1,11.4232553404387,5,28.7,9.4,7.2,15.6,13.4,15.7,13.6,NA,6.6,"Bernard, Giovani",39,48,1,2,3
"WR","Tyreek Hill (7770082)","Tyreek Hill",7770082,4500,"TB@KC 01:00PM ET","KC","Tyreek","Hill","TB",11.77,12.3,4,0.121580547112462,0,11.9883759492155,7.9,2.7,5.3,13.2,NA,4,13.1,21.5,6.2,20.1,"Hill, Tyreek",32,40,4,2,1
"RB","Darren Sproles (7769997)","Darren Sproles",7769997,4500,"Phi@Sea 04:25PM ET","Phi","Darren","Sproles","Sea",11.64,7.6,3,0.154605263157895,1,9.42088378822734,5.6,6.8,27.7,NA,10.8,3.4,6.9,15.3,10.1,15.6,"Sproles, Darren",33,47,1,2,2
"RB","Terrance West (7769923)","Terrance West",7769923,4400,"Bal@Dal 01:00PM ET","Bal","Terrance","West","Dal",10.02,7.4,7,0.0578947368421053,0,8.56735019832111,5.8,6.7,6.3,20.3,10.9,28.3,1,NA,3.7,8.7,"West, Terrance",13,22,0,7,6
"RB","Jeremy Hill (7769953)","Jeremy Hill",7769953,4400,"Buf@Cin 01:00PM ET","Cin","Jeremy","Hill","Buf",10.36,9.4,7,0.036697247706422,1,9.79113948112937,9.1,8.9,21.7,7.1,1.2,5.1,30.2,14.3,NA,10.6,"Hill, Jeremy",8,12,0,8,5
"RB","Rob Kelley (7770009)","Rob Kelley",7770009,4400,"GB@Was 08:30PM ET","Was","Rob","Kelley","GB",0,10.4,11,0.010958904109589,0,5.54864661502058,NA,NA,0.7,0.4,1.8,5.9,8.6,14.7,NA,10.5,"Kelley, Rob",2,4,1,10,4
"WR","Eli Rogers (7770021)","Eli Rogers",7770021,4300,"Pit@Cle 01:00PM ET","Pit","Eli","Rogers","Cle",11.2,9,5,0.0938337801608579,1,9.96497458343019,17.9,1.9,5.2,NA,NA,7.5,NA,NA,19.3,14.2,"Rogers, Eli",23,35,2,4,4
"RB","Thomas Rawls (7770002)","Thomas Rawls",7770002,4300,"Phi@Sea 04:25PM ET","Sea","Thomas","Rawls","Phi",9.7,5.9,8,0.0212014134275618,0,7.61954288123026,8.8,3.8,NA,NA,NA,NA,NA,NA,NA,NA,"Rawls, Thomas",6,6,0,7,4
"WR","Kendall Wright (7770050)","Kendall Wright",7770050,4200,"Ten@Ind 01:00PM ET","Ten","Kendall","Wright","Ind",9.72,7.6,5,0.088145896656535,0,8.53575330252697,NA,NA,NA,3.4,1.9,30.3,3.2,19.9,8.4,8.8,"Wright, Kendall",21,29,3,5,3
"RB","Ryan Mathews (7769999)","Ryan Mathews",7769999,4200,"Phi@Sea 04:25PM ET","Phi","Ryan","Mathews","Sea",8.74,8.1,7,0.0361842105263158,1,8.35072980694212,13.7,16.5,-0.5,NA,17.5,6,8.3,8.1,8.5,32.9,"Mathews, Ryan",11,11,1,7,2
"RB","C.J. Prosise (7770003)","C.J. Prosise",7770003,4200,"Phi@Sea 04:25PM ET","Sea","C.J.","Prosise","Phi",12.78,12.8,6,0.0600706713780919,0,12.7207533216222,2.1,NA,NA,NA,NA,NA,3.7,14.3,2.5,22.3,"Prosise, C.J.",16,17,0,5,4
"RB","James Starks (7770006)","James Starks",7770006,4200,"GB@Was 08:30PM ET","GB","James","Starks","Was",12.47,13.2,7,0.0362694300518135,0,12.7912511138116,2.3,2.9,1.8,NA,8.2,NA,NA,NA,NA,13.4,"Starks, James",9,14,1,6,4
"WR","Allen Hurns (7770043)","Allen Hurns",7770043,4100,"Jax@Det 01:00PM ET","Jax","Allen","Hurns","Det",11.82,12,2,0.176020408163265,0,11.8513691083858,11.5,11.4,8,12.7,NA,12.4,8.5,22.8,NA,3.3,"Hurns, Allen",33,69,2,3,3
"TE","Eric Ebron (7770170)","Eric Ebron",7770170,4100,"Jax@Det 01:00PM ET","Det","Eric","Ebron","Jax",13.41,10.3,5,0.132530120481928,1,11.6773774797858,15.6,9.3,11.9,8.2,NA,NA,NA,14.9,16.2,NA,"Ebron, Eric",34,44,2,5,5
"RB","Mike Gillislee (7769951)","Mike Gillislee",7769951,4100,"Buf@Cin 01:00PM ET","Buf","Mike","Gillislee","Cin",5.22,4.6,7,0.036231884057971,0,4.8606575877185,0.6,8.8,2,5.3,6.6,12,2,18.4,11.6,NA,"Gillislee, Mike",9,10,1,6,3
"WR","Cameron Meredith (7770090)","Cameron Meredith",7770090,4100,"Chi@NYG 01:00PM ET","Chi","Cameron","Meredith","NYG",13.38,10.1,3,0.138461538461538,1,11.5568425733502,NA,NA,3.4,6.8,30.6,25.3,2.2,3.4,NA,12,"Meredith, Cameron",30,45,2,4,2
"WR","John Brown (7770098)","John Brown",7770098,4100,"Ari@Min 01:00PM ET","Ari","John","Brown","Min",10.99,9.9,3,0.143229166666667,0,10.3483347782412,1.8,2.4,13,27.4,2.1,10.4,NA,14.9,NA,6,"Brown, John",30,55,1,3,4
"WR","DeVante Parker (7770111)","DeVante Parker",7770111,4100,"Mia@LA 04:05PM ET","Mia","DeVante","Parker","LA",10.19,12.4,2,0.181132075471698,1,11.3133396916562,NA,21.6,14.1,4,9,7.8,5,NA,2.8,18.3,"Parker, DeVante",31,48,1,2,4
"WR","Marqise Lee (7770045)","Marqise Lee",7770045,4000,"Jax@Det 01:00PM ET","Jax","Marqise","Lee","Det",9.85,9.1,3,0.150510204081633,0,9.39596958197039,4.2,12.5,9.4,6.8,NA,12.1,20.7,2.1,13.5,9.6,"Lee, Marqise",40,59,0,2,9
"WR","Brandon LaFell (7770061)","Brandon LaFell",7770061,4000,"Buf@Cin 01:00PM ET","Cin","Brandon","LaFell","Buf",9.42,7,2,0.149847094801223,0,8.07733743634664,13.1,6.9,5.2,8.4,26.8,9.3,18.3,1.6,NA,1.9,"LaFell, Brandon",29,49,4,3,1
"RB","Jeremy Langford (7769967)","Jeremy Langford",7769967,4000,"Chi@NYG 01:00PM ET","Chi","Jeremy","Langford","NYG",5.35,5,7,0.0492307692307692,0,5.1339977828809,14.3,9.4,6.6,NA,NA,NA,NA,2.1,NA,6.6,"Langford, Jeremy",11,16,0,7,6
"WR","Michael Floyd (7770096)","Michael Floyd",7770096,4000,"Ari@Min 01:00PM ET","Ari","Michael","Floyd","Min",7.9,10.6,4,0.1328125,0,9.29729450190508,9.1,8.8,10.5,12.6,NA,10.2,11.5,NA,NA,18.1,"Floyd, Michael",26,51,3,4,2
"RB","Benny Cunningham (7769981)","Benny Cunningham",7769981,4000,"Mia@LA 04:05PM ET","LA","Benny","Cunningham","Mia",3.71,8.2,6,0.0571428571428571,0,6.08522470788996,1.8,1.9,4.9,NA,NA,4.3,1.9,NA,9.2,7.7,"Cunningham, Benny",14,18,0,6,5
"RB","DuJuan Harris (7769989)","DuJuan Harris",7769989,4000,"NE@SF 04:25PM ET","SF","DuJuan","Harris","NE",3.48,6.6,8,0.0321428571428571,0,5.12555551101804,NA,NA,NA,NA,NA,NA,NA,NA,24.2,1.4,"Harris, DuJuan",7,9,1,8,4
"RB","Isaiah Crowell (7769916)","Isaiah Crowell",7769916,3900,"Pit@Cle 01:00PM ET","Cle","Isaiah","Crowell","Pit",10.61,13.1,6,0.0828571428571429,1,11.8804285844911,15.8,24.8,7.9,25.4,5,5.6,16.9,14.3,10.7,8.3,"Crowell, Isaiah",22,29,0,5,6
"WR","Sammie Coates (7770020)","Sammie Coates",7770020,3900,"Pit@Cle 01:00PM ET","Pit","Sammie","Coates","Cle",5.38,2.5,4,0.107238605898123,0,3.8140186642631,7.6,12.3,8,13.8,34.9,NA,1.4,NA,NA,NA,"Coates, Sammie",20,40,2,5,4
"RB","Kenneth Dixon (7769925)","Kenneth Dixon",7769925,3900,"Bal@Dal 01:00PM ET","Bal","Kenneth","Dixon","Dal",9.13,8.5,10,0.0315789473684211,0,8.74393142204311,NA,NA,NA,NA,1.5,2.2,0.9,NA,3.3,13,"Dixon, Kenneth",10,12,0,8,6
"RB","Peyton Barber (7769962)","Peyton Barber",7769962,3900,"TB@KC 01:00PM ET","TB","Peyton","Barber","KC",3.47,5.1,11,0.0169971671388102,0,4.3206598869309,NA,NA,NA,NA,0.6,NA,14.4,0.1,9.5,3.8,"Barber, Peyton",4,6,0,10,8
"WR","Russell Shepard (7770073)","Russell Shepard",7770073,3900,"TB@KC 01:00PM ET","TB","Russell","Shepard","KC",0,4.4,6,0.0424929178470255,0,2.34750433712409,0.9,3.6,1.6,NA,NA,NA,18.7,10.4,NA,NA,"Shepard, Russell",10,15,2,6,3
"WR","Adam Humphries (7770079)","Adam Humphries",7770079,3900,"TB@KC 01:00PM ET","TB","Adam","Humphries","KC",8.87,9.9,2,0.1671388101983,0,9.37100320028036,7.1,12.7,22,1.4,4.1,NA,4.3,8.8,15.6,9.8,"Humphries, Adam",40,59,1,2,4
"RB","Ka'Deem Carey (7769968)","Ka'Deem Carey",7769968,3900,"Chi@NYG 01:00PM ET","Chi","Ka'Deem","Carey","NYG",2.47,2.8,NA,NA,0,2.63254988576831,0.4,1.6,NA,NA,2.7,5,6.7,0.3,NA,2.5,"Carey, Ka'Deem",NA,NA,NA,NA,NA
"RB","Paul Perkins (7769970)","Paul Perkins",7769970,3900,"Chi@NYG 01:00PM ET","NYG","Paul","Perkins","Chi",8,8.7,8,0.0389972144846797,0,8.32969999336809,NA,NA,NA,10,3.2,4.6,2.6,NA,7.7,3.1,"Perkins, Paul",9,14,0,8,7
"TE","Kyle Rudolph (7770210)","Kyle Rudolph",7770210,3900,"Ari@Min 01:00PM ET","Min","Kyle","Rudolph","Ari",12.23,10.1,2,0.214511041009464,1,11.0266862928525,10.5,12.1,20,16.5,3.5,NA,10.5,8.1,7.1,17.9,"Rudolph, Kyle",37,68,5,2,1
"RB","Damien Williams (7769984)","Damien Williams",7769984,3900,"Mia@LA 04:05PM ET","Mia","Damien","Williams","LA",3.79,5,4,0.0641509433962264,0,4.41482926324935,4.8,NA,11.5,2.5,9,9.7,7.6,NA,6.9,15,"Williams, Damien",13,17,2,4,2
"WR","Tavon Austin (7770108)","Tavon Austin",7770108,3900,"Mia@LA 04:05PM ET","LA","Tavon","Austin","Mia",10.31,11,1,0.228571428571429,0,10.6217271488367,5.5,10.6,21.4,2.8,15.5,5.6,22.7,NA,2.8,4.9,"Austin, Tavon",39,72,2,2,3
"WR","Pierre Garcon (7770140)","Pierre Garcon",7770140,3900,"GB@Was 08:30PM ET","Was","Pierre","Garcon","GB",11.36,10.5,1,0.186301369863014,0,10.8390210267127,11.1,4.5,10.9,7.9,16.6,13.7,4.2,12.7,NA,14.1,"Garcon, Pierre",43,68,1,3,4
"RB","Duke Johnson Jr. (7769918)","Duke Johnson",7769918,3800,"Pit@Cle 01:00PM ET","Cle","Duke","Johnson","Pit",10.47,11.2,3,0.157142857142857,1,10.8021927652416,8,9.6,13.1,13.4,4.2,17.4,7.3,17.6,6.6,6.1,"Johnson, Duke",40,55,0,2,6
"WR","Anquan Boldin (7770037)","Anquan Boldin",7770037,3800,"Jax@Det 01:00PM ET","Det","Anquan","Boldin","Jax",9.58,8.7,3,0.156626506024096,0,9.05808862222568,6.5,14.8,12.2,9.1,8.8,20,11.8,1.4,9,NA,"Boldin, Anquan",38,52,6,2,1
"TE","Cameron Brate (7770194)","Cameron Brate",7770194,3800,"TB@KC 01:00PM ET","TB","Cameron","Brate","KC",9.29,9.9,3,0.147308781869688,1,9.56462549402732,6,4.6,21.6,11.7,4.8,NA,5.9,11.2,15.3,21.4,"Brate, Cameron",35,52,6,3,2
"TE","Zach Miller (7770198)","Zach Miller",7770198,3800,"Chi@NYG 01:00PM ET","Chi","Zach","Miller","NYG",11.71,12.7,2,0.187692307692308,1,12.1741251067305,4.4,7.3,27.8,12.1,14.3,9.6,6,15.8,NA,7.2,"Miller, Zach",45,61,3,1,1
"RB","Matt Asiata (7769972)","Matt Asiata",7769972,3800,"Ari@Min 01:00PM ET","Min","Matt","Asiata","Ari",8.25,9.6,5,0.0757097791798107,0,8.92512270037813,1.3,3.5,2.9,9.8,19.1,NA,14,9.8,6.1,8.5,"Asiata, Matt",19,24,0,5,5
"WR","Adam Thielen (7770104)","Adam Thielen",7770104,3800,"Ari@Min 01:00PM ET","Min","Adam","Thielen","Ari",8.73,8.1,3,0.138801261829653,0,8.3461197523291,9.4,8.1,5.9,4.1,28.7,NA,7.2,7,10.8,12.2,"Thielen, Adam",33,44,2,3,2
"WR","Victor Cruz (7770084)","Victor Cruz",7770084,3700,"Chi@NYG 01:00PM ET","NYG","Victor","Cruz","Chi",7.75,9.2,3,0.119777158774373,0,8.48121048453389,13.4,12.1,10,10,NA,6.1,10.5,NA,5.6,NA,"Cruz, Victor",25,43,1,4,4
"TE","Martellus Bennett (7770221)","Martellus Bennett",7770221,3700,"NE@SF 04:25PM ET","NE","Martellus","Bennett","SF",14.89,12.7,2,0.171052631578947,1,13.6401224736717,4.4,25.4,3.6,18.9,30.7,9.8,1.5,7.5,NA,20.2,"Bennett, Martellus",39,52,4,2,1
"RB","Wendell Smallwood (7770004)","Wendell Smallwood",7770004,3700,"Phi@Sea 04:25PM ET","Phi","Wendell","Smallwood","Sea",0,3.5,9,0.0131578947368421,0,1.86733299543962,0.1,1.6,13.9,NA,NA,9,1.3,-1.5,2.5,7,"Smallwood, Wendell",1,4,0,10,7
"TE","Dennis Pitta (7770160)","Dennis Pitta",7770160,3600,"Bal@Dal 01:00PM ET","Bal","Dennis","Pitta","Dal",11.24,11.5,2,0.178947368421053,1,11.3172240843391,6.9,22.2,10.2,4.7,12.9,9.6,8,NA,3.4,8.6,"Pitta, Dennis",47,68,0,1,6
"RB","Chris Ivory (7769930)","Chris Ivory",7769930,3600,"Jax@Det 01:00PM ET","Jax","Chris","Ivory","Det",8.77,6.2,7,0.0357142857142857,0,7.35086491611397,NA,NA,3.3,2.9,NA,11.5,7.1,2.2,13.7,6.1,"Ivory, Chris",9,14,0,7,9
"RB","Rashad Jennings (7769964)","Rashad Jennings",7769964,3600,"Chi@NYG 01:00PM ET","NYG","Rashad","Jennings","Chi",11.31,12.6,7,0.0557103064066852,0,11.9363705509113,8.8,6,NA,NA,NA,7.5,12.9,NA,6.9,13.9,"Jennings, Rashad",15,20,0,6,7
"WR","Kenny Stills (7770109)","Kenny Stills",7770109,3600,"Mia@LA 04:05PM ET","Mia","Kenny","Stills","LA",8.35,7.6,3,0.135849056603774,0,7.90417582054286,2.6,11.9,12.6,14.4,NA,3.2,24,NA,2.1,12.7,"Stills, Kenny",21,36,4,3,1
"WR","Tyler Lockett (7770134)","Tyler Lockett",7770134,3600,"Phi@Sea 04:25PM ET","Sea","Tyler","Lockett","Phi",8.93,8.2,4,0.137809187279152,0,8.49167321588783,4.7,13.9,NA,2.3,NA,5.5,3.3,7.2,4,10.2,"Lockett, Tyler",23,39,0,4,4
"RB","Chris Thompson (7770007)","Chris Thompson",7770007,3600,"GB@Was 08:30PM ET","Was","Chris","Thompson","GB",9.33,8.6,5,0.0931506849315069,0,8.88948488560183,11.9,8.8,2.6,12,8.5,9.6,18.3,9.1,NA,5.6,"Thompson, Chris",30,34,1,4,4
"RB","T.J. Yeldon (7769936)","T.J. Yeldon",7769936,3500,"Jax@Det 01:00PM ET","Jax","T.J.","Yeldon","Det",8.96,9.7,5,0.107142857142857,1,9.30578894920102,16.9,11.8,4.8,15.7,NA,3.6,3.8,9.6,16.5,8.9,"Yeldon, T.J.",33,42,1,3,4
"RB","Dwayne Washington (7769937)","Dwayne Washington",7769937,3500,"Jax@Det 01:00PM ET","Det","Dwayne","Washington","Jax",4.68,4.6,9,0.00903614457831325,0,4.61171463861528,6.1,3.1,4.5,2.4,NA,NA,NA,NA,2.6,NA,"Washington, Dwayne",2,3,0,10,8
"TE","Julius Thomas (7770168)","Julius Thomas",7770168,3500,"Jax@Det 01:00PM ET","Jax","Julius","Thomas","Det",12.12,8.7,4,0.125,1,10.2290424939335,17.4,11.1,3.3,NA,NA,4.8,11,11.8,4.1,14.4,"Thomas, Julius",29,49,4,5,2
"WR","Marquise Goodwin (7770064)","Marquise Goodwin",7770064,3500,"Buf@Cin 01:00PM ET","Buf","Marquise","Goodwin","Cin",8.91,8.4,3,0.141304347826087,0,8.58915784925833,NA,22.2,1.6,2.2,9.3,4.2,19.3,NA,8.3,NA,"Goodwin, Marquise",17,39,3,4,1
"RB","Knile Davis (7769958)","Knile Davis",7769958,3500,"TB@KC 01:00PM ET","KC","Knile","Davis","TB",0,0,11,0.0121580547112462,0,0,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,"Davis, Knile",3,4,0,10,6
