"Place_lo","Place_hi","Payout"
"1","1","2000"
"2","2","1000"
"3","3","750"
"4","4","600"
"5","5","500"
"6","6","400"
"7","8","300"
"9","10","250"
"11","15","200"
"16","25","150"
"26","40","100"
"41","55","80"
"56","75","60"
"76","105","50"
"106","155","40"
"156","225","30"
"226","325","25"
"326","500","20"
"501","810","15"
"811","1310","12"
