"Player.Name","Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Michael Thomas",7,5000,24.5,-0.05,-0.22,-0.19,0,0,0,0,0,9,8.2,6.8,1.2,8.9,19.7,16.8,11,10.7,22.8,12.3,12.3,5,9,26,18.8,0,38,50,3,0.185873605947955,1,1,2,0
"Davante Adams",16,4900,24,0.18,-0.14,0.05,0,0,0,0,0,9,7.2,8.2,1,8.1,22,15.8,14,2.2,29.4,12.7,19.4,31,17,41.2,5.4,19.5,30,48,5,0.19047619047619,2,3,1,1
"Quincy Enunwa",7,4800,24,0.14,0.3,0.14,0,0,0,0,0,5.3,6.9,6.6,0.7,8.5,10.5,12.1,11,7.8,16.4,10,19.3,32,30,15.3,7.2,9.1,32,49,2,0.196,1,2,1,1
"Cameron Meredith",0,4800,17.5,-0.15,-0.24,-0.35,0.3,0.2,0,0.2,6,9.7,7.4,7.3,1,8.3,19.4,13.7,13,0.4,26.9,13.2,3.4,1,2,2.2,25.3,30.6,28,41,1,0.154716981132075,4,3,3,0
"Allen Hurns",1,4800,20.3,0.03,-0.19,0.05,0,0,0,0,0,7.3,7.5,5.8,1.2,7.7,11.2,10.8,11,8.7,12.8,11.3,22.8,12,10,8.5,12.4,0,24,45,1,0.184426229508197,3,2,3,1
"Cole Beasley",2,4800,24.5,-0.14,-0.04,-0.21,0.3,0.2,0,0,7,4.7,6.5,5.2,0.8,10,16.5,15.1,9,10.5,19.7,9.2,9.3,4,5,0,23.8,15.3,33,42,3,0.223404255319149,1,2,1,0
"Tyrell Williams",2,4700,19.8,-0.26,0.09,-0.48,0,0,0,0,0,6.3,6.7,6.2,1.4,11.2,18.5,14.5,10,6.8,22.2,11,1.4,3,1,24,5.8,25.7,31,46,2,0.184,2,2,2,0
"John Brown",2,4700,21.5,0.14,-0.17,-0.06,0,0,0.3,0,0,9,7.5,5.6,0.5,6.7,13.3,9.5,9,-0.5,19.5,12.5,14.9,27,24,0,10.4,2.1,24,47,0,0.164335664335664,3,2,4,0
"Jamison Crowder",2,4600,23,-0.05,0.1,-0.13,0.3,0.1,0,0,-9,5.3,6.3,5.3,1.3,8.9,15.5,13.7,9,8.4,19.1,11.6,28.7,19,7,20.8,13.3,12.5,31,43,3,0.156934306569343,2,4,1,1
"Chris Hogan",0,4400,26.8,-0.02,0.16,0.05,0.3,0.1,0,0,2,2.7,3.3,4,0.1,13,9,7.6,6,0.5,14.7,7.2,19.1,9,12,3.5,4.9,18.6,15,26,1,0.112068965517241,5,4,5,1
"Brandon LaFell",1,4300,26,0,0.12,0.02,0,0.1,0,0,-2,7,6,5.5,1.1,8.9,18.1,12.6,9,4.9,20.2,8.2,1.6,15,14,18.3,9.3,26.8,27,44,4,0.175298804780877,3,2,1,0
"Anquan Boldin",1,4200,22.8,-0.24,0.26,-0.17,0,0,0,0,0,5.7,5.9,5.2,1.1,6.6,13.5,11.9,9,7.4,16.4,9.6,1.4,6,4,11.8,20,8.8,34,43,5,0.172690763052209,1,3,1,0
"Michael Floyd",1,4100,21.5,0.14,-0.17,-0.06,0,0,0,0,0,4,6.1,4.7,1,6,7.2,9,7,4.8,13.1,9.6,0,27,24,11.5,10.2,0,20,43,3,0.15034965034965,4,4,2,0
"Mohamed Sanu",5,4100,27,0,-0.33,-0.1,0,0,0,0,0,6.7,5.7,5.8,1.1,6.5,8.5,8.8,10,2.1,15.6,13.2,23.4,11,21,3.6,15.7,6.3,24,42,2,0.170731707317073,2,2,3,1
"Robert Woods",0,4000,21.3,0.03,-0.14,0.01,0.3,0.2,0,0,6,7.3,6.2,7.4,0.5,6.5,12.2,9.3,14,3.3,15.2,12.2,9,8,10,0,16,4.6,25,39,1,0.198979591836735,2,2,3,0
"Kendall Wright",2,4000,23.3,-0.12,0.02,0.01,0,0,0,0,0,4.7,4.3,4.4,0,9.9,11.8,9.7,7,-4,23.4,7.1,19.9,17,25,3.2,30.3,1.9,13,17,1,0.0720338983050847,5,6,5,1
"Ted Ginn",0,3900,24,-0.19,-0.1,-0.05,0.7,1,0,0,6,4.7,4.3,4.7,0.2,7.3,5,5.8,8,1.7,9.8,8.5,10.3,2,8,0,11,0.5,15,26,1,0.110169491525424,5,4,4,0
"Phillip Dorsett",0,3900,23.8,0.02,0.07,0.11,0.3,0.2,0.2,0,3,3.7,4.3,3.3,0.8,9.7,7.2,7.4,6,2.6,12.2,6.3,8.3,16,31,0,3.2,4.6,13,26,1,0.0902777777777778,6,5,5,0
"Tyler Lockett",4,3900,25.5,0.14,0.09,0,0.3,0.2,0,0,2,3.3,3.7,4.7,0.3,7.5,3.7,5,8,0.2,9.7,10.2,7.2,30,19,3.3,5.5,0,15,26,0,0.122065727699531,5,4,5,0
"Pierre Garcon",1,3900,23,-0.05,0.1,-0.13,0,0,0,0,0,7.7,6.9,5.3,1.1,6.9,11.5,9.8,9,5.2,14.5,9.8,12.7,19,7,4.2,13.7,16.6,30,50,1,0.182481751824818,3,2,3,0
"Devin Funchess",0,3800,24,-0.19,-0.1,-0.05,0,0,0,0,0,3.7,3.8,3.5,0.6,5.9,6.8,6.4,6,1.1,11.8,5.1,6.8,2,8,0,12.8,0,7,22,2,0.0932203389830508,6,6,2,0
"Brice Butler",0,3800,24.5,-0.14,-0.04,-0.21,0,0,0,0,0,5,3.2,1.2,0.8,5.1,9.4,5.1,2,-0.8,11,2,2.9,4,5,0,9,4,10,20,3,0.106382978723404,6,5,1,0
"Adam Thielen",3,3800,22,-0.01,0,0.33,0,0,0,0,0,5.3,5,3.3,0.5,10.8,13.3,10.6,6,1.5,19.6,7.3,7,19,32,7.2,0,28.7,23,30,1,0.147058823529412,3,3,3,0
"Terrance Williams",1,3700,24.5,-0.14,-0.04,-0.21,0,0,0,0,0,5.3,4.8,3.8,0,13,12.6,11.2,7,8.3,14.2,7,4.5,4,5,0,11.5,12,20,26,1,0.138297872340426,3,3,4,0
"Rishard Matthews",2,3500,23.3,-0.12,0.02,0.01,0,0,0,0,0,4.7,4.9,4.2,0.4,9.4,12.3,9.6,7,5.7,13.4,8.1,13.8,17,25,7.7,16,13.2,23,33,2,0.139830508474576,3,3,3,0
"Chris Conley",0,3400,26.8,0.12,0.1,-0.05,0,0,0,0,0,4.3,4.8,4.7,0.7,7.8,7.8,7.1,8,3.8,10.5,7.4,8.9,25,5,4.9,5.6,0,20,31,0,0.14622641509434,3,3,5,0
"Russell Shepard",2,3300,24.5,0.19,0.2,0.24,0,0.2,0,0,9,2.7,2,4.2,0.6,9.9,6.8,5,7,-2.8,12.8,5.9,10.4,26,27,18.7,0,0,8,10,1,0.0427350427350427,7,7,3,0
"Danny Amendola",1,3300,26.8,-0.02,0.16,0.05,0,0,0.3,0,0,1.3,2.3,3,0.4,10.1,2.7,5.7,5,-1.1,12.6,7.5,11.9,9,12,0,5,3.1,13,17,2,0.0732758620689655,6,6,3,0
