"Player.Name","Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Kenny Britt",5,5000,15.8,0.02,-0.07,-0.06,0,0,0,0,0,9,7.4,8,0.5,9.7,15.5,14.7,14,6.6,22.8,11.5,14.7,9,9,16.2,9.3,20.9,55,86,4,0.228723404255319,1,1,1,0
"Mike Wallace",3,5000,22.5,-0.06,0.24,-0.02,0.7,0.5,0.3,0,6.2,6.3,7.8,6.7,0.7,9.2,10.3,15,11,8.6,21.5,11.3,11.9,15,16,8.6,12.5,9.9,52,90,4,0.2,2,1,1,0
"DeSean Jackson",0,5000,23,-0.19,-0.07,-0.04,0,0,0,0,0,7,7,6.6,0.8,8.4,15.9,12.1,11,4.6,19.5,13.4,6.9,1,8,24.8,15.1,0,38,76,3,0.168141592920354,4,3,3,0
"Adam Thielen",0,4900,20.3,0.1,-0.24,0.08,0.3,0.1,0,0,11,6.7,5.5,4.5,0.5,9.4,14.3,11.3,8,4.4,18.2,9.6,14.6,15,17,13.3,17.5,12.2,46,61,3,0.158031088082902,3,3,2,0
"Sterling Shepard",2,4900,21.3,0.07,-0.11,-0.1,0.3,0.1,0,0,22,6,6.5,7.5,0.6,6.6,11.1,11.5,12,5,18,13.6,12.1,12,4,2.2,16,15.2,46,73,5,0.172169811320755,2,2,2,0
"Tyler Boyd",6,4800,21.5,-0.04,-0.03,0.04,0,0.1,0.2,0,3,7,5.4,7.2,0.6,7,10.6,7.7,13,2.5,12.8,13.2,10.6,7,23,11.2,17.4,3.2,39,60,1,0.143540669856459,3,3,4,0
"Will Fuller",5,4700,18.8,0.07,-0.15,0.06,0,0,0,0,0,4.7,6.8,4.8,0.4,7.4,5.3,11,8,1.3,20.7,9.4,10.9,28,30,10,2.7,0,30,61,2,0.151741293532338,4,2,3,0
"Tyreek Hill",34,4600,22.5,0.13,-0.07,0.05,1,1,0.4,0.2,6.2,9.3,5.1,8.7,0.9,7.6,20.9,12.4,15,3.3,21.5,15.9,12.2,30,21,32.5,10.1,20.1,46,57,5,0.140394088669951,2,2,1,0
"Travis Benjamin",1,4600,26.3,0.03,0.08,-0.01,0,0.1,0,0,-1,4,6.1,4.6,0.7,8.6,5.6,11.3,7,1.8,20.8,8.9,4.4,23,19,1.8,0,0,40,63,3,0.155555555555556,2,3,4,0
"Quincy Enunwa",2,4500,24.8,0.11,0.09,0.05,0,0,0,0,0,5,6.7,6.5,0.7,8.7,10,12.2,11,5.1,19.3,9.8,2,29,21,24.9,0,1.7,42,75,4,0.196850393700787,2,2,1,0
