"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Aaron Judge",5700,"TEX@NYY 02:05PM ET",11.986,"NYY","TEX",10.57,11.7,NA,NA,"3","3",16
"OF","Bryce Harper",5400,"CIN@WAS 01:35PM ET",10.727,"WAS","CIN",10.65,10.9,NA,NA,"3","3",13
"2B","Daniel Murphy",5300,"CIN@WAS 01:35PM ET",9.897,"WAS","CIN",6.82,9.7,NA,NA,"5","4",3
"SS","Trea Turner",5300,"CIN@WAS 01:35PM ET",9.935,"WAS","CIN",8.43,11.3,NA,NA,"1","1",0
"2B/3B","Jose Ramirez",5200,"MIN@CLE 01:10PM ET",9.127,"CLE","MIN",7.62,8.7,NA,NA,"3","3",13
"1B","Edwin Encarnacion",5100,"MIN@CLE 01:10PM ET",8.571,"CLE","MIN",8.64,8.5,NA,NA,"4","4",0
"SS","Xander Bogaerts",5100,"LAA@BOS 01:35PM ET",8.783,"BOS","LAA",7.9,9.1,NA,NA,"3","3",0
"2B","Brian Dozier",5000,"MIN@CLE 01:10PM ET",8.731,"MIN","CLE",8.41,9.8,NA,NA,"1","1",2
"OF","Mookie Betts",5000,"LAA@BOS 01:35PM ET",9.5,"BOS","LAA",9.42,11.5,NA,NA,"1","1",0
"C","Gary Sanchez",5000,"TEX@NYY 02:05PM ET",9.75,"NYY","TEX",8.12,11.5,NA,NA,"6","4",20
"1B","Logan Morrison",5000,"BAL@TB 01:10PM ET",9.042,"TB","BAL",7.1,8.3,NA,NA,"4","4",3
"3B","Miguel Sano",4900,"MIN@CLE 01:10PM ET",9.403,"MIN","CLE",8.06,9.9,NA,NA,"3","3",2
"1B","Anthony Rizzo",4900,"CHC@MIA 01:10PM ET",9.438,"CHC","MIA",10.03,9.7,NA,NA,"1","1",5
"1B","Justin Smoak",4800,"TOR@KC 02:15PM ET",8.569,"TOR","KC",6.62,8.3,NA,NA,"5","4",5
"OF","Corey Dickerson",4800,"BAL@TB 01:10PM ET",9.676,"TB","BAL",8.23,8.9,NA,NA,"2","2",8
"3B","Kris Bryant",4800,"CHC@MIA 01:10PM ET",9.113,"CHC","MIA",9.14,8.4,NA,NA,"2","2",5
"OF","Ryan Braun",4700,"MIL@ATL 01:35PM ET",8.581,"MIL","ATL",NA,0,NA,NA,"x","x",NA
"3B","Anthony Rendon",4700,"CIN@WAS 01:35PM ET",9.03,"WAS","CIN",7.97,8.3,NA,NA,"6","5",0
"SS","Francisco Lindor",4600,"MIN@CLE 01:10PM ET",8.229,"CLE","MIN",7.78,8.8,NA,NA,"2","1",0
"OF","Brett Gardner",4600,"TEX@NYY 02:05PM ET",9.194,"NYY","TEX",7.77,10.4,NA,NA,"1","1",0
"3B","Manny Machado",4600,"BAL@TB 01:10PM ET",7.779,"BAL","TB",8.53,9,NA,NA,"3","2",5
"1B","Joey Votto",4600,"CIN@WAS 01:35PM ET",10.278,"CIN","WAS",9.05,9.2,NA,NA,"3","3",5
"1B","Ryan Zimmerman",4600,"CIN@WAS 01:35PM ET",10.379,"WAS","CIN",8.22,0,NA,NA,"x","x",NA
"OF","Adam Duvall",4600,"CIN@WAS 01:35PM ET",8.87,"CIN","WAS",7.03,7.9,NA,NA,"4","4",7
"OF","Mike Trout",4500,"LAA@BOS 01:35PM ET",12.02,"LAA","BOS",NA,0,NA,NA,"x","x",NA
"OF","Steven Souza",4500,"BAL@TB 01:10PM ET",8.757,"TB","BAL",NA,7.7,NA,NA,"5","5",5
"2B","Dee Gordon",4500,"CHC@MIA 01:10PM ET",8.423,"MIA","CHC",6.31,0,NA,NA,"x","x",NA
"2B/OF","Ian Happ",4500,"CHC@MIA 01:10PM ET",8.417,"CHC","MIA",6.74,7.7,NA,NA,"5","3",3
"1B","Freddie Freeman",4500,"MIL@ATL 01:35PM ET",12.514,"ATL","MIL",NA,0,NA,NA,"x","x",NA
"OF","Ender Inciarte",4500,"MIL@ATL 01:35PM ET",8.452,"ATL","MIL",7.38,8.1,NA,NA,"1","1",6
"1B","Jose Abreu",4400,"OAK@CWS 02:10PM ET",8.718,"CWS","OAK",7.81,8.1,NA,NA,"3","3",7
"OF","Avisail Garcia",4400,"OAK@CWS 02:10PM ET",8.971,"CWS","OAK",6.08,7.1,NA,NA,"5","4",0
"OF","Andrew Benintendi",4400,"LAA@BOS 01:35PM ET",8.191,"BOS","LAA",8.22,9.7,NA,NA,"5","5",6
