"Place_lo","Place_hi","Payout"
"1","1","4000"
"2","2","2000"
"3","3","1000"
"4","4","750"
"5","5","500"
"6","6","400"
"7","7","300"
"8","8","200"
"9","10","150"
"11","15","125"
"16","20","100"
"21","25","75"
"26","30","50"
"31","40","40"
"41","50","30"
"51","60","20"
"61","75","15"
"76","100","12"
"101","125","10"
"126","175","8"
"176","225","7"
"226","275","6"
"276","375","5"
"376","525","4"
"526","825","3"
"826","1325","2.5"
"1326","2575","2"
"2576","6825","1.5"
"6826","15425","1"
"15426","34925","0.75"
"34926","86375","0.5"
