P,P,C,1B,2B,3B,SS,OF,OF,OF
Jaime Garcia,Aaron Nola,Yasmani Grandal,Mark Reynolds,Jose Ramirez,Nolan Arenado,Trevor Story,Michael Brantley,Gerardo Parra,Carlos Gonzalez
Max Scherzer,Robbie Ray,Salvador Perez,Brandon Belt,Danny Espinosa,Kyle Seager,Andrelton Simmons,Kole Calhoun,Shane Robinson,Eric Young
Max Scherzer,Chris Archer,Salvador Perez,Alex Avila,Ian Kinsler,Nicholas Castellanos,Jose Iglesias,Carlos Gonzalez,Alex Presley,Eric Young
Max Scherzer,Aaron Nola,Martin Maldonado,Chris Davis,Jonathan Schoop,Manny Machado,Alcides Escobar,Mark Trumbo,Adam Jones,Carlos Gonzalez
Max Scherzer,Chris Archer,Martin Maldonado,Tommy Joseph,Danny Espinosa,Maikel Franco,Asdrubal Cabrera,Odubel Herrera,Howie Kendrick,Aaron Altherr
Max Scherzer,Jeff Locke,Martin Maldonado,Mark Reynolds,Rougned Odor,Nolan Arenado,Trevor Story,Gerardo Parra,Carlos Gonzalez,Austin Slater
Chris Archer,James Paxton,Caleb Joseph,Brandon Belt,Jose Ramirez,Manny Machado,JJ Hardy,Adam Jones,Carlos Gonzalez,Seth Smith
Jaime Garcia,Daniel Norris,Salvador Perez,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Francisco Lindor,Michael Conforto,Gerardo Parra,Carlos Gonzalez
Robbie Ray,Ivan Nova,Jonathan Lucroy,Jay Bruce,Neil Walker,Jedd Gyorko,Asdrubal Cabrera,Michael Conforto,David Peralta,Juan Lagares
Max Scherzer,Aaron Nola,Jonathan Lucroy,Paul Goldschmidt,Brandon Drury,Jake Lamb,Chris Owings,David Peralta,Hunter Renfroe,Austin Slater
Chris Archer,Aaron Nola,Martin Maldonado,Matt Carpenter,Jose Altuve,Alex Bregman,Francisco Lindor,George Springer,Josh Reddick,Norichika Aoki
Max Scherzer,Jaime Garcia,Salvador Perez,Albert Pujols,Jose Ramirez,Yunel Escobar,Andrelton Simmons,Michael Brantley,Kole Calhoun,Shane Robinson
Chris Archer,Jaime Garcia,Caleb Joseph,Trey Mancini,Jason Kipnis,Nolan Arenado,JJ Hardy,Michael Conforto,Adam Jones,Seth Smith
Robbie Ray,Mike Clevinger,Cameron Rupp,Carlos Santana,Jose Ramirez,Maikel Franco,Francisco Lindor,Michael Brantley,Bradley Zimmer,Gregor Blanco
Max Scherzer,Aaron Nola,Luke Maile,Kendrys Morales,Jason Kipnis,Josh Donaldson,Francisco Lindor,Jose Bautista,Hunter Renfroe,Kevin Pillar
Chris Archer,Aaron Nola,Salvador Perez,Eric Hosmer,Whit Merrifield,Nolan Arenado,Francisco Lindor,Lorenzo Cain,David Peralta,Jorge Bonifacio
