"Steven Souza_TB","Corey Dickerson_TB","Cody Bellinger_LAD","Logan Morrison_TB","Chris Taylor_LAD","Lucas Duda_TB","Corey Seager_LAD","Evan Longoria_TB","Austin Barnes_LAD","Michael Conforto_NYM","Ryan Braun_MIL","Yasiel Puig_LAD","Eric Thames_MIL","Domingo Santana_MIL","Curtis Granderson_NYM","Jay Bruce_NYM","Justin Turner_LAD","Travis Shaw_MIL","Adrian Gonzalez_LAD","Asdrubal Cabrera_NYM","Yoenis Cespedes_NYM","Kike Hernandez_LAD","Joc Pederson_LAD","Hernan Perez_MIL","Jonathan Villar_MIL","Jesus Aguilar_MIL","Colby Rasmus_TB","Kevin Kiermaier_TB","Chase Utley_LAD","Franklin Gutierrez_LAD","David Wright_NYM","Peter O'Brien_LAD","Mallex Smith_TB","Matt Duffy_TB","Trevor Plouffe_TB","Manny Pina_MIL","Stephen Vogt_MIL","Keon Broxton_MIL","Yasmani Grandal_LAD","Wilmer Flores_NYM","Trayce Thompson_LAD","Peter Bourjos_TB","Jake Bauers_TB","Logan Forsythe_LAD","Andrew Toles_LAD","Willie Calhoun_LAD","Wilson Ramos_TB","Michael Reed_MIL","Jose Reyes_NYM","Travis d'Arnaud_NYM","Rob Segedin_LAD","Alex Verdugo_LAD","Eric Sogard_MIL","Derek Norris_TB","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Brad Miller_TB","Andre Ethier_LAD","Amed Rosario_NYM","Jesus Sucre_TB","Orlando Arcia_MIL","Rickie Weeks_TB","Neil Walker_NYM","Brandon Nimmo_NYM","TJ Rivera_NYM","Adeiny Hechavarria_TB","Curt Casali_TB","Lewis Brinson_MIL","Jacob Nottingham_MIL","Daniel Robertson_TB","Corey Ray_MIL","Juan Lagares_NYM","Gavin Cecchini_NYM","Yadiel Rivera_MIL","Brett Phillips_MIL","Matt Reynolds_NYM","Kevin Plawecki_NYM","Jett Bandy_MIL","Ryan Cordell_MIL","Mike Freeman_LAD","Shane Peterson_TB","Kyle Farmer_LAD","Taylor Featherston_TB","Willy Adames_TB","Rene Rivera_NYM","Brett Eibner_LAD"
94,85,0,79,0,4,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,51,0,0,0,0,41,0,13,0,0,0,0,0,0,26,0,0,0,0,18,0,0,0,0,0,0,44,0,0,45,0,0,32,0,19,0,0,0,23,0,0,0,49,0,0,0,0,0,0,0,0,0,0,17,0,8,0,0,0
85,95,0,84,0,5,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,51,0,0,0,0,42,0,12,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,44,0,0,48,0,0,32,0,17,0,0,0,24,0,0,0,47,0,0,0,0,0,0,0,0,0,0,19,0,7,0,0,0
0,0,80,0,68,0,72,0,22,0,0,65,0,0,0,0,54,0,25,0,0,0,42,0,0,0,0,0,48,8,0,0,0,0,0,0,0,0,60,0,6,0,0,45,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
79,84,0,89,0,3,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,49,0,0,0,0,42,0,10,0,0,0,0,0,0,16,0,0,0,0,17,0,0,0,0,0,0,44,0,0,45,0,0,28,0,14,0,0,0,21,0,0,0,43,0,0,0,0,0,0,0,0,0,0,19,0,8,0,0,0
0,0,68,0,73,0,64,0,25,0,0,59,0,0,0,0,48,0,19,0,0,0,37,0,0,0,0,0,37,10,0,0,0,0,0,0,0,0,50,0,5,0,0,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4,5,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,72,0,64,0,91,0,23,0,0,78,0,0,0,0,64,0,38,0,0,0,48,0,0,0,0,0,50,11,0,0,0,0,0,0,0,0,69,0,7,0,0,52,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
91,92,0,87,0,5,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,57,0,0,0,0,43,0,13,0,0,0,0,0,0,26,0,0,0,0,20,0,0,0,0,0,0,48,0,0,51,0,0,33,0,23,0,0,0,26,0,0,0,50,0,0,0,0,0,0,0,0,0,0,19,0,7,0,0,0
0,0,22,0,25,0,23,0,29,0,0,19,0,0,0,0,23,0,5,0,0,0,9,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,2,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,72,0,0,0,0,51,68,0,0,0,47,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,58,34,0,0,0,0,0,0,0,0,3,0,0,0,47,0,34,0,0,0,0,0,0,11,2,0,0,5,5,0,0,0,0,0,0,0,33,0
