"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","FreqInd","Projection_reg_split","Actual","ValueWR","Ownership.Pctg.Pred"
"WR","Antonio Brown (7770016)","Antonio Brown",7770016,9500,"Pit@Cle 01:00PM ET","Pit","Antonio","Brown","Cle",24.31,23.3,1,0.28686327077748,1,23.6381452767563,15.6,0,19.310782212156
"RB","Le'Veon Bell (7769914)","Le'Veon Bell",7769914,8800,"Pit@Cle 01:00PM ET","Pit","Le'Veon","Bell","Cle",29.16,28.8,2,0.152815013404826,1,28.8084021854774,37.1,0,30.8236729470304
"WR","Odell Beckham Jr. (7770091)","Odell Beckham",7770091,8500,"Chi@NYG 01:00PM ET","NYG","Odell","Beckham","Chi",22.52,19.9,1,0.270194986072423,1,20.9989648768839,9.6,0,NA
"WR","A.J. Green (7770063)","A.J. Green",7770063,8300,"Buf@Cin 01:00PM ET","Cin","A.J.","Green","Buf",20.92,20.7,1,0.327217125382263,1,20.6881751091864,0,0,NA
"RB","DeMarco Murray (7769939)","DeMarco Murray",7769939,8200,"Ten@Ind 01:00PM ET","Ten","DeMarco","Murray","Ind",21.87,17.7,4,0.13677811550152,1,19.5255591584753,16.9,0,21.1142106669763
"WR","Mike Evans (7770078)","Mike Evans",7770078,8100,"TB@KC 01:00PM ET","TB","Mike","Evans","KC",22.17,20.7,1,0.314447592067989,1,21.2644319358143,19.5,0,13.3496126845924
"RB","Ezekiel Elliott (7769928)","Ezekiel Elliott",7769928,8000,"Bal@Dal 01:00PM ET","Dal","Ezekiel","Elliott","Bal",19.23,16.9,6,0.0761245674740484,1,17.8816857702511,16.7,0,13.956567420251
"RB","David Johnson (7769978)","David Johnson",7769978,7900,"Ari@Min 01:00PM ET","Ari","David","Johnson","Min",20.69,19.8,2,0.1640625,1,20.1019725114024,38,0,10.5204583710469
"QB","Tom Brady (7769898)","Tom Brady",7769898,7800,"NE@SF 04:25PM ET","NE","Tom","Brady","SF",23.81,20.7,0,0,1,22.02048089235,28.4,0,NA
"WR","Jordy Nelson (7770138)","Jordy Nelson",7770138,7800,"GB@Was 08:30PM ET","GB","Jordy","Nelson","Was",20.12,18.201,1,0.243523316062176,1,18.9855614576877,11.8,0,7.32343789150157
"WR","T.Y. Hilton (7770051)","T.Y. Hilton",7770051,7700,"Ten@Ind 01:00PM ET","Ind","T.Y.","Hilton","Ten",19.06,20.3,1,0.277777777777778,1,19.6172954659711,20.7,0,21.4539780606067
"QB","Aaron Rodgers (7769907)","Aaron Rodgers",7769907,7600,"GB@Was 08:30PM ET","GB","Aaron","Rodgers","Was",22.24,21,0,0,1,21.4567594320003,32.3,0,NA
"QB","Ben Roethlisberger (7769851)","Ben Roethlisberger",7769851,7500,"Pit@Cle 01:00PM ET","Pit","Ben","Roethlisberger","Cle",20.34,21.3,0,0,1,20.7409061694208,8.7,0,NA
"WR","Allen Robinson (7770047)","Allen Robinson",7770047,7400,"Jax@Det 01:00PM ET","Jax","Allen","Robinson","Det",16.89,17.4,1,0.25,1,17.0696948472952,10.8,0,11.4884056836757
"WR","Dez Bryant (7770029)","Dez Bryant",7770029,7200,"Bal@Dal 01:00PM ET","Dal","Dez","Bryant","Bal",17.24,14.1,3,0.179930795847751,0,15.4704185059079,26,0,4.33810037707225
"QB","Andrew Luck (7769869)","Andrew Luck",7769869,7200,"Ten@Ind 01:00PM ET","Ind","Andrew","Luck","Ten",23.3,19.9,0,0,1,21.3585491366996,19.7,0,NA
"WR","Larry Fitzgerald (7770094)","Larry Fitzgerald",7770094,7100,"Ari@Min 01:00PM ET","Ari","Larry","Fitzgerald","Min",17.16,16.901,1,0.268229166666667,1,16.9274044653554,12.3,0,3.36438019946583
"TE","Rob Gronkowski (7770223)","Rob Gronkowski",7770223,7100,"NE@SF 04:25PM ET","NE","Rob","Gronkowski","SF",0,0,4,0.128289473684211,1,0,0,0,NA
"WR","Stefon Diggs (7770102)","Stefon Diggs",7770102,7000,"Ari@Min 01:00PM ET","Min","Stefon","Diggs","Ari",18.84,16.8,1,0.255384615384615,1,17.648541269045,9.7,0,1.5572276651119
"RB","LeSean McCoy (7769949)","LeSean McCoy",7769949,6900,"Buf@Cin 01:00PM ET","Buf","LeSean","McCoy","Cin",17.21,18.2,4,0.108695652173913,1,17.6440355652981,12.5,0,18.6974104190528
"WR","Alshon Jeffery (7770088)","Alshon Jeffery",7770088,6900,"Chi@NYG 01:00PM ET","Chi","Alshon","Jeffery","NYG",0,0,1,0.227692307692308,1,0,0,0,NA
"RB","Jay Ajayi (7769982)","Jay Ajayi",7769982,6800,"Mia@LA 04:05PM ET","Mia","Jay","Ajayi","LA",17.72,15.6,5,0.060377358490566,1,16.4919866968071,11.4,0,5.91112115486924
"QB","Marcus Mariota (7769870)","Marcus Mariota",7769870,6700,"Ten@Ind 01:00PM ET","Ten","Marcus","Mariota","Ind",19.69,18.9,0,0,1,19.1607957084157,22.5,0,NA
"WR","Davante Adams (7770147)","Davante Adams",7770147,6700,"GB@Was 08:30PM ET","GB","Davante","Adams","Was",15.69,10.3,2,0.204663212435233,1,12.728469931555,7.2,0,7.21413020913391
"QB","Matthew Stafford (7769864)","Matthew Stafford",7769864,6600,"Jax@Det 01:00PM ET","Det","Matthew","Stafford","Jax",19.42,18.1,0,0,1,18.6095052634779,11.1,0,NA
"WR","Jarvis Landry (7770110)","Jarvis Landry",7770110,6600,"Mia@LA 04:05PM ET","Mia","Jarvis","Landry","LA",16.65,14.9,1,0.29811320754717,1,15.6252442541258,13.8,0,-0.665125391596944
"RB","LeGarrette Blount (7769990)","LeGarrette Blount",7769990,6400,"NE@SF 04:25PM ET","NE","LeGarrette","Blount","SF",16.24,15.4,8,0.0197368421052632,1,15.7029938714832,15.4,0,24.1271739504804
"QB","Eli Manning (7769884)","Eli Manning",7769884,6300,"Chi@NYG 01:00PM ET","NYG","Eli","Manning","Chi",18.63,17.7,0,0,1,18.031901463856,17.2,0,NA
"WR","Julian Edelman (7770120)","Julian Edelman",7770120,6300,"NE@SF 04:25PM ET","NE","Julian","Edelman","SF",15.07,19.1,1,0.25,1,17.1376552197957,22.9,0,11.3358281015555
"WR","Donte Moncrief (7770057)","Donte Moncrief",7770057,6100,"Ten@Ind 01:00PM ET","Ind","Donte","Moncrief","Ten",13.94,15.2,7,0.0694444444444444,0,14.5359765678914,13.7,0,11.4605243438666
"QB","Russell Wilson (7769904)","Russell Wilson",7769904,6100,"Phi@Sea 04:25PM ET","Sea","Russell","Wilson","Phi",19.27,18.6,13,0.00353356890459364,1,18.8071163007739,25.3,0,9.43940569214905
"QB","Dak Prescott (7769861)","Dak Prescott",7769861,6000,"Bal@Dal 01:00PM ET","Dal","Dak","Prescott","Bal",18.05,15.7,0,0,1,16.6974708703352,28.6,0,NA
"WR","Steve Smith Sr. (7770026)","Steve Smith",7770026,6000,"Bal@Dal 01:00PM ET","Bal","Steve","Smith","Dal",13.55,13.8,3,0.147368421052632,1,13.6092512398077,23.9,0,4.47364195311351
"RB","Spencer Ware (7769960)","Spencer Ware",7769960,6000,"TB@KC 01:00PM ET","KC","Spencer","Ware","TB",16.05,18.5,6,0.0790273556231003,1,17.2693263440823,10.5,0,19.281391269665
"RB","DeAngelo Williams (7769912)","DeAngelo Williams",7769912,5900,"Pit@Cle 01:00PM ET","Pit","DeAngelo","Williams","Cle",0,0,6,0.0616621983914209,0,0,0,0,NA
"QB","Jameis Winston (7769882)","Jameis Winston",7769882,5900,"TB@KC 01:00PM ET","TB","Jameis","Winston","KC",17.58,17.1,0,0,1,17.2277315016989,21.4,0,NA
"WR","Randall Cobb (7770141)","Randall Cobb",7770141,5900,"GB@Was 08:30PM ET","GB","Randall","Cobb","Was",14.01,13.4,3,0.178756476683938,1,13.6079042668137,11.4,0,2.1618278126507
"TE","Jordan Reed (7770239)","Jordan Reed",7770239,5900,"GB@Was 08:30PM ET","Was","Jordan","Reed","GB",18.5,14.7,2,0.175342465753425,1,16.3713996149384,12.9,0,16.6506612012785
"RB","Jordan Howard (7769971)","Jordan Howard",7769971,5800,"Chi@NYG 01:00PM ET","Chi","Jordan","Howard","NYG",13.96,11.801,6,0.08,1,12.7312160529762,10.9,0,1.60918630796417
"QB","Kirk Cousins (7769909)","Kirk Cousins",7769909,5800,"GB@Was 08:30PM ET","Was","Kirk","Cousins","GB",18.36,20.1,0,0,1,19.187886900463,30.4,0,NA
"TE","Delanie Walker (7770173)","Delanie Walker",7770173,5700,"Ten@Ind 01:00PM ET","Ten","Delanie","Walker","Ind",14.74,12.3,2,0.194528875379939,1,13.3575621692833,7.6,0,21.7302016930523
"QB","Andy Dalton (7769871)","Andy Dalton",7769871,5700,"Buf@Cin 01:00PM ET","Cin","Andy","Dalton","Buf",18.9,18.4,0,0,1,18.5298395374955,17.3,0,NA
"WR","Doug Baldwin (7770129)","Doug Baldwin",7770129,5700,"Phi@Sea 04:25PM ET","Sea","Doug","Baldwin","Phi",16.25,13.6,1,0.254416961130742,1,14.7472612427273,22,0,11.0220596598481
"WR","Terrelle Pryor Sr. (7770017)","Terrelle Pryor",7770017,5600,"Pit@Cle 01:00PM ET","Cle","Terrelle","Pryor","Pit",14.75,16.2,1,0.257703081232493,1,15.442914704529,14.7,0,3.65051355217396
"QB","Tyrod Taylor (7769872)","Tyrod Taylor",7769872,5600,"Buf@Cin 01:00PM ET","Buf","Tyrod","Taylor","Cin",18.07,17.5,0,0,1,17.6670336629302,9.5,0,NA
"WR","Jeremy Maclin (7770072)","Jeremy Maclin",7770072,5600,"TB@KC 01:00PM ET","KC","Jeremy","Maclin","TB",0,0,2,0.170212765957447,1,0,0,0,NA
"QB","Carson Palmer (7769889)","Carson Palmer",7769889,5600,"Ari@Min 01:00PM ET","Ari","Carson","Palmer","Min",17.07,15.8,0,0,1,16.2990378895572,15,0,NA
"TE","Jimmy Graham (7770230)","Jimmy Graham",7770230,5600,"Phi@Sea 04:25PM ET","Sea","Jimmy","Graham","Phi",13.41,11.8,2,0.212014134275618,1,12.4776630492599,13.6,0,4.9861569457053
"QB","Joe Flacco (7769857)","Joe Flacco",7769857,5500,"Bal@Dal 01:00PM ET","Bal","Joe","Flacco","Dal",16.59,15.7,0,0,1,16.0244028968338,15.4,0,NA
"QB","Tony Romo (7769858)","Tony Romo",7769858,5500,"Bal@Dal 01:00PM ET","Dal","Tony","Romo","Bal",0,0,0,0,1,0,0,0,NA
"WR","Mike Wallace (7770028)","Mike Wallace",7770028,5500,"Bal@Dal 01:00PM ET","Bal","Mike","Wallace","Dal",13.5,10.702,1,0.197368421052632,1,11.9322774564961,12.5,0,1.72365028091108
"QB","Blake Bortles (7769865)","Blake Bortles",7769865,5400,"Jax@Det 01:00PM ET","Jax","Blake","Bortles","Det",19.28,18.1,0,0,1,18.5449644988956,14.4,0,NA
"TE","Tyler Eifert (7770183)","Tyler Eifert",7770183,5400,"Buf@Cin 01:00PM ET","Cin","Tyler","Eifert","Buf",15.17,11.1,6,0.0611620795107034,0,12.915566062064,6.7,0,10.6702242427667
"RB","Doug Martin (7769955)","Doug Martin",7769955,5400,"TB@KC 01:00PM ET","TB","Doug","Martin","KC",12.83,13.201,9,0.0198300283286119,1,12.9572130798804,13.5,0,1.87356570374842
"WR","Jordan Matthews (7770131)","Jordan Matthews",7770131,5400,"Phi@Sea 04:25PM ET","Phi","Jordan","Matthews","Sea",13.21,16.3,1,0.253289473684211,1,14.7863186654218,10.9,0,1.12170469965107
"WR","Jamison Crowder (7770145)","Jamison Crowder",7770145,5400,"GB@Was 08:30PM ET","Was","Jamison","Crowder","GB",13.09,12.9,3,0.16986301369863,1,12.9170173859242,22.2,0,17.6250617385998
"WR","Cole Beasley (7770033)","Cole Beasley",7770033,5300,"Bal@Dal 01:00PM ET","Dal","Cole","Beasley","Bal",11.56,9.401,1,0.224913494809689,1,10.3443460346921,16.9,0,2.23962890208801
"WR","Golden Tate (7770041)","Golden Tate",7770041,5300,"Jax@Det 01:00PM ET","Det","Golden","Tate","Jax",14.58,16.7,1,0.237951807228916,1,15.631305632599,4.1,0,14.5571426483814
