"Joey Votto_CIN","Charlie Blackmon_COL","Paul Goldschmidt_ARI","Cody Bellinger_LAD","Adam Duvall_CIN","Nolan Arenado_COL","Mark Reynolds_COL","Mookie Betts_BOS","Billy Hamilton_CIN","Xander Bogaerts_BOS","Justin Turner_LAD","Chris Taylor_LAD","Corey Seager_LAD","Ian Desmond_COL","Jackie Bradley_BOS","Jake Lamb_ARI","Joc Pederson_LAD","Scooter Gennett_CIN","Dustin Pedroia_BOS","Elvis Andrus_TEX","Logan Forsythe_LAD","Zack Cozart_CIN","Trevor Story_COL","David Dahl_COL","Hanley Ramirez_BOS","Chris Owings_ARI","Carlos Gonzalez_COL","Gerardo Parra_COL","David Peralta_ARI","Yasiel Puig_LAD","DJ LeMahieu_COL","Arismendy Alcantara_CIN","Scott Schebler_CIN","Joey Gallo_TEX","Adrian Gonzalez_LAD","AJ Pollock_ARI","Yasmani Grandal_LAD","Kike Hernandez_LAD","Eugenio Suarez_CIN","Raimel Tapia_COL","Jesse Winker_CIN","Rougned Odor_TEX","Andrew Benintendi_BOS","Daniel Descalso_ARI","Devin Mesoraco_CIN","Stephen Cardullo_COL","Robinson Chirinos_TEX","Carlos Gomez_TEX","Dustin Garneau_COL","Pat Valaika_COL","Mitch Moreland_BOS","Nomar Mazara_TEX","Chase Utley_LAD","Franklin Gutierrez_LAD","Gregor Blanco_ARI","Peter O'Brien_LAD","Austin Barnes_LAD","Yasmany Tomas_ARI","Tom Murphy_COL","Adrian Beltre_TEX","Shin-Soo Choo_TEX","Deven Marrero_BOS","Tucker Barnhart_CIN","Phillip Ervin_CIN","Mike Napoli_TEX","Sandy Leon_BOS","Delino DeShields_TEX","Chris Herrmann_ARI","Jordan Patterson_COL","Chris Iannetta_ARI","Trayce Thompson_LAD","Jose Peraza_CIN","Pablo Sandoval_BOS","Andrew Toles_LAD","Willie Calhoun_LAD","Tony Wolters_COL","Chris Young_BOS","Jeremy Hazelbaker_ARI","Christian Walker_ARI","Rob Segedin_LAD","Brandon Drury_ARI","Nick Ahmed_ARI","Ketel Marte_ARI","Alex Verdugo_LAD","Alexi Amarista_COL","Patrick Kivlehan_CIN","Mike Tauchman_COL","Jonathan Lucroy_TEX","Christian Vazquez_BOS","Jurickson Profar_TEX","Andre Ethier_LAD","Rey Fuentes_ARI","Jack Reinheimer_ARI","Dawel Lugo_ARI","Domingo Leyba_ARI","Cristhian Adames_COL","Jhonny Peralta_BOS","Brock Holt_BOS","Scott Van Slyke_LAD","Socrates Brito_ARI","Ryan Hanigan_COL","Pete Kozma_TEX","Brett Nicholas_TEX","Jared Hoying_TEX","Nick Senzel_CIN","Steve Selsky_BOS","Marco Hernandez_BOS","Ryan Rua_TEX","Tzu-Wei Lin_BOS","Andy Ibanez_TEX","Stuart Turner_CIN","Drew Stubbs_TEX","Josh Rutledge_BOS","Hanser Alberto_TEX","Sam Travis_BOS","Mike Freeman_LAD","Jeff Mathis_ARI","Ronald Guzman_TEX","Brett Eibner_LAD","Drew Robinson_TEX","Ildemaro Vargas_ARI"
77,0,0,0,71,0,0,0,69,0,0,0,0,0,0,0,0,37,0,0,0,57,0,0,0,0,0,0,0,0,0,8,70,0,0,0,0,0,71,0,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,74,0,0,0,72,66,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,57,0,0,0,58,30,0,0,69,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,65,0,0,56,0,0,0,0,0,0,31,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,27,0,0,39,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,6,0,0,62,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
0,0,0,58,0,0,0,0,0,0,35,47,50,0,0,0,26,0,0,0,27,0,0,0,0,0,0,0,0,46,0,0,0,0,25,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
71,0,0,0,71,0,0,0,64,0,0,0,0,0,0,0,0,32,0,0,0,52,0,0,0,0,0,0,0,0,0,8,65,0,0,0,0,0,65,0,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,72,0,0,0,75,67,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,57,0,0,0,58,32,0,0,70,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,66,0,0,0,67,69,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,54,0,0,0,52,26,0,0,64,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,75,0,69,0,0,0,0,60,0,0,0,57,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,32,0,0,0,37,0,0,0,0,0,0,23,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,5,0,0,0,24,0,8,0,0,0,0,0,0
69,0,0,0,64,0,0,0,69,0,0,0,0,0,0,0,0,31,0,0,0,52,0,0,0,0,0,0,0,0,0,5,64,0,0,0,0,0,63,0,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,69,0,70,0,0,0,0,57,0,0,0,52,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,30,0,0,0,35,0,0,0,0,0,0,21,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,24,0,7,0,0,0,0,0,0
