Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,13291,Julio Jones,WR,4,ATL,HOU,14,8,9300,27.1
2,11197,Demaryius Thomas,WR,4,DEN,MIN,8,15,8100,22.1
3,2593,Aaron Rodgers,QB,4,GB,SF,29,24,7900,20.9
4,16389,Odell Beckham Jr,WR,4,NYG,BUF,27,30,9100,20.8
5,11056,Antonio Brown,WR,4,PIT,BAL,27,31,9200,20.7
6,12845,AJ Green,WR,4,CIN,KC,32,32,7600,20.6
7,13227,Randall Cobb,WR,4,GB,SF,29,29,7400,20.6
8,13320,Cam Newton,QB,4,CAR,TB,18,15,7000,20.2
9,14986,DeAndre Hopkins,WR,4,HOU,ATL,17,4,7300,20
10,11063,Emmanuel Sanders,WR,4,DEN,MIN,8,15,7700,19.9
11,14536,Russell Wilson,QB,4,SEA,DET,29,26,7100,19.6
12,5571,Larry Fitzgerald,WR,4,ARI,LA,7,3,6500,19.6
13,11667,Brandon Marshall,WR,4,NYJ,MIA,20,24,6800,19.4
14,732,Matt Ryan,QB,4,ATL,HOU,14,30,6900,18.9
15,12831,Tyrod Taylor,QB,4,BUF,NYG,25,21,5800,18.8
16,7328,Peyton Manning,QB,4,DEN,MIN,8,13,7200,18.6
17,13799,Ryan Tannehill,QB,4,MIA,NYJ,2,2,6200,18.5
18,7242,Drew Brees,QB,4,NO,DAL,11,6,7400,18.4
19,2428,Carson Palmer,QB,4,ARI,LA,7,4,6800,18.4
20,16245,Blake Bortles,QB,4,JAX,IND,23,17,5100,18.3
21,611,Joe Flacco,QB,4,BAL,PIT,15,27,6000,18.2
22,12841,Andy Dalton,QB,4,CIN,KC,32,32,5900,18.2
23,16311,Derek Carr,QB,4,OAK,CHI,24,28,5300,18.1
24,4932,Eli Manning,QB,4,NYG,BUF,27,29,7000,18
25,16597,Mike Evans,WR,4,TB,CAR,3,7,6400,18
26,11527,Sam Bradford,QB,4,PHI,WAS,6,9,6000,17.8
27,8244,Philip Rivers,QB,4,SD,CLE,22,16,6100,17.7
28,4807,Adrian Peterson,RB,4,MIN,DEN,1,19,7800,17.6
29,8283,Ryan Fitzpatrick,QB,4,NYJ,MIA,20,19,5100,17.4
30,15138,Eddie Lacy,RB,4,GB,SF,29,28,6900,17.4
31,6302,James Jones,WR,4,GB,SF,29,29,5300,16.1
32,15085,Joseph Randle,RB,4,DAL,NO,30,13,5500,15.6
33,5820,Frank Gore,RB,4,IND,JAX,28,26,4700,15.6
34,13443,Colin Kaepernick,QB,4,SF,GB,16,20,5500,15.5
35,2699,Matt Forte,RB,4,CHI,OAK,31,20,7100,14.7
36,14967,Le'Veon Bell,RB,4,PIT,BAL,27,5,7700,14.4
37,7969,Jamaal Charles,RB,4,KC,CIN,9,18,7600,14.4
38,9447,Michael Vick,QB,4,PIT,BAL,27,28,5000,14.4
39,16112,Jeremy Hill,RB,4,CIN,KC,32,3,6500,14
40,4358,Steve Smith,WR,4,BAL,PIT,15,17,6200,13.9
41,6739,Alex Smith,QB,4,KC,CIN,9,14,5600,13.8
42,9038,Matthew Stafford,QB,4,DET,SEA,3,7,5700,13.7
43,16765,Amari Cooper,WR,4,OAK,CHI,24,26,6300,13.6
44,16762,Jameis Winston,QB,4,TB,CAR,3,6,5100,13.5
45,15076,Keenan Allen,WR,4,SD,CLE,22,22,7000,13.5
46,15974,Jordan Matthews,WR,4,PHI,WAS,6,17,6600,13.4
