Rk,ID,Player,Pos,Week,Team,Opp,Opp Rank,Opp Pos Rank,Salary,Projection
1,4314,Tom Brady,QB,10,NE,NYG,28,27,8600,27.1
2,2593,Aaron Rodgers,QB,10,GB,DET,31,30,7500,24.1
3,7242,Drew Brees,QB,10,NO,WAS,17,13,7400,22.8
4,14986,DeAndre Hopkins,WR,10,HOU,CIN,7,7,8700,22.3
5,11197,Demaryius Thomas,WR,10,DEN,KC,19,32,7400,21.8
6,8355,Julian Edelman,WR,10,NE,NYG,28,19,8200,21
7,11056,Antonio Brown,WR,10,PIT,CLE,27,17,8800,20.7
8,16389,Odell Beckham Jr,WR,10,NYG,NE,8,24,8800,20.6
9,7580,DeAngelo Williams,RB,10,PIT,CLE,27,28,6500,20.3
10,12845,AJ Green,WR,10,CIN,HOU,21,15,7600,20.2
11,16597,Mike Evans,WR,10,TB,DAL,14,5,6800,20.1
12,16263,Allen Robinson,WR,10,JAX,BAL,29,31,6700,20.1
13,14187,Alshon Jeffery,WR,10,CHI,LA,3,4,7100,20
14,13320,Cam Newton,QB,10,CAR,TEN,11,21,7000,20
15,13227,Randall Cobb,WR,10,GB,DET,31,20,6700,19.8
16,16771,Todd Gurley,RB,10,LA,CHI,15,14,7300,19.6
17,6029,Calvin Johnson,WR,10,DET,GB,16,11,7500,19.6
18,13337,Mark Ingram,RB,10,NO,WAS,17,18,6400,19.4
19,16245,Blake Bortles,QB,10,JAX,BAL,29,31,5600,19.4
20,11667,Brandon Marshall,WR,10,NYJ,BUF,17,22,7400,19.3
21,14536,Russell Wilson,QB,10,SEA,ARI,4,7,5900,19.3
22,10974,Rob Gronkowski,TE,10,NE,NYG,28,30,8000,19.2
23,16020,Jarvis Landry,WR,10,MIA,PHI,12,30,6700,19.2
24,9369,Justin Forsett,RB,10,BAL,JAX,24,24,6000,19.1
25,13124,DeMarco Murray,RB,10,PHI,MIA,26,30,6200,19
26,12831,Tyrod Taylor,QB,10,BUF,NYJ,6,10,5500,18.9
27,4807,Adrian Peterson,RB,10,MIN,OAK,30,19,7100,18.7
28,8066,Darren McFadden,RB,10,DAL,TB,22,11,4900,18.7
29,4932,Eli Manning,QB,10,NYG,NE,8,14,6700,18.6
30,16765,Amari Cooper,WR,10,OAK,MIN,6,7,6800,18.3
31,14385,Doug Martin,RB,10,TB,DAL,14,31,5600,18.2
32,12841,Andy Dalton,QB,10,CIN,HOU,21,25,6500,18.2
33,7328,Peyton Manning,QB,10,DEN,KC,19,15,6200,18.1
34,16311,Derek Carr,QB,10,OAK,MIN,6,5,5800,18
35,16568,Brandin Cooks,WR,10,NO,WAS,17,24,6000,18
36,16906,Stefon Diggs,WR,10,MIN,OAK,30,16,5100,18
37,16762,Jameis Winston,QB,10,TB,DAL,14,8,5000,18
38,11270,Dez Bryant,WR,10,DAL,TB,22,29,7800,17.9
39,8358,Brian Hoyer,QB,10,HOU,CIN,7,8,5400,17.8
40,14252,Kirk Cousins,QB,10,WAS,NO,32,32,5200,17.8
41,8283,Ryan Fitzpatrick,QB,10,NYJ,BUF,17,14,5100,17.8
42,9331,Michael Crabtree,WR,10,OAK,MIN,6,7,5800,17.8
43,8972,Jay Cutler,QB,10,CHI,LA,3,2,5100,17.8
44,13799,Ryan Tannehill,QB,10,MIA,PHI,12,11,5300,17.7
45,9038,Matthew Stafford,QB,10,DET,GB,16,18,5400,17.7
46,12506,James Starks,RB,10,GB,DET,31,29,4900,17.7
47,5571,Larry Fitzgerald,WR,10,ARI,SEA,1,1,7400,17.7
48,16763,Marcus Mariota,QB,10,TEN,CAR,10,10,5300,17.7
49,16497,Teddy Bridgewater,QB,10,MIN,OAK,30,29,5100,17.6
50,13791,Lamar Miller,RB,10,MIA,PHI,12,3,5400,17.6
51,15974,Jordan Matthews,WR,10,PHI,MIA,26,21,6200,17.6
52,611,Joe Flacco,QB,10,BAL,JAX,24,26,5500,17.5
53,11527,Sam Bradford,QB,10,PHI,MIA,26,20,5700,17.5
54,2428,Carson Palmer,QB,10,ARI,SEA,1,3,6900,17.5
55,11182,Eric Decker,WR,10,NYJ,BUF,17,22,5300,17.3
56,16141,Willie Snead,WR,10,NO,WAS,17,24,4900,17.3
57,11463,Brandon LaFell,WR,10,NE,NYG,28,19,4100,17.3
58,11063,Emmanuel Sanders,WR,10,DEN,KC,19,32,7300,16.9
59,1658,Greg Olsen,TE,10,CAR,TEN,11,26,6300,16.9
60,14971,Landry Jones,QB,10,PIT,CLE,27,25,5300,16.4
61,12239,Chris Ivory,RB,10,NYJ,BUF,17,20,5900,16.4
62,14916,Giovani Bernard,RB,10,CIN,HOU,21,25,4700,16.4
63,11488,Jimmy Graham,TE,10,SEA,ARI,4,4,4900,16.4
64,15100,Jordan Reed,TE,10,WAS,NO,32,31,4600,16.4
65,8723,Matt Cassel,QB,10,DAL,TB,22,28,5000,16.1
66,16253,Allen Hurns,WR,10,JAX,BAL,29,31,5800,16.1
67,3943,DeSean Jackson,WR,10,WAS,NO,32,28,5400,16.1
68,15071,Latavius Murray,RB,10,OAK,MIN,6,8,5700,16
69,15215,Tavon Austin,WR,10,LA,CHI,15,14,4800,16
70,12722,Kamar Aiken,WR,10,BAL,JAX,24,18,4500,15.9
71,16470,Davante Adams,WR,10,GB,DET,31,20,4200,15.8
72,5451,Jonathan Stewart,RB,10,CAR,TEN,11,6,4300,15.6
73,4577,Gary Barnidge,TE,10,CLE,PIT,18,28,4800,15.6
74,16146,Martavis Bryant,WR,10,PIT,CLE,27,17,5500,15.5
75,13887,Travis Benjamin,WR,10,CLE,PIT,18,23,5200,15.5
76,12296,LeGarrette Blount,RB,10,NE,NYG,28,21,4900,15.4
77,14918,Tyler Eifert,TE,10,CIN,HOU,21,13,5800,15.2
78,14242,Rueben Randle,WR,10,NYG,NE,8,24,3900,15.2
79,14478,Michael Floyd,WR,10,ARI,SEA,1,1,3800,15.1
80,13723,Nick Foles,QB,10,LA,CHI,15,23,5000,15
81,12386,Marshawn Lynch,RB,10,SEA,ARI,4,8,6700,14.9
82,14856,Zach Ertz,TE,10,PHI,MIA,26,13,3000,14.5
83,16491,Richard Rodgers,TE,10,GB,DET,31,21,3000,14.2
84,16112,Jeremy Hill,RB,10,CIN,HOU,21,25,5300,13.9
85,16856,Matt Jones,RB,10,WAS,NO,32,23,3300,13.8
86,6302,James Jones,WR,10,GB,DET,31,20,5300,13.8
87,6739,Alex Smith,QB,10,KC,DEN,1,1,5000,13.4
88,16135,Johnny Manziel,QB,10,CLE,PIT,18,16,5000,12.7
89,1181,Martellus Bennett,TE,10,CHI,LA,3,8,4700,12.2
90,11256,Ryan Mathews,RB,10,PHI,MIA,26,30,3500,11.9
91,8914,Jeremy Maclin,WR,10,KC,DEN,1,2,5500,11.2
92,16797,TJ Yeldon,RB,10,JAX,BAL,29,10,4800,11
93,16867,Jeremy Langford,RB,10,CHI,LA,3,11,4800,11
94,11611,Golden Tate,WR,10,DET,GB,16,11,4600,10.8
95,7175,Delanie Walker,TE,10,TEN,CAR,10,18,4700,10.6
96,16307,Charcandrick West,RB,10,KC,DEN,1,13,4800,10.5
97,6767,Pierre Garcon,WR,10,WAS,NO,32,28,4800,10.4
